,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_AVG_2,AST_ROLL_AVG_2,AST_STD_AVG_2,TOV_ROLL_AVG_2,AST_TOV_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,AST_PCT_ROLL_AVG_2,PACE_ROLL_AVG_2,POSS_ROLL_AVG_2,OFF_RATING_ROLL_AVG_2,MIN_ROLL_AVG_4,AST_ROLL_AVG_4,AST_STD_AVG_4,TOV_ROLL_AVG_4,AST_TOV_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,AST_PCT_ROLL_AVG_4,PACE_ROLL_AVG_4,POSS_ROLL_AVG_4,OFF_RATING_ROLL_AVG_4,MIN_ROLL_AVG_6,AST_ROLL_AVG_6,AST_STD_AVG_6,TOV_ROLL_AVG_6,AST_TOV_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,AST_PCT_ROLL_AVG_6,PACE_ROLL_AVG_6,POSS_ROLL_AVG_6,OFF_RATING_ROLL_AVG_6,PLAYER_HOME_AVG_AST,PLAYER_AWAY_AVG_AST,DAYS_OF_REST,DAYS_AGO,AST_LAG_1,AST_LAG_2,AST_LAG_3,AST_LAG_4,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,AST_VS_DEF,AST_PCT_VS_DEF,AST_TOV_VS_DEF,USG_PCT_VS_DEF,PACE_VS_DEF,POSS_VS_DEF,OFF_RATING_VS_DEF,GUARD,FORWARD,CENTER
18,18,James Harden,201935,BKN vs. BOS,BKN,1610612751,BOS,1,42000111,2021-05-22,W,36,21,8,9,5,13,0.385,2,8,0.25,9,10,0.9,0,9,4,1,3,2,2,55.8,1.207,0.4615384615384615,G,,104.2,106.7,104.3,98.9,-0.1,0.0,0.22,0.12,0.381,0.462,2.67,0.263,0.603,94.14,92.71,0.235,71,77.26,0.275,"MAY 22, 2021",240,35,84,0.417,8,34,0.235,26,29,0.897,14,36,50,18,7,7,11,22,104,110.92150170648463,6.0,12.0,40.0,0.369047619047619,1610612738.0,110.92150170648463,93.76,95.1,96.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1493,,,,,110.92,6.0,12.0,0.10962585340636435,1.2395409137975,1,0.032,0.191,0.051,0.143,0.002,-0.047,-0.102,1,0,0
54,54,JaMychal Green,203210,DEN vs. POR,DEN,1610612743,POR,1,42000161,2021-05-22,L,18,0,3,1,0,1,0.0,0,1,0.0,0,0,,0,1,0,1,0,2,-6,8.7,0.0,0.0,,,127.3,127.3,145.5,142.7,-18.2,0.0,0.071,0.038,0.158,0.0,0.0,0.028,0.0,90.79,89.91,0.018,33,74.93,0.029,"MAY 22, 2021",240,47,93,0.505,11,36,0.306,4,8,0.5,11,37,48,22,3,7,8,18,109,116.55260906757914,3.0,2.0,39.0,0.4725274725274725,1610612757.0,116.55260906757914,93.52,94.44,95.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1493,,,,,116.55,3.0,2.0,-0.34829337166647273,0.18378356779818547,0,1.143,0.975,-1.0,-0.72,-0.031,-0.127,-0.01,0,1,1
43,43,Marcus Morris Sr.,202694,LAC vs. DAL,LAC,1610612746,DAL,1,42000171,2021-05-22,L,33,4,1,2,2,8,0.25,0,6,0.0,0,2,0.0,1,1,0,2,0,2,-23,13.9,0.45,0.25,F,,95.1,95.5,135.0,130.8,-39.9,0.025,0.042,0.031,0.05,0.25,0.0,0.125,0.225,90.19,88.98,-0.022,61,74.15,0.127,"MAY 22, 2021",240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,118.99260628465804,2.0,3.0,42.0,0.5,1610612742.0,118.99260628465804,86.56,88.0,89.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1493,,,,,118.99,2.0,3.0,-0.5467521477193541,0.14334440756989378,0,-0.265,-0.286,-1.0,-0.265,-0.061,0.02,-0.173,0,1,0
19,19,Rajon Rondo,200765,LAC vs. DAL,LAC,1610612746,DAL,1,42000171,2021-05-22,L,24,11,4,4,3,6,0.5,3,4,0.75,2,4,0.5,0,4,1,1,1,2,-8,26.8,1.418,0.75,,,104.5,104.5,122.7,123.5,-18.2,0.0,0.167,0.077,0.333,0.75,4.0,0.176,0.709,88.53,88.78,0.16,44,73.98,0.18,"MAY 22, 2021",240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,118.99260628465804,2.0,3.0,42.0,0.5,1610612742.0,118.99260628465804,86.56,88.0,89.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1493,,,,,118.99,2.0,3.0,-0.5467521477193541,0.14334440756989378,0,-0.02,0.041,0.923,0.035,-0.036,0.31,-0.022,1,0,0
4,4,Nic Claxton,1629651,BKN vs. BOS,BKN,1610612751,BOS,1,42000111,2021-05-22,W,11,6,1,5,3,6,0.5,0,0,,0,0,,3,2,0,1,0,2,0,16.5,1.0,0.5,,,100.0,91.0,95.5,97.6,4.5,0.214,0.167,0.192,0.25,0.5,0.0,0.222,0.5,95.29,91.87,0.171,21,76.56,0.222,"MAY 22, 2021",240,35,84,0.417,8,34,0.235,26,29,0.897,14,36,50,18,7,7,11,22,104,110.92150170648463,6.0,12.0,40.0,0.369047619047619,1610612738.0,110.92150170648463,93.76,95.1,96.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1493,,,,,110.92,6.0,12.0,0.10962585340636435,1.2395409137975,1,0.205,1.5,-1.0,1.775,-0.715,0.008,0.163,0,0,1
71,71,Monté Morris,1628420,DEN vs. POR,DEN,1610612743,POR,1,42000161,2021-05-22,L,22,10,5,2,5,10,0.5,0,1,0.0,0,0,,0,2,0,0,1,4,-7,18.9,1.0,0.5,,,118.2,115.9,134.1,134.6,-15.9,0.0,0.091,0.05,0.278,0.5,5.0,0.229,0.5,96.86,96.07,0.067,44,80.06,0.24,"MAY 22, 2021",240,47,93,0.505,11,36,0.306,4,8,0.5,11,37,48,22,3,7,8,18,109,116.55260906757914,3.0,2.0,39.0,0.4725274725274725,1610612757.0,116.55260906757914,93.52,94.44,95.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1493,,,,,116.55,3.0,2.0,-0.34829337166647273,0.18378356779818547,0,-0.194,-0.041,0.104,0.09,-0.008,-0.283,-0.064,1,0,0
21,21,Kemba Walker,202689,BOS @ BKN,BOS,1610612738,BKN,0,42000111,2021-05-22,L,27,15,2,1,5,16,0.313,3,7,0.429,2,2,1.0,0,1,0,0,3,4,-21,16.2,0.889,0.40625,G,,84.6,80.2,122.6,117.7,-38.0,0.0,0.036,0.017,0.2,0.406,0.67,0.345,0.444,98.4,93.85,0.0,52,78.21,0.346,"MAY 22, 2021",240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.43301534632931,7.0,7.0,50.0,0.4166666666666667,1610612751.0,96.43301534632931,96.44,95.1,93.76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1493,,,,,96.43,7.0,7.0,1.2881781751302386,1.305059799605443,1,-0.556,-0.2,0.971,0.327,-0.04,-0.111,-0.173,1,0,0
53,53,Willie Cauley-Stein,1626161,DAL @ LAC,DAL,1610612742,LAC,0,42000171,2021-05-22,W,4,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,1,1,-4,-1.0,0.0,,,,100.0,101.4,162.5,167.5,-62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,96.62,98.71,-0.098,9,82.26,0.092,"MAY 22, 2021",240,38,76,0.5,17,36,0.472,20,26,0.769,10,32,42,22,2,3,12,21,113,126.3416815742397,7.0,7.0,39.0,0.4404761904761904,1610612746.0,126.3416815742397,89.44,88.0,86.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1493,,,,,126.34,7.0,7.0,-1.1445685427966825,0.4941442269631358,0,-1.0,-1.0,-1.0,-0.17,0.009,-0.597,-0.075,0,0,1
7,7,CJ McCollum,203468,POR @ DEN,POR,1610612757,DEN,0,42000161,2021-05-22,W,36,21,3,6,8,20,0.4,3,7,0.429,2,2,1.0,0,6,0,1,0,2,3,35.7,1.006,0.475,G,,122.9,116.7,115.3,114.1,7.6,0.0,0.162,0.076,0.13,0.475,0.0,0.259,0.503,96.36,93.41,0.099,70,77.84,0.254,"MAY 22, 2021",240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,128.98489932885906,3.0,7.0,48.0,0.5053763440860215,1610612743.0,128.98489932885906,95.36,94.44,93.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1493,,,,,128.98,3.0,7.0,-1.359294431640783,0.2238058681950982,0,-0.375,-0.316,-1.0,-0.004,-0.007,-0.109,-0.006,1,0,0
37,37,Bam Adebayo,1628389,MIA @ MIL,MIA,1610612748,MIL,0,42000121,2021-05-22,L,41,9,5,12,4,15,0.267,0,0,,1,1,1.0,4,8,3,0,1,5,5,38.9,0.583,0.2666666666666666,C,,96.6,95.3,89.9,91.6,6.7,0.085,0.167,0.126,0.2,0.267,5.0,0.165,0.291,104.32,104.63,0.077,88,87.19,0.168,"MAY 22, 2021",265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,95.22961908152368,11.0,1.0,64.0,0.4375,1610612749.0,95.22961908152368,112.36,112.44,112.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1493,,,,,95.23,11.0,1.0,1.3857808518775576,1.083929903208534,1,0.176,-0.13,1.222,-0.283,0.011,0.197,0.023,0,1,1
