,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_DAL,TEAM_DEN,TEAM_LAC,TEAM_LAL,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_NYK,TEAM_PHI,TEAM_PHX,TEAM_POR,TEAM_UTA,TEAM_WAS,OPP_ATL,OPP_BKN,OPP_BOS,OPP_DAL,OPP_DEN,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NYK,OPP_PHI,OPP_PHX,OPP_POR,OPP_UTA,OPP_WAS
123,LeBron James,2544,LAL @ PHX,1610612747,0,42000151,2021-05-23,L,36,18,10,7,6,13,0.462,3,7,0.429,3,6,0.5,1,6,3,0,5,1,2,45.4,1.151,1.151,F,104.4,98.6,5.8,0.03,0.162,0.1,0.476,2.0,0.263,0.575,89.63,91.84,0.183,76.54,"MAY 23, 2021",240,33,76,0.434,7,26,0.269,17,28,0.607,10,23,33,19,10,5,14,18,90,97.48700173310226,7.0,4.0,47.0,0.4651162790697674,1610612756,97.48700173310226,92.32,90.8,89.28000000000002,1,0.26,0.26,0.26,18.0,18.0,18.0,,,,,18.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,LeBron James,2544,LAL @ PHX,1610612747,0,42000152,2021-05-25,W,39,23,9,4,9,16,0.563,4,9,0.444,1,1,1.0,0,4,2,0,1,3,14,46.3,1.399,1.399,F,129.3,112.2,17.2,0.0,0.121,0.058,0.36,9.0,0.193,0.7,94.54,91.95,0.176,76.62,"MAY 25, 2021",240,36,80,0.45,10,33,0.303,27,31,0.871,8,31,39,24,9,6,7,23,109,117.65975820379964,4.0,3.0,31.0,0.4647887323943662,1610612756,117.65975820379964,92.64,92.92,93.2,1,0.23,0.23,0.23,20.5,20.5,20.5,3.54,3.54,3.54,,20.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400,LeBron James,2544,LAL vs. PHX,1610612747,1,42000153,2021-05-27,W,38,21,9,6,9,19,0.474,1,5,0.2,2,3,0.667,1,5,1,0,7,0,15,37.7,1.033,1.033,F,106.2,89.9,16.3,0.024,0.125,0.074,0.45,1.29,0.273,0.517,103.57,101.71,0.165,84.76,"MAY 27, 2021",240,38,86,0.442,7,28,0.25,26,30,0.867,15,36,51,19,10,4,20,19,109,104.60652591170825,8.0,6.0,35.0,0.4268292682926829,1610612756,104.60652591170825,104.2,101.56,98.92,1,0.24,0.24,0.24,20.67,20.67,20.67,2.52,2.52,2.52,21.0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
631,LeBron James,2544,LAL vs. PHX,1610612747,1,42000154,2021-05-30,L,38,25,6,12,10,21,0.476,1,7,0.143,4,7,0.571,2,10,1,0,6,1,6,45.4,1.038,1.038,F,105.3,97.3,8.0,0.057,0.233,0.154,0.353,1.0,0.361,0.519,93.89,95.18,0.167,79.32,"MAY 30, 2021",240,32,81,0.395,13,40,0.325,15,21,0.714,9,41,50,19,3,5,15,18,92,95.59434746467166,12.0,4.0,49.0,0.4352941176470588,1610612756,95.59434746467166,96.24,95.74,95.24,1,0.28,0.27,0.27,23.0,21.75,21.75,2.0,2.99,2.99,23.0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
764,LeBron James,2544,LAL @ PHX,1610612747,0,42000155,2021-06-01,L,32,24,7,5,9,19,0.474,6,10,0.6,0,0,,1,4,0,0,3,1,-24,37.5,1.263,1.263,F,90.5,128.6,-38.1,0.029,0.121,0.074,0.7,2.33,0.31,0.632,99.78,95.57,0.195,79.64,"JUN 01, 2021",240,29,84,0.345,12,35,0.343,15,21,0.714,10,41,51,14,3,1,16,25,85,85.6509471987102,7.0,4.0,47.0,0.4574468085106383,1610612756,85.6509471987102,99.24,101.74,104.24,1,0.31,0.28,0.28,23.33,22.2,22.2,2.08,2.77,2.77,,21.67,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
880,LeBron James,2544,LAL vs. PHX,1610612747,1,42000156,2021-06-03,L,41,29,7,9,11,26,0.423,3,10,0.3,4,6,0.667,2,7,2,2,3,1,-3,59.3,1.013,1.013,F,115.6,117.9,-2.4,0.048,0.212,0.12,0.304,2.33,0.341,0.506,88.93,89.86,0.16,74.88,"JUN 03, 2021",240,38,91,0.418,10,35,0.286,14,16,0.875,11,24,35,21,5,3,7,20,100,106.33772862611654,5.0,9.0,42.0,0.5068493150684932,1610612756,106.33772862611654,94.04,90.36,86.68,1,0.34,0.3,0.29,26.0,24.4,23.33,2.65,2.97,3.72,25.0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Carmelo Anthony,2546,POR @ DEN,1610612757,0,42000161,2021-05-22,W,22,18,1,3,6,12,0.5,4,8,0.5,2,2,1.0,0,3,1,0,0,1,6,26.1,1.398,1.398,,151.3,129.3,22.0,0.0,0.214,0.097,0.071,0.0,0.273,0.699,91.27,88.96,0.148,74.13,"MAY 22, 2021",240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,128.98489932885906,3.0,7.0,48.0,0.5053763440860215,1610612743,128.98489932885906,95.36,94.44,93.52,0,0.27,0.27,0.27,18.0,18.0,18.0,,,,,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,Carmelo Anthony,2546,POR @ DEN,1610612757,0,42000162,2021-05-24,L,21,5,0,2,1,5,0.2,1,4,0.25,2,2,1.0,1,1,0,0,2,5,-22,5.4,0.85,0.85,,104.7,156.8,-52.2,0.053,0.059,0.056,0.0,0.0,0.17,0.425,103.12,101.48,-0.048,84.57,"MAY 24, 2021",240,35,73,0.479,16,33,0.485,23,28,0.821,10,30,40,15,3,7,21,27,109,113.16445182724252,12.0,3.0,35.0,0.5348837209302325,1610612743,113.16445182724252,96.32,98.76,101.2,0,0.22,0.22,0.22,11.5,11.5,11.5,9.19,9.19,9.19,,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
349,Carmelo Anthony,2546,POR vs. DEN,1610612757,1,42000163,2021-05-27,L,26,17,0,2,5,12,0.417,4,8,0.5,3,4,0.75,1,1,1,0,1,2,-11,21.4,1.235,1.235,,113.2,136.5,-23.3,0.028,0.038,0.032,0.0,0.0,0.224,0.618,95.79,96.12,0.08,80.1,"MAY 27, 2021",240,45,100,0.45,14,45,0.311,11,13,0.846,14,31,45,20,6,4,7,24,115,116.49108589951378,4.0,4.0,45.0,0.4642857142857143,1610612743,116.49108589951378,98.71999999999998,97.8,96.88,0,0.22,0.22,0.22,13.33,13.33,13.33,7.23,7.23,7.23,17.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
567,Carmelo Anthony,2546,POR vs. DEN,1610612757,1,42000164,2021-05-29,W,22,12,1,3,5,11,0.455,2,5,0.4,0,0,,0,3,0,0,0,1,-4,17.1,1.091,1.091,,107.5,117.5,-10.0,0.0,0.12,0.063,0.091,0.0,0.239,0.545,93.7,88.4,0.13,73.66,"MAY 29, 2021",240,42,84,0.5,12,33,0.364,19,25,0.76,4,40,44,24,6,7,6,21,115,118.55670103092784,5.0,5.0,47.0,0.3404255319148936,1610612743,118.55670103092784,97.0,96.84,96.68,0,0.21,0.23,0.23,11.33,13.0,13.0,6.03,5.94,5.94,14.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
775,Carmelo Anthony,2546,POR @ DEN,1610612757,0,42000165,2021-06-01,L,30,8,3,4,3,11,0.273,2,9,0.222,0,0,,0,4,0,0,2,4,2,15.3,0.727,0.727,,127.4,124.2,3.2,0.0,0.133,0.067,0.13,1.5,0.194,0.364,95.88,97.65,0.007,81.37,"JUN 01, 2021",290,47,103,0.456,21,48,0.438,25,29,0.862,10,35,45,25,6,6,14,31,140,116.9004676018704,5.0,5.0,52.0,0.4807692307692308,1610612743,116.9004676018704,119.76,117.92,116.08,0,0.22,0.22,0.22,12.33,12.0,12.0,4.51,5.61,5.61,,10.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
892,Carmelo Anthony,2546,POR vs. DEN,1610612757,1,42000166,2021-06-03,L,23,14,4,5,5,9,0.556,1,3,0.333,3,3,1.0,0,5,0,1,2,2,-17,27.0,1.357,1.357,,89.4,125.5,-36.2,0.0,0.179,0.096,0.444,2.0,0.226,0.678,101.63,99.39,0.167,82.83,"JUN 03, 2021",240,40,79,0.506,15,36,0.417,20,22,0.909,8,29,37,24,7,7,16,22,115,118.94911046752172,8.0,3.0,39.0,0.5116279069767442,1610612743,118.94911046752172,96.68,98.28000000000002,99.88,0,0.22,0.21,0.22,11.33,11.2,12.33,3.06,4.76,5.09,14.33,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,Dwight Howard,2730,PHI vs. WAS,1610612755,1,42000101,2021-05-23,W,18,7,0,4,2,3,0.667,0,0,,3,6,0.5,2,2,1,0,0,2,-13,14.8,1.241,1.241,,117.9,151.3,-33.3,0.08,0.154,0.105,0.0,0.0,0.102,0.621,105.57,102.62,0.052,85.52,"MAY 23, 2021",240,46,93,0.495,10,32,0.313,23,33,0.697,13,27,40,27,10,5,11,18,125,118.46095526914328,4.0,4.0,41.0,0.5568181818181818,1610612764,118.46095526914328,105.52,104.06,102.59999999999998,0,0.1,0.1,0.1,7.0,7.0,7.0,,,,7.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
290,Dwight Howard,2730,PHI vs. WAS,1610612755,1,42000102,2021-05-26,W,16,4,1,11,1,4,0.25,0,0,,2,6,0.333,4,7,0,1,1,4,4,20.7,0.602,0.602,,85.7,76.5,9.2,0.211,0.28,0.25,0.091,1.0,0.2,0.301,111.53,103.82,0.078,86.52,"MAY 26, 2021",240,49,88,0.557,9,21,0.429,13,19,0.684,8,37,45,26,10,14,11,21,120,120.7729468599034,3.0,2.0,40.0,0.4021739130434782,1610612764,120.7729468599034,99.36,102.28000000000002,105.2,0,0.15,0.15,0.15,5.5,5.5,5.5,2.12,2.12,2.12,5.5,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504,Dwight Howard,2730,PHI @ WAS,1610612755,0,42000103,2021-05-29,W,16,5,2,9,1,2,0.5,0,0,,3,4,0.75,2,7,0,1,2,4,0,19.8,1.33,1.33,,88.2,88.2,0.0,0.125,0.304,0.231,0.182,1.0,0.158,0.665,99.53,101.81,0.203,84.84,"MAY 29, 2021",240,51,87,0.586,17,33,0.515,13,20,0.65,7,44,51,31,7,5,15,25,132,127.16763005780348,5.0,3.0,41.0,0.3958333333333333,1610612764,127.16763005780348,103.8,102.90000000000002,102.0,0,0.15,0.15,0.15,5.33,5.33,5.33,1.53,1.53,1.53,,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
694,Dwight Howard,2730,PHI @ WAS,1610612755,0,42000104,2021-05-31,L,14,1,2,4,0,3,0.0,0,0,,1,4,0.25,2,2,0,0,1,4,-10,7.8,0.21,0.21,,106.9,132.3,-25.4,0.118,0.2,0.148,0.2,2.0,0.194,0.105,104.76,105.53,-0.088,87.94,"MAY 31, 2021",240,40,96,0.417,12,38,0.316,22,34,0.647,12,36,48,21,7,6,11,30,114,103.67406329574388,8.0,12.0,57.0,0.4545454545454545,1610612764,103.67406329574388,109.96,108.21999999999998,106.48,0,0.18,0.16,0.16,3.33,4.25,4.25,2.08,2.5,2.5,,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
