,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_CHI,TEAM_DAL,TEAM_DEN,TEAM_GSW,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_PHI,TEAM_PHX,TEAM_TOR,TEAM_UTA,OPP_ATL,OPP_BKN,OPP_BOS,OPP_CHI,OPP_DAL,OPP_DEN,OPP_GSW,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_PHI,OPP_PHX,OPP_TOR,OPP_UTA
12,Andre Iguodala,2738,GSW vs. DEN,1610612744,1,42100161,2022-04-16,W,13,0,4,2,0,1,0.0,0,1,0.0,0,0,,0,2,0,1,0,2,11,11.4,0.0,0.0,,141.7,100.0,41.7,0.0,0.143,0.074,0.333,0.0,0.034,0.0,90.51,84.07,0.078,70.06,"APR 16, 2022",240,43,82,0.524,16,35,0.457,21,29,0.724,10,31,41,33,5,8,12,22,123,127.1186440677966,8.0,3.0,35.0,0.4623655913978494,1610612743,127.1186440677966,96.76,98.24,99.71999999999998,0,0.03,0.03,0.03,0.0,0.0,0.0,,,,0.0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
353,Andre Iguodala,2738,GSW @ DEN,1610612744,0,42100163,2022-04-21,W,16,4,3,4,1,1,1.0,0,0,,2,3,0.667,2,2,0,1,1,1,-8,15.3,1.724,1.724,,106.1,122.9,-16.8,0.143,0.167,0.154,0.273,3.0,0.086,0.862,93.26,99.96,0.124,83.3,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743,120.01627339300244,98.32,98.09999999999998,97.88,0,0.06,0.06,0.06,2.0,2.0,2.0,2.83,2.83,2.83,,4.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
602,Andre Iguodala,2738,GSW @ DEN,1610612744,0,42100164,2022-04-24,L,13,0,0,1,0,3,0.0,0,1,0.0,0,0,,1,0,0,0,2,5,-10,-0.8,0.0,0.0,,88.5,122.2,-33.8,0.067,0.0,0.043,0.0,0.0,0.179,0.0,105.75,101.46,-0.288,84.55,"APR 24, 2022",240,43,86,0.5,12,34,0.353,23,32,0.719,9,27,36,26,15,3,15,27,121,114.06485671191552,9.0,2.0,33.0,0.5616438356164384,1610612743,114.06485671191552,106.08,104.96,103.84,0,0.1,0.1,0.1,1.33,1.33,1.33,2.31,2.31,2.31,,2.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1757,Andre Iguodala,2738,GSW vs. BOS,1610612744,1,42100401,2022-06-02,L,12,7,3,0,3,4,0.75,1,1,1.0,0,0,,0,0,0,0,1,3,-6,10.5,1.75,1.75,,130.4,150.0,-19.6,0.0,0.0,0.0,0.333,3.0,0.179,0.875,93.33,93.8,0.068,78.17,"JUN 02, 2022",240,39,88,0.443,19,45,0.422,11,15,0.733,12,27,39,24,8,6,14,16,108,111.80124223602486,7.0,6.0,39.0,0.5058823529411764,1610612738,111.80124223602486,96.59999999999998,96.82,97.04,0,0.15,0.12,0.12,3.67,2.75,2.75,3.51,3.4,3.4,3.5,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,Andre Iguodala,2738,GSW @ BOS,1610612744,0,42100403,2022-06-08,L,2,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-2,0.0,0.0,0.0,,50.0,66.7,-16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.15,111.28,0.0,92.74,"JUN 08, 2022",240,36,78,0.462,15,40,0.375,13,15,0.867,6,25,31,22,7,5,16,23,100,105.70824524312896,7.0,7.0,47.0,0.4831460674157303,1610612738,105.70824524312896,94.59999999999998,95.58,96.56,0,0.12,0.1,0.1,2.33,2.2,2.2,4.04,3.19,3.19,,1.33,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,Andre Iguodala,2738,GSW vs. BOS,1610612744,1,42100405,2022-06-13,W,4,0,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-4,3.0,0.0,0.0,,111.1,155.6,-44.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,108.37,109.83,0.089,91.53,"JUN 13, 2022",240,41,88,0.466,9,40,0.225,13,15,0.867,4,35,39,23,9,2,6,28,104,107.66045548654245,2.0,2.0,47.0,0.4133333333333333,1610612738,107.66045548654245,96.59999999999998,97.62,98.64,0,0.06,0.09,0.08,2.33,2.2,1.83,4.04,3.19,2.99,2.33,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,Andre Iguodala,2738,GSW @ BOS,1610612744,0,42100406,2022-06-16,W,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.43,118.03,0.0,98.36,"JUN 16, 2022",240,38,92,0.413,19,46,0.413,8,8,1.0,15,29,44,27,13,7,15,20,103,107.83082077051928,8.0,8.0,41.0,0.425,1610612738,107.83082077051928,95.52,95.90000000000002,96.28000000000002,0,0.0,0.07,0.07,0.0,1.4,1.57,0.0,3.13,2.82,,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Chris Paul,101108,PHX vs. NOP,1610612756,1,42100141,2022-04-17,W,35,30,10,7,12,16,0.75,4,6,0.667,2,2,1.0,0,7,3,1,2,2,19,63.4,1.777,1.777,G,136.9,103.0,33.9,0.0,0.167,0.108,0.455,5.0,0.279,0.889,91.38,90.34,0.305,75.29,"APR 17, 2022",240,42,78,0.538,10,28,0.357,16,21,0.762,5,30,35,25,6,9,9,23,110,120.56115738711092,4.0,2.0,55.0,0.3789473684210526,1610612740,120.56115738711092,91.24,92.84,94.44,1,0.28,0.28,0.28,30.0,30.0,30.0,,,,30.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
236,Chris Paul,101108,PHX vs. NOP,1610612756,1,42100142,2022-04-19,L,36,17,14,1,5,16,0.313,2,6,0.333,5,5,1.0,0,1,1,0,0,3,-12,42.2,0.934,0.934,G,110.7,123.4,-12.7,0.0,0.029,0.014,0.519,0.0,0.222,0.467,99.2,100.31,0.107,83.59,"APR 19, 2022",240,43,86,0.5,13,35,0.371,15,18,0.833,8,25,33,26,9,3,12,18,114,116.421568627451,7.0,6.0,43.0,0.5476190476190477,1610612740,116.421568627451,97.92,98.36,98.8,1,0.25,0.25,0.25,23.5,23.5,23.5,9.19,9.19,9.19,23.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
461,Chris Paul,101108,PHX @ NOP,1610612756,0,42100143,2022-04-22,W,40,28,14,4,10,18,0.556,1,6,0.167,7,8,0.875,2,2,1,0,0,2,10,56.8,1.301,1.301,G,127.8,115.2,12.7,0.061,0.051,0.056,0.483,0.0,0.256,0.651,95.07,95.0,0.21,79.16,"APR 22, 2022",240,44,87,0.506,4,26,0.154,22,27,0.815,9,26,35,26,8,3,5,21,114,120.15177065767288,4.0,5.0,45.0,0.4810126582278481,1610612740,120.15177065767288,94.88,95.26,95.64,1,0.25,0.25,0.25,25.0,25.0,25.0,7.0,7.0,7.0,,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
