,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER
121,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200151,2023-04-16,W,34,21,5,11,8,16,0.5,3,8,0.375,2,4,0.5,2,9,2,3,5,1,7,51.7,1.182,1.182,F,129.2,119.4,9.7,0.069,0.29,0.183,0.185,1.0,0.265,0.591,103.98,101.63,0.139,84.69,"APR 16, 2023",240,49,92,0.533,16,37,0.432,14,16,0.875,10,35,45,25,7,11,14,18,128,124.22360248447204,6.0,2.0,34.0,0.4719101123595505,1610612763,124.22360248447204,103.04,102.54,102.04,1,0.26,0.26,0.26,21.0,21.0,21.0,,,,,21.0,0,1,0
278,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200152,2023-04-19,L,39,28,3,12,12,23,0.522,1,8,0.125,3,4,0.75,2,10,1,1,1,1,-17,51.9,1.131,1.131,F,84.6,105.1,-20.4,0.044,0.238,0.138,0.231,3.0,0.292,0.565,95.9,96.94,0.23,80.78,"APR 19, 2023",240,35,85,0.412,7,26,0.269,16,21,0.762,11,36,47,21,5,7,12,19,93,97.64804703905922,4.0,6.0,49.0,0.4269662921348314,1610612763,97.64804703905922,95.24,96.24,97.24,1,0.28,0.28,0.28,24.5,24.5,24.5,4.95,4.95,4.95,,24.5,0,1,0
469,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200153,2023-04-22,W,36,25,5,9,10,20,0.5,0,4,0.0,5,7,0.714,2,7,1,1,3,3,-6,46.3,1.083,1.083,F,102.6,112.0,-9.4,0.049,0.2,0.118,0.25,1.67,0.281,0.542,102.72,100.67,0.162,83.89,"APR 22, 2023",240,41,90,0.456,7,28,0.25,22,27,0.815,11,37,48,19,11,8,13,18,111,106.85406237966886,7.0,2.0,50.0,0.3763440860215054,1610612763,106.85406237966886,103.88,102.84,101.8,1,0.28,0.28,0.28,24.67,24.67,24.67,3.51,3.51,3.51,25.0,,0,1,0
637,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200154,2023-04-24,W,45,22,7,20,8,18,0.444,1,7,0.143,5,7,0.714,5,15,0,2,1,3,8,61.5,1.044,1.044,F,107.4,97.9,9.5,0.102,0.278,0.194,0.233,7.0,0.198,0.522,100.15,100.82,0.189,84.02,"APR 24, 2023",265,41,94,0.436,10,36,0.278,25,31,0.806,13,39,52,22,5,11,15,17,117,106.71287851149216,7.0,7.0,49.0,0.3962264150943396,1610612763,106.71287851149216,109.64,110.94,112.24,1,0.26,0.26,0.26,25.0,24.0,24.0,3.0,3.16,3.16,23.5,,0,1,0
737,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200155,2023-04-26,L,37,15,5,10,5,17,0.294,1,9,0.111,4,6,0.667,2,8,1,1,5,1,-1,35.5,0.764,0.764,F,101.2,105.0,-3.8,0.05,0.17,0.115,0.192,1.0,0.266,0.382,105.28,105.22,0.071,87.69,"APR 26, 2023",240,37,92,0.402,10,39,0.256,15,20,0.75,14,40,54,28,8,3,13,17,99,99.19839679358718,6.0,2.0,52.0,0.4444444444444444,1610612763,99.19839679358718,99.8,101.64,103.48,1,0.25,0.26,0.26,20.67,22.2,22.2,5.13,4.87,4.87,,21.33,0,1,0
860,LeBron James,2544,LAL vs. MEM,LAL,1610612747,MEM,1,42200156,2023-04-28,W,31,22,6,5,9,13,0.692,2,5,0.4,2,3,0.667,1,4,1,0,3,2,32,37.0,1.536,1.536,F,124.3,82.1,42.2,0.038,0.095,0.074,0.231,2.0,0.213,0.768,106.84,105.22,0.186,87.68,"APR 28, 2023",240,49,91,0.538,15,44,0.341,12,15,0.8,9,43,52,33,6,15,13,16,125,123.03149606299212,10.0,2.0,45.0,0.3020833333333333,1610612763,123.03149606299212,101.59999999999998,103.2,104.8,1,0.23,0.25,0.25,19.67,22.4,22.17,4.04,4.83,4.36,23.0,,0,1,0
983,LeBron James,2544,LAL @ GSW,LAL,1610612747,GSW,0,42200231,2023-05-02,W,40,22,4,11,9,24,0.375,1,8,0.125,3,4,0.75,2,9,0,3,4,0,1,46.2,0.854,0.854,F,109.3,105.7,3.6,0.047,0.173,0.116,0.143,1.0,0.303,0.427,102.96,104.16,0.097,86.8,"MAY 02, 2023",240,43,92,0.467,6,25,0.24,25,29,0.862,13,40,53,24,4,10,8,12,117,117.2814755412991,5.0,3.0,49.0,0.4056603773584906,1610612744,117.2814755412991,99.76,101.2,102.64,1,0.26,0.25,0.26,19.67,21.2,22.14,4.04,3.7,3.98,,21.5,0,1,0
1054,LeBron James,2544,LAL @ GSW,LAL,1610612747,GSW,0,42200232,2023-05-04,L,28,23,3,7,10,18,0.556,3,8,0.375,0,0,,0,7,1,0,0,3,-27,38.9,1.278,1.278,F,103.3,145.2,-41.9,0.0,0.259,0.121,0.2,0.0,0.269,0.639,103.49,104.99,0.151,87.49,"MAY 04, 2023",240,40,94,0.426,10,34,0.294,10,17,0.588,9,31,40,27,9,3,9,15,100,98.54158454867954,2.0,3.0,55.0,0.5052631578947369,1610612744,98.54158454867954,101.48,102.76,104.04,1,0.26,0.25,0.26,22.33,20.8,22.43,0.58,3.27,3.95,,21.8,0,1,0
1139,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,42200233,2023-05-06,W,32,21,8,8,6,11,0.545,2,4,0.5,7,8,0.875,1,7,0,1,0,0,26,45.6,1.446,1.446,F,124.6,87.0,37.7,0.034,0.171,0.114,0.4,0.0,0.2,0.723,104.29,102.27,0.255,85.23,"MAY 06, 2023",240,42,80,0.525,15,31,0.484,28,37,0.757,6,38,44,27,10,6,12,21,127,124.168947985921,5.0,6.0,42.0,0.3956043956043956,1610612744,124.168947985921,102.28000000000002,102.88,103.48,1,0.26,0.25,0.25,22.0,20.6,21.43,1.0,3.21,3.1,22.5,,0,1,0
1183,LeBron James,2544,LAL vs. GSW,LAL,1610612747,GSW,1,42200234,2023-05-08,W,43,27,6,9,10,25,0.4,2,9,0.222,5,5,1.0,2,7,0,1,3,3,-8,46.8,0.993,0.993,F,102.3,111.4,-9.1,0.049,0.171,0.11,0.25,2.0,0.297,0.496,98.77,98.35,0.121,81.96,"MAY 08, 2023",240,39,86,0.453,6,25,0.24,20,20,1.0,8,34,42,21,8,1,14,15,104,103.1746031746032,9.0,2.0,40.0,0.4651162790697674,1610612744,103.1746031746032,100.8,99.54,98.28000000000002,1,0.26,0.26,0.25,23.67,23.0,21.71,3.06,2.35,3.55,23.4,,0,1,0
