,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
0,Darius Garland,1629636,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,32,14,8,3,6,11,0.545,2,6,0.333,0,0,,0,3,1,0,5,4,8,27.6,1.273,0.6363636363636364,G,,100.0,98.6,87.9,83.5,12.1,0.0,0.067,0.042,0.4,0.636,1.6,0.229,0.636,101.08,97.82,0.145,66,81.52,0.229,"APR 20, 2024",240,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,17,21,97,99.75318798848211,12.0,7.0,40.0,0.32558139534883723,1610612753.0,99.75318798848211,97.24,98.72,100.2
1,Tobias Harris,202699,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,31,7,2,9,3,7,0.429,1,4,0.25,0,0,,0,9,0,0,2,4,0,18.8,1.0,0.5,F,,131.6,125.2,133.9,123.8,-2.3,0.0,0.22,0.13,0.091,0.5,1.0,0.132,0.5,92.05,86.31,0.066,57,71.92,0.134,"APR 20, 2024",240,36,81,0.444,12,35,0.343,20,22,0.909,9,24,33,17,8,7,11,21,104,112.2140699179974,6.0,7.0,55.0,0.3956043956043956,1610612752.0,112.2140699179974,92.68,92.0,91.32
2,Nicolas Batum,201587,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,26,3,1,2,1,4,0.25,1,4,0.25,0,0,,0,2,0,1,1,0,-20,8.9,0.75,0.375,,,76.5,74.1,118.0,117.2,-41.5,0.0,0.069,0.033,0.071,0.375,1.0,0.086,0.375,95.51,93.65,0.034,51,78.04,0.087,"APR 20, 2024",240,36,81,0.444,12,35,0.343,20,22,0.909,9,24,33,17,8,7,11,21,104,112.2140699179974,6.0,7.0,55.0,0.3956043956043956,1610612752.0,112.2140699179974,92.68,92.0,91.32
3,Austin Reaves,1630559,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,37,13,3,4,5,9,0.556,2,6,0.333,1,1,1.0,0,4,0,1,0,1,-12,25.3,1.377,0.6666666666666666,G,,112.7,111.4,127.8,126.4,-15.1,0.0,0.098,0.056,0.111,0.667,0.0,0.117,0.689,93.88,92.84,0.092,71,77.37,0.117,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.46078431372549017,1610612743.0,110.32562125107113,93.36,93.5,93.64
4,Jaxson Hayes,1629637,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,4,0,0,3,0,0,,0,0,,0,0,,0,3,0,0,0,2,2,3.6,0.0,,,,133.3,137.0,125.0,126.9,8.3,0.0,0.6,0.375,0.0,0.0,0.0,0.0,0.0,91.11,93.08,0.056,9,77.57,0.0,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.46078431372549017,1610612743.0,110.32562125107113,93.36,93.5,93.64
5,Rui Hachimura,1629060,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,31,7,1,3,2,4,0.5,1,2,0.5,2,2,1.0,0,3,0,0,1,1,-10,11.1,1.434,0.625,F,,104.8,106.2,121.0,119.5,-16.1,0.0,0.091,0.049,0.04,0.625,1.0,0.09,0.717,95.71,95.74,0.049,62,79.79,0.092,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.46078431372549017,1610612743.0,110.32562125107113,93.36,93.5,93.64
6,Michael Porter Jr.,1629008,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,38,19,0,8,8,15,0.533,3,7,0.429,0,0,,1,7,1,2,0,1,10,37.6,1.267,0.6333333333333333,F,,127.4,126.1,113.7,114.3,13.7,0.023,0.226,0.108,0.0,0.633,0.0,0.172,0.633,93.42,93.19,0.119,73,77.66,0.175,"APR 20, 2024",240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,121.74284493806067,3.0,7.0,40.0,0.4936708860759494,1610612747.0,121.74284493806067,93.64,93.5,93.36
7,D'Angelo Russell,1626156,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,41,13,3,3,6,20,0.3,1,9,0.111,0,0,,0,3,2,0,1,3,2,26.1,0.65,0.325,G,,115.0,118.1,113.9,111.4,1.1,0.0,0.06,0.036,0.107,0.325,3.0,0.244,0.325,92.7,92.88,0.017,80,77.4,0.25,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.46078431372549017,1610612743.0,110.32562125107113,93.36,93.5,93.64
8,Nikola Jokić,203999,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,39,32,7,12,15,23,0.652,1,3,0.333,1,2,0.5,3,9,2,0,0,3,14,62.9,1.34,0.6739130434782609,C,,124.4,121.6,107.8,108.8,16.6,0.067,0.273,0.154,0.269,0.674,0.0,0.253,0.67,95.09,94.46,0.219,78,78.71,0.259,"APR 20, 2024",240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,121.74284493806067,3.0,7.0,40.0,0.4936708860759494,1610612747.0,121.74284493806067,93.64,93.5,93.36
9,Aaron Gordon,203932,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,32,12,7,11,5,11,0.455,0,3,0.0,2,2,1.0,6,5,0,0,1,2,20,34.7,1.01,0.45454545454545453,F,,125.8,124.0,93.5,97.4,32.3,0.176,0.179,0.177,0.25,0.455,7.0,0.178,0.505,91.56,92.75,0.135,62,77.29,0.181,"APR 20, 2024",240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,121.74284493806067,3.0,7.0,40.0,0.4936708860759494,1610612747.0,121.74284493806067,93.64,93.5,93.36
