,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_BOS,TEAM_CLE,TEAM_DAL,TEAM_DEN,TEAM_IND,TEAM_LAC,TEAM_LAL,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_NYK,TEAM_OKC,TEAM_ORL,TEAM_PHI,TEAM_PHX,OPP_BOS,OPP_CLE,OPP_DAL,OPP_DEN,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHX
61,LeBron James,2544,LAL @ DEN,1610612747,0,42300151,2024-04-20,L,41,27,8,6,10,16,0.625,3,5,0.6,4,5,0.8,2,4,1,1,7,1,-9,45.2,1.484,1.484,F,110.0,121.3,-11.3,0.057,0.085,0.073,0.333,1.14,0.291,0.742,95.03,94.23,0.146,78.53,"APR 20, 2024",240.0,39.0,79.0,0.494,8.0,29.0,0.276,17.0,19.0,0.895,6.0,34.0,40.0,22.0,3.0,7.0,12.0,15.0,103.0,110.32562125107113,7.0,4.0,49.0,0.4607843137254901,1610612743,110.32562125107113,93.36,93.5,93.64,1,0.29,0.29,0.29,27.0,27.0,27.0,,,,,27.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,LeBron James,2544,LAL @ DEN,1610612747,0,42300152,2024-04-22,L,38,26,12,8,9,19,0.474,3,6,0.5,5,7,0.714,0,8,2,2,2,3,2,63.6,1.178,1.178,F,110.5,109.3,1.2,0.0,0.2,0.105,0.545,6.0,0.28,0.589,96.06,95.23,0.208,79.36,"APR 22, 2024",240.0,38.0,78.0,0.487,13.0,30.0,0.433,10.0,13.0,0.769,4.0,34.0,38.0,24.0,6.0,3.0,14.0,20.0,99.0,105.6338028169014,6.0,4.0,45.0,0.4431818181818182,1610612743,105.6338028169014,93.71999999999998,94.59999999999998,95.48,1,0.29,0.29,0.29,26.5,26.5,26.5,0.71,0.71,0.71,,26.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
328,LeBron James,2544,LAL vs. DEN,1610612747,1,42300153,2024-04-25,L,42,26,9,6,12,20,0.6,1,6,0.167,1,2,0.5,0,6,2,1,3,3,-8,52.7,1.245,1.245,F,105.7,117.4,-11.8,0.0,0.154,0.074,0.333,3.0,0.25,0.623,97.6,99.08,0.152,82.57,"APR 25, 2024",240.0,44.0,90.0,0.489,5.0,27.0,0.185,12.0,17.0,0.706,8.0,30.0,38.0,23.0,8.0,2.0,7.0,16.0,105.0,108.83084577114428,4.0,3.0,51.0,0.4888888888888889,1610612743,108.83084577114428,96.48,97.58,98.68,1,0.27,0.27,0.27,26.33,26.33,26.33,0.58,0.58,0.58,26.0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,LeBron James,2544,LAL vs. DEN,1610612747,1,42300154,2024-04-27,W,39,30,4,5,14,23,0.609,0,2,0.0,2,2,1.0,1,4,3,1,6,0,1,48.0,1.256,1.256,F,106.1,104.9,1.2,0.026,0.103,0.065,0.174,0.67,0.326,0.628,101.75,101.36,0.17,84.46,"APR 27, 2024",240.0,48.0,92.0,0.522,8.0,26.0,0.308,15.0,18.0,0.833,8.0,38.0,46.0,23.0,6.0,2.0,11.0,20.0,119.0,115.62378546443838,9.0,4.0,40.0,0.4482758620689655,1610612743,115.62378546443838,102.92,102.96,103.0,1,0.29,0.29,0.29,27.33,27.25,27.25,2.31,1.89,1.89,28.0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
661,LeBron James,2544,LAL @ DEN,1610612747,0,42300155,2024-04-29,L,44,30,11,9,11,21,0.524,3,7,0.429,5,7,0.714,1,8,4,0,1,4,3,68.3,1.246,1.246,F,112.4,112.8,-0.4,0.023,0.182,0.102,0.407,11.0,0.242,0.623,96.47,95.27,0.182,79.4,"APR 29, 2024",240.0,39.0,84.0,0.464,10.0,35.0,0.286,18.0,27.0,0.667,11.0,30.0,41.0,30.0,7.0,6.0,8.0,12.0,106.0,114.1257536606374,6.0,1.0,45.0,0.4719101123595505,1610612743,114.1257536606374,92.88,94.92,96.96,1,0.27,0.28,0.28,28.67,27.8,27.8,2.31,2.05,2.05,,27.67,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Kyle Lowry,200768,PHI @ NYK,1610612755,0,42300111,2024-04-20,L,39,18,2,4,5,9,0.556,4,7,0.571,4,4,1.0,2,2,1,1,1,4,6,30.8,1.673,1.673,G,132.4,120.5,11.8,0.059,0.047,0.052,0.074,2.0,0.139,0.836,91.36,89.2,0.099,74.34,"APR 20, 2024",240.0,36.0,81.0,0.444,12.0,35.0,0.343,20.0,22.0,0.909,9.0,24.0,33.0,17.0,8.0,7.0,11.0,21.0,104.0,112.2140699179974,6.0,7.0,55.0,0.3956043956043956,1610612752,112.2140699179974,92.68,92.0,91.32,1,0.14,0.14,0.14,18.0,18.0,18.0,,,,,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,Kyle Lowry,200768,PHI @ NYK,1610612755,0,42300112,2024-04-22,L,34,8,3,6,2,6,0.333,2,5,0.4,2,4,0.5,1,5,2,1,1,5,6,27.7,1.031,1.031,G,112.1,104.6,7.5,0.031,0.109,0.077,0.125,3.0,0.123,0.515,96.93,93.53,0.056,77.94,"APR 22, 2024",240.0,36.0,84.0,0.429,13.0,36.0,0.361,16.0,22.0,0.727,10.0,34.0,44.0,26.0,3.0,6.0,10.0,21.0,101.0,107.81383432963278,5.0,6.0,46.0,0.4065934065934066,1610612752,107.81383432963278,93.68,94.90000000000002,96.12,1,0.13,0.13,0.13,13.0,13.0,13.0,7.07,7.07,7.07,,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
353,Kyle Lowry,200768,PHI vs. NYK,1610612755,1,42300113,2024-04-25,W,31,9,4,2,3,5,0.6,1,3,0.333,2,2,1.0,0,2,1,1,1,2,11,22.4,1.531,1.531,G,141.7,123.3,18.3,0.0,0.067,0.043,0.167,4.0,0.109,0.765,92.84,93.4,0.077,77.83,"APR 25, 2024",240.0,41.0,75.0,0.547,15.0,31.0,0.484,28.0,33.0,0.848,8.0,28.0,36.0,24.0,6.0,8.0,10.0,18.0,125.0,136.58216783216784,4.0,3.0,32.0,0.4888888888888889,1610612752,136.58216783216784,91.52,93.94,96.36,1,0.12,0.12,0.12,11.67,11.67,11.67,5.51,5.51,5.51,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
573,Kyle Lowry,200768,PHI vs. NYK,1610612755,1,42300114,2024-04-28,L,33,7,7,5,1,6,0.167,1,4,0.25,4,5,0.8,3,2,0,0,0,5,1,23.5,0.854,0.854,G,103.2,101.6,1.6,0.086,0.049,0.066,0.333,0.0,0.113,0.427,95.34,91.59,0.064,76.33,"APR 28, 2024",240.0,29.0,82.0,0.354,9.0,33.0,0.273,25.0,29.0,0.862,9.0,33.0,42.0,23.0,5.0,5.0,8.0,24.0,92.0,98.12286689419794,1.0,11.0,52.0,0.4302325581395348,1610612752,98.12286689419794,93.76,94.09999999999998,94.44,1,0.12,0.12,0.12,8.0,10.5,10.5,1.0,5.07,5.07,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
669,Kyle Lowry,200768,PHI @ NYK,1610612755,0,42300115,2024-04-30,W,26,0,5,2,0,4,0.0,0,3,0.0,0,0,,0,2,2,0,0,5,2,15.9,0.0,0.0,G,110.4,104.1,6.3,0.0,0.083,0.043,0.227,0.0,0.074,0.0,88.95,88.0,0.0,73.34,"APR 30, 2024",265.0,42.0,91.0,0.462,15.0,39.0,0.385,13.0,19.0,0.684,12.0,34.0,46.0,28.0,5.0,7.0,16.0,23.0,112.0,108.359133126935,10.0,8.0,40.0,0.4651162790697674,1610612752,108.359133126935,103.36,103.96,104.56,1,0.1,0.11,0.11,5.33,8.4,8.4,4.73,6.43,6.43,,8.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
