,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,PTS_ROLL_AVG_2,PTS_STD_AVG_2,MIN_ROLL_AVG_2,FG_PCT_ROLL_AVG_2,FGM_ROLL_AVG_2,FGA_ROLL_AVG_2,FG3M_ROLL_AVG_2,FG3A_ROLL_AVG_2,FG3_PCT_ROLL_AVG_2,FTM_ROLL_AVG_2,FT_PCT_ROLL_AVG_2,REB_ROLL_AVG_2,AST_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,PTS_ROLL_AVG_4,PTS_STD_AVG_4,MIN_ROLL_AVG_4,FG_PCT_ROLL_AVG_4,FGM_ROLL_AVG_4,FGA_ROLL_AVG_4,FG3M_ROLL_AVG_4,FG3A_ROLL_AVG_4,FG3_PCT_ROLL_AVG_4,FTM_ROLL_AVG_4,FT_PCT_ROLL_AVG_4,REB_ROLL_AVG_4,AST_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,PTS_ROLL_AVG_6,PTS_STD_AVG_6,MIN_ROLL_AVG_6,FG_PCT_ROLL_AVG_6,FGM_ROLL_AVG_6,FGA_ROLL_AVG_6,FG3M_ROLL_AVG_6,FG3A_ROLL_AVG_6,FG3_PCT_ROLL_AVG_6,FTM_ROLL_AVG_6,FT_PCT_ROLL_AVG_6,REB_ROLL_AVG_6,AST_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,DAYS_OF_REST,DAYS_AGO,PTS_LAG_1,PTS_LAG_2,PTS_LAG_3,PTS_LAG_4,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,PTS_VS_DEF,FGA_VS_DEF,FTA_VS_DEF,FG3A_VS_DEF,USG_PCT_VS_DEF,GUARD,FORWARD,CENTER
25,LeBron James,2544,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,36,19,3,5,8,18,0.444,1,5,0.2,2,2,1.0,1,4,2,3,4,0,-22,40.5,1.006,0.4722222222222222,F,,108.7,108.3,142.6,143.4,-34.0,0.029,0.138,0.078,0.158,0.472,0.75,0.278,0.503,90.65,90.7,0.099,69,75.59,0.285,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,59,,,,,105.51,8.0,4.0,0.4890177586732595,0.7702270820892596,1,-0.24,-0.089,-0.636,-0.167,-0.007,0,1,0
1,Aaron Gordon,203932,DEN vs. LAC,DEN,1610612743,LAC,1,42400171,2025-04-19,W,46,25,1,8,8,14,0.571,1,3,0.333,8,10,0.8,5,3,2,0,3,2,0,39.1,1.359,0.6071428571428571,F,,115.9,114.6,117.2,115.7,-1.3,0.111,0.083,0.099,0.034,0.607,0.33,0.212,0.679,92.88,91.75,0.115,88,76.46,0.22,"APR 19, 2025",265,41,94,0.436,9,27,0.333,21,27,0.778,12,33,45,24,11,1,11,18,112,106.78871090770406,7.0,6.0,44.0,0.5,1610612746,106.78871090770406,104.88,103.46,102.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,59,,,,,106.79,7.0,6.0,0.3829255651971575,0.8257412072315047,1,0.593,0.167,2.175,-0.304,0.178,0,1,0
54,Andre Jackson Jr.,1641748,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,1,0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,0.0,0.0,0.0,,,100.0,100.0,50.0,53.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,117.91,120.81,-0.667,3,100.67,0.333,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,59,,,,,99.67,6.0,6.0,0.9730633914079745,0.9799073376421489,1,,0.0,,0.0,0.0,1,0,0
56,Giannis Antetokounmpo,203507,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,38,36,1,12,14,23,0.609,0,2,0.0,8,15,0.533,3,9,1,2,5,2,-18,55.9,1.216,0.6086956521739131,F,,96.0,94.0,118.4,120.3,-22.4,0.068,0.25,0.15,0.083,0.609,0.2,0.407,0.608,95.51,95.28,0.195,75,79.4,0.414,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,59,,,,,99.67,6.0,6.0,0.9730633914079745,0.9799073376421489,1,0.0,0.0,0.0,0.0,-0.007,0,1,0
41,Jaylen Clark,1641740,MIN @ LAL,MIN,1610612750,LAL,0,42400161,2025-04-19,W,3,2,0,0,0,0,,0,0,,2,2,1.0,0,0,1,0,0,1,-4,5.0,0.0,,,,66.7,103.1,160.0,160.0,-93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.143,1.136,67.94,84.17,0.25,6,70.14,0.205,"APR 19, 2025",240,44,86,0.512,21,42,0.5,8,10,0.8,11,33,44,29,8,4,10,21,117,130.8724832214765,5.0,4.0,38.0,0.3975903614457831,1610612747,130.8724832214765,89.4,89.72,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,59,,,,,130.87,5.0,4.0,-1.6129338245720086,-0.05806288063804751,0,0.0,-1.0,1.985,,0.43,1,0,0
24,Tim Hardaway Jr.,203501,DET @ NYK,DET,1610612765,NYK,0,42400121,2025-04-19,L,28,19,1,2,7,13,0.538,3,8,0.375,2,3,0.667,1,1,1,0,2,0,-3,23.9,1.327,0.6538461538461539,G,,119.3,114.5,126.8,122.2,-7.5,0.04,0.038,0.039,0.053,0.654,0.5,0.242,0.663,102.04,98.15,0.105,57,81.79,0.248,"APR 19, 2025",240,41,86,0.477,15,32,0.469,15,20,0.75,11,26,37,23,6,9,19,21,112,108.94941634241246,12.0,9.0,36.0,0.5268817204301075,1610612752,108.94941634241246,102.8,102.14,101.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,59,,,,,108.95,12.0,9.0,0.2038949887062359,1.1789337419735326,1,0.169,0.0,0.2,-0.2,0.344,1,1,0
76,Kevin Porter Jr.,1629645,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,29,12,5,5,2,7,0.286,0,2,0.0,8,8,1.0,1,4,1,0,0,2,-6,28.5,1.141,0.2857142857142857,,,105.2,105.3,113.6,115.4,-8.4,0.032,0.133,0.082,0.263,0.286,0.0,0.172,0.57,94.75,95.6,0.146,58,79.66,0.178,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,59,,,,,99.67,6.0,6.0,0.9730633914079745,0.9799073376421489,1,0.0,0.0,0.0,0.0,0.012,1,1,0
14,OG Anunoby,1628384,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,44,23,0,7,8,18,0.444,3,8,0.375,4,4,1.0,3,4,5,2,2,3,10,50.4,1.164,0.5277777777777778,F,,119.6,118.1,109.9,102.1,9.7,0.071,0.091,0.081,0.0,0.528,0.0,0.214,0.582,103.97,99.57,0.107,92,82.98,0.217,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,59,,,,,121.21,6.0,9.0,-0.8122693019320515,0.5849334418030011,0,0.122,0.231,0.0,0.0,0.126,1,1,0
27,Rudy Gobert,203497,MIN @ LAL,MIN,1610612750,LAL,0,42400161,2025-04-19,W,24,2,1,6,1,2,0.5,0,0,,0,0,,1,5,0,1,0,3,14,13.7,1.0,0.5,C,,128.3,123.2,95.7,96.5,32.5,0.037,0.185,0.111,0.045,0.5,0.0,0.037,0.5,93.29,91.79,0.047,46,76.49,0.036,"APR 19, 2025",240,44,86,0.512,21,42,0.5,8,10,0.8,11,33,44,29,8,4,10,21,117,130.8724832214765,5.0,4.0,38.0,0.3975903614457831,1610612747,130.8724832214765,89.4,89.72,90.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,59,,,,,130.87,5.0,4.0,-1.6129338245720086,-0.05806288063804751,0,-0.787,-0.655,-1.0,,-0.715,0,0,1
33,Nickeil Alexander-Walker,1629638,MIN @ LAL,MIN,1610612750,LAL,0,42400161,2025-04-19,W,20,7,3,1,2,9,0.222,1,6,0.167,2,2,1.0,0,1,0,1,0,2,9,15.7,0.709,0.2777777777777778,,,142.1,141.8,121.6,122.1,20.5,0.0,0.05,0.026,0.176,0.278,0.0,0.222,0.354,88.94,89.04,0.029,38,74.2,0.232,"APR 19, 2025",240,44,86,0.512,21,42,0.5,8,10,0.8,11,33,44,29,8,4,10,21,117,130.8724832214765,5.0,4.0,38.0,0.3975903614457831,1610612747,130.8724832214765,89.4,89.72,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,59,,,,,130.87,5.0,4.0,-1.6129338245720086,-0.05806288063804751,0,-0.315,0.11,1.0,0.386,0.11,1,0,0
