,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,DraftKings,player_points,Shai Gilgeous-Alexander,Over,29.5,-125
1,DraftKings,player_points,Shai Gilgeous-Alexander,Under,29.5,-105
2,DraftKings,player_points,Nikola Jokic,Over,28.5,-120
3,DraftKings,player_points,Nikola Jokic,Under,28.5,-110
4,DraftKings,player_points,Jamal Murray,Over,21.5,-115
5,DraftKings,player_points,Jamal Murray,Under,21.5,-115
6,DraftKings,player_points,Jalen Williams,Over,20.5,-115
7,DraftKings,player_points,Jalen Williams,Under,20.5,-115
8,DraftKings,player_points,Aaron Gordon,Over,16.5,-105
9,DraftKings,player_points,Aaron Gordon,Under,16.5,-125
10,DraftKings,player_points,Chet Holmgren,Over,14.5,-110
11,DraftKings,player_points,Chet Holmgren,Under,14.5,-120
12,DraftKings,player_points,Christian Braun,Over,12.5,-105
13,DraftKings,player_points,Christian Braun,Under,12.5,-125
14,DraftKings,player_points,Isaiah Hartenstein,Over,10.5,-130
15,DraftKings,player_points,Isaiah Hartenstein,Under,10.5,100
16,DraftKings,player_points,Michael Porter Jr,Over,9.5,-105
17,DraftKings,player_points,Michael Porter Jr,Under,9.5,-125
18,DraftKings,player_points,Russell Westbrook,Over,9.5,100
19,DraftKings,player_points,Russell Westbrook,Under,9.5,-130
20,DraftKings,player_points,Luguentz Dort,Over,8.5,-120
21,DraftKings,player_points,Luguentz Dort,Under,8.5,-110
22,DraftKings,player_points,Alex Caruso,Over,8.5,105
23,DraftKings,player_points,Alex Caruso,Under,8.5,-135
24,DraftKings,player_points,Aaron Wiggins,Over,6.5,-105
25,DraftKings,player_points,Aaron Wiggins,Under,6.5,-125
26,DraftKings,player_points,Cason Wallace,Over,4.5,-135
27,DraftKings,player_points,Cason Wallace,Under,4.5,105
28,DraftKings,player_points,Peyton Watson,Over,4.5,-115
29,DraftKings,player_points,Peyton Watson,Under,4.5,-115
30,DraftKings,player_points,Jalen Brunson,Over,29.5,-120
31,DraftKings,player_points,Jalen Brunson,Under,29.5,-110
32,DraftKings,player_points,Jaylen Brown,Over,25.5,-115
33,DraftKings,player_points,Jaylen Brown,Under,25.5,-115
34,DraftKings,player_points,Derrick White,Over,20.5,-120
35,DraftKings,player_points,Derrick White,Under,20.5,-110
36,DraftKings,player_points,Karl-Anthony Towns,Over,20.5,-105
37,DraftKings,player_points,Karl-Anthony Towns,Under,20.5,-125
38,DraftKings,player_points,OG Anunoby,Over,14.5,-130
39,DraftKings,player_points,OG Anunoby,Under,14.5,100
40,DraftKings,player_points,Mikal Bridges,Over,14.5,-125
41,DraftKings,player_points,Mikal Bridges,Under,14.5,-105
42,DraftKings,player_points,Payton Pritchard,Over,14.5,-125
43,DraftKings,player_points,Payton Pritchard,Under,14.5,-105
44,DraftKings,player_points,Josh Hart,Over,12.5,-125
45,DraftKings,player_points,Josh Hart,Under,12.5,-105
46,DraftKings,player_points,Jrue Holiday,Over,11.5,-105
47,DraftKings,player_points,Jrue Holiday,Under,11.5,-125
48,DraftKings,player_points,Al Horford,Over,9.5,100
49,DraftKings,player_points,Al Horford,Under,9.5,-130
50,DraftKings,player_points,Mitchell Robinson,Over,5.5,-120
51,DraftKings,player_points,Mitchell Robinson,Under,5.5,-110
52,BetMGM,player_points,Russell Westbrook,Over,9.5,-110
53,BetMGM,player_points,Russell Westbrook,Under,9.5,-120
54,BetMGM,player_points,Shai Gilgeous-Alexander,Over,30.5,-120
55,BetMGM,player_points,Shai Gilgeous-Alexander,Under,30.5,-110
56,BetMGM,player_points,Christian Braun,Over,12.5,100
57,BetMGM,player_points,Christian Braun,Under,12.5,-130
