,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,Underdog,player_points,Tyrese Haliburton,Over,17.5,-137
1,Underdog,player_points,Tyrese Haliburton,Under,17.5,-137
2,Underdog,player_points,Shai Gilgeous-Alexander,Over,34.5,-137
3,Underdog,player_points,Shai Gilgeous-Alexander,Under,34.5,-137
4,Underdog,player_points,Chet Holmgren,Over,15.5,-137
5,Underdog,player_points,Chet Holmgren,Under,15.5,-137
6,Underdog,player_points,Myles Turner,Over,13.5,-137
7,Underdog,player_points,Myles Turner,Under,13.5,-137
8,Underdog,player_points,Jalen Williams,Over,22.5,-137
9,Underdog,player_points,Jalen Williams,Under,22.5,-137
10,Underdog,player_points,Alex Caruso,Over,10.5,-137
11,Underdog,player_points,Alex Caruso,Under,10.5,-137
12,Underdog,player_points,Andrew Nembhard,Over,10.5,-137
13,Underdog,player_points,Andrew Nembhard,Under,10.5,-137
14,Underdog,player_points,Luguentz Dort,Over,8.5,-137
15,Underdog,player_points,Luguentz Dort,Under,8.5,-137
16,Underdog,player_points,Bennedict Mathurin,Over,8.5,-137
17,Underdog,player_points,Bennedict Mathurin,Under,8.5,-137
18,Underdog,player_points,Isaiah Joe,Over,2.5,-137
19,Underdog,player_points,Isaiah Joe,Under,2.5,-137
20,Underdog,player_points,Ben Sheppard,Over,2.5,-137
21,Underdog,player_points,Ben Sheppard,Under,2.5,-137
22,Underdog,player_points,Kenrich Williams,Over,2.5,-137
23,Underdog,player_points,Kenrich Williams,Under,2.5,-137
24,PrizePicks,player_points,Myles Turner,Over,13.5,-137
25,PrizePicks,player_points,Myles Turner,Under,13.5,-137
26,PrizePicks,player_points,T.J. McConnell,Over,7.5,-137
27,PrizePicks,player_points,T.J. McConnell,Under,7.5,-137
28,PrizePicks,player_points,Luguentz Dort,Over,8.5,-137
29,PrizePicks,player_points,Luguentz Dort,Under,8.5,-137
30,PrizePicks,player_points,Kenrich Williams,Over,2.5,-137
31,PrizePicks,player_points,Kenrich Williams,Under,2.5,-137
32,PrizePicks,player_points,Aaron Wiggins,Over,4.5,-137
33,PrizePicks,player_points,Aaron Wiggins,Under,4.5,-137
34,PrizePicks,player_points,Jalen Williams,Over,22.5,-137
35,PrizePicks,player_points,Jalen Williams,Under,22.5,-137
36,PrizePicks,player_points,Andrew Nembhard,Over,10.5,-137
37,PrizePicks,player_points,Andrew Nembhard,Under,10.5,-137
38,PrizePicks,player_points,Aaron Nesmith,Over,11.0,-137
39,PrizePicks,player_points,Aaron Nesmith,Under,11.0,-137
40,PrizePicks,player_points,Bennedict Mathurin,Over,8.5,-137
41,PrizePicks,player_points,Bennedict Mathurin,Under,8.5,-137
42,PrizePicks,player_points,Isaiah Joe,Over,2.5,-137
43,PrizePicks,player_points,Isaiah Joe,Under,2.5,-137
44,PrizePicks,player_points,Chet Holmgren,Over,15.5,-137
45,PrizePicks,player_points,Chet Holmgren,Under,15.5,-137
46,PrizePicks,player_points,Obi Toppin,Over,10.5,-137
47,PrizePicks,player_points,Obi Toppin,Under,10.5,-137
48,PrizePicks,player_points,Ben Sheppard,Over,2.5,-137
49,PrizePicks,player_points,Ben Sheppard,Under,2.5,-137
50,PrizePicks,player_points,Cason Wallace,Over,5.0,-137
51,PrizePicks,player_points,Cason Wallace,Under,5.0,-137
52,PrizePicks,player_points,Pascal Siakam,Over,19.5,-137
53,PrizePicks,player_points,Pascal Siakam,Under,19.5,-137
54,PrizePicks,player_points,Tyrese Haliburton,Over,17.5,-137
55,PrizePicks,player_points,Tyrese Haliburton,Under,17.5,-137
56,PrizePicks,player_points,Shai Gilgeous-Alexander,Over,34.5,-137
57,PrizePicks,player_points,Shai Gilgeous-Alexander,Under,34.5,-137
58,PrizePicks,player_points,Alex Caruso,Over,10.5,-137
59,PrizePicks,player_points,Alex Caruso,Under,10.5,-137
60,PrizePicks,player_points,Isaiah Hartenstein,Over,6.0,-137
61,PrizePicks,player_points,Isaiah Hartenstein,Under,6.0,-137
62,DraftKings Pick6,player_points,Cason Wallace,Over,5.5,-137
63,DraftKings Pick6,player_points,Cason Wallace,Under,5.5,-137
64,DraftKings Pick6,player_points,Aaron Nesmith,Over,11.5,-137
65,DraftKings Pick6,player_points,Aaron Nesmith,Under,11.5,-137
66,DraftKings Pick6,player_points,Bennedict Mathurin,Over,8.5,-137
67,DraftKings Pick6,player_points,Bennedict Mathurin,Under,8.5,-137
68,DraftKings Pick6,player_points,Myles Turner,Over,13.5,-137
69,DraftKings Pick6,player_points,Myles Turner,Under,13.5,-137
70,DraftKings Pick6,player_points,Chet Holmgren,Over,15.5,-137
71,DraftKings Pick6,player_points,Chet Holmgren,Under,15.5,-137
72,DraftKings Pick6,player_points,Shai Gilgeous-Alexander,Over,34.5,-137
73,DraftKings Pick6,player_points,Shai Gilgeous-Alexander,Under,34.5,-137
74,DraftKings Pick6,player_points,Andrew Nembhard,Over,10.5,-137
75,DraftKings Pick6,player_points,Andrew Nembhard,Under,10.5,-137
76,DraftKings Pick6,player_points,Tyrese Haliburton,Over,17.5,-137
77,DraftKings Pick6,player_points,Tyrese Haliburton,Under,17.5,-137
78,DraftKings Pick6,player_points,T.J. McConnell,Over,7.5,-137
79,DraftKings Pick6,player_points,T.J. McConnell,Under,7.5,-137
80,DraftKings Pick6,player_points,Luguentz Dort,Over,8.5,-137
81,DraftKings Pick6,player_points,Luguentz Dort,Under,8.5,-137
82,DraftKings Pick6,player_points,Obi Toppin,Over,10.5,-137
83,DraftKings Pick6,player_points,Obi Toppin,Under,10.5,-137
84,DraftKings Pick6,player_points,Aaron Wiggins,Over,4.5,-137
85,DraftKings Pick6,player_points,Aaron Wiggins,Under,4.5,-137
86,DraftKings Pick6,player_points,Isaiah Hartenstein,Over,6.5,-137
87,DraftKings Pick6,player_points,Isaiah Hartenstein,Under,6.5,-137
88,DraftKings Pick6,player_points,Alex Caruso,Over,10.5,-137
89,DraftKings Pick6,player_points,Alex Caruso,Under,10.5,-137
90,DraftKings Pick6,player_points,Pascal Siakam,Over,19.5,-137
91,DraftKings Pick6,player_points,Pascal Siakam,Under,19.5,-137
92,DraftKings Pick6,player_points,Jalen Williams,Over,22.5,-137
93,DraftKings Pick6,player_points,Jalen Williams,Under,22.5,-137
94,DraftKings Pick6,player_points,Ben Sheppard,Over,2.5,-137
95,DraftKings Pick6,player_points,Ben Sheppard,Under,2.5,-137
96,DraftKings Pick6,player_points,Kenrich Williams,Over,2.5,-137
97,DraftKings Pick6,player_points,Kenrich Williams,Under,2.5,-137
98,Underdog,player_rebounds,Kenrich Williams,Over,2.5,-137
99,Underdog,player_rebounds,Kenrich Williams,Under,2.5,-137
100,PrizePicks,player_rebounds,Myles Turner,Over,5.0,-137
101,PrizePicks,player_rebounds,Myles Turner,Under,5.0,-137
102,PrizePicks,player_rebounds,Luguentz Dort,Over,3.5,-137
103,PrizePicks,player_rebounds,Luguentz Dort,Under,3.5,-137
104,PrizePicks,player_rebounds,Jalen Williams,Over,5.5,-137
105,PrizePicks,player_rebounds,Jalen Williams,Under,5.5,-137
106,PrizePicks,player_rebounds,Aaron Nesmith,Over,5.0,-137
107,PrizePicks,player_rebounds,Aaron Nesmith,Under,5.0,-137
108,PrizePicks,player_rebounds,Chet Holmgren,Over,9.0,-137
109,PrizePicks,player_rebounds,Chet Holmgren,Under,9.0,-137
110,PrizePicks,player_rebounds,Pascal Siakam,Over,7.0,-137
111,PrizePicks,player_rebounds,Pascal Siakam,Under,7.0,-137
112,PrizePicks,player_rebounds,Tyrese Haliburton,Over,5.0,-137
113,PrizePicks,player_rebounds,Tyrese Haliburton,Under,5.0,-137
114,PrizePicks,player_rebounds,Shai Gilgeous-Alexander,Over,5.5,-137
115,PrizePicks,player_rebounds,Shai Gilgeous-Alexander,Under,5.5,-137
