,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,PrizePicks,player_points,Myles Turner,Over,13.5,-137
1,PrizePicks,player_points,Myles Turner,Under,13.5,-137
2,PrizePicks,player_points,T.J. McConnell,Over,7.5,-137
3,PrizePicks,player_points,T.J. McConnell,Under,7.5,-137
4,PrizePicks,player_points,Luguentz Dort,Over,9.5,-137
5,PrizePicks,player_points,Luguentz Dort,Under,9.5,-137
6,PrizePicks,player_points,Jalen Williams,Over,22.5,-137
7,PrizePicks,player_points,Jalen Williams,Under,22.5,-137
8,PrizePicks,player_points,Andrew Nembhard,Over,10.5,-137
9,PrizePicks,player_points,Andrew Nembhard,Under,10.5,-137
10,PrizePicks,player_points,Aaron Nesmith,Over,11.5,-137
11,PrizePicks,player_points,Aaron Nesmith,Under,11.5,-137
12,PrizePicks,player_points,Bennedict Mathurin,Over,7.5,-137
13,PrizePicks,player_points,Bennedict Mathurin,Under,7.5,-137
14,PrizePicks,player_points,Chet Holmgren,Over,16.5,-137
15,PrizePicks,player_points,Chet Holmgren,Under,16.5,-137
16,PrizePicks,player_points,Obi Toppin,Over,7.5,-137
17,PrizePicks,player_points,Obi Toppin,Under,7.5,-137
18,PrizePicks,player_points,Ben Sheppard,Over,3.5,-137
19,PrizePicks,player_points,Ben Sheppard,Under,3.5,-137
20,PrizePicks,player_points,Cason Wallace,Over,7.0,-137
21,PrizePicks,player_points,Cason Wallace,Under,7.0,-137
22,PrizePicks,player_points,Pascal Siakam,Over,19.5,-137
23,PrizePicks,player_points,Pascal Siakam,Under,19.5,-137
24,PrizePicks,player_points,Tyrese Haliburton,Over,17.5,-137
25,PrizePicks,player_points,Tyrese Haliburton,Under,17.5,-137
26,PrizePicks,player_points,Shai Gilgeous-Alexander,Over,33.5,-137
27,PrizePicks,player_points,Shai Gilgeous-Alexander,Under,33.5,-137
28,PrizePicks,player_points,Alex Caruso,Over,8.5,-137
29,PrizePicks,player_points,Alex Caruso,Under,8.5,-137
30,PrizePicks,player_points,Isaiah Hartenstein,Over,7.5,-137
31,PrizePicks,player_points,Isaiah Hartenstein,Under,7.5,-137
32,DraftKings Pick6,player_points,Jalen Williams,Over,22.5,-137
33,DraftKings Pick6,player_points,Jalen Williams,Under,22.5,-137
34,DraftKings Pick6,player_points,Luguentz Dort,Over,9.5,-137
35,DraftKings Pick6,player_points,Luguentz Dort,Under,9.5,-137
36,DraftKings Pick6,player_points,Obi Toppin,Over,7.5,-137
37,DraftKings Pick6,player_points,Obi Toppin,Under,7.5,-137
38,DraftKings Pick6,player_points,Myles Turner,Over,13.5,-137
39,DraftKings Pick6,player_points,Myles Turner,Under,13.5,-137
40,DraftKings Pick6,player_points,Bennedict Mathurin,Over,7.5,-137
41,DraftKings Pick6,player_points,Bennedict Mathurin,Under,7.5,-137
42,DraftKings Pick6,player_points,Alex Caruso,Over,9.5,-137
43,DraftKings Pick6,player_points,Alex Caruso,Under,9.5,-137
44,DraftKings Pick6,player_points,Chet Holmgren,Over,16.5,-137
45,DraftKings Pick6,player_points,Chet Holmgren,Under,16.5,-137
46,DraftKings Pick6,player_points,Shai Gilgeous-Alexander,Over,33.5,-137
47,DraftKings Pick6,player_points,Shai Gilgeous-Alexander,Under,33.5,-137
48,DraftKings Pick6,player_points,Pascal Siakam,Over,19.5,-137
49,DraftKings Pick6,player_points,Pascal Siakam,Under,19.5,-137
50,DraftKings Pick6,player_points,Aaron Nesmith,Over,11.5,-137
51,DraftKings Pick6,player_points,Aaron Nesmith,Under,11.5,-137
52,DraftKings Pick6,player_points,Tyrese Haliburton,Over,17.5,-137
53,DraftKings Pick6,player_points,Tyrese Haliburton,Under,17.5,-137
54,DraftKings Pick6,player_points,Andrew Nembhard,Over,10.5,-137
55,DraftKings Pick6,player_points,Andrew Nembhard,Under,10.5,-137
56,DraftKings Pick6,player_points,T.J. McConnell,Over,6.5,-137
57,DraftKings Pick6,player_points,T.J. McConnell,Under,6.5,-137
58,DraftKings Pick6,player_points,Isaiah Hartenstein,Over,7.5,-137
59,DraftKings Pick6,player_points,Isaiah Hartenstein,Under,7.5,-137
60,DraftKings Pick6,player_points,Cason Wallace,Over,6.5,-137
61,DraftKings Pick6,player_points,Cason Wallace,Under,6.5,-137
62,Underdog,player_points,Shai Gilgeous-Alexander,Over,33.5,-137
63,Underdog,player_points,Shai Gilgeous-Alexander,Under,33.5,-137
64,Underdog,player_points,Tyrese Haliburton,Over,17.5,-137
65,Underdog,player_points,Tyrese Haliburton,Under,17.5,-137
66,Underdog,player_points,Pascal Siakam,Over,19.5,-137
67,Underdog,player_points,Pascal Siakam,Under,19.5,-137
68,Underdog,player_points,Jalen Williams,Over,22.5,-137
69,Underdog,player_points,Jalen Williams,Under,22.5,-137
70,Underdog,player_points,Myles Turner,Over,13.5,-137
71,Underdog,player_points,Myles Turner,Under,13.5,-137
72,Underdog,player_points,Andrew Nembhard,Over,10.5,-137
73,Underdog,player_points,Andrew Nembhard,Under,10.5,-137
74,Underdog,player_points,Bennedict Mathurin,Over,7.5,-137
75,Underdog,player_points,Bennedict Mathurin,Under,7.5,-137
76,Underdog,player_points,Isaiah Hartenstein,Over,7.5,-137
77,Underdog,player_points,Isaiah Hartenstein,Under,7.5,-137
78,PrizePicks,player_rebounds,Myles Turner,Over,5.0,-137
79,PrizePicks,player_rebounds,Myles Turner,Under,5.0,-137
80,PrizePicks,player_rebounds,Jalen Williams,Over,6.0,-137
81,PrizePicks,player_rebounds,Jalen Williams,Under,6.0,-137
82,PrizePicks,player_rebounds,Chet Holmgren,Over,9.5,-137
83,PrizePicks,player_rebounds,Chet Holmgren,Under,9.5,-137
84,PrizePicks,player_rebounds,Pascal Siakam,Over,6.0,-137
85,PrizePicks,player_rebounds,Pascal Siakam,Under,6.0,-137
86,PrizePicks,player_rebounds,Tyrese Haliburton,Over,5.0,-137
87,PrizePicks,player_rebounds,Tyrese Haliburton,Under,5.0,-137
88,PrizePicks,player_rebounds,Shai Gilgeous-Alexander,Over,5.5,-137
89,PrizePicks,player_rebounds,Shai Gilgeous-Alexander,Under,5.5,-137
90,PrizePicks,player_rebounds,Alex Caruso,Over,3.0,-137
