,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,FanDuel,player_points,Isaiah Hartenstein,Over,7.5,-108
1,FanDuel,player_points,Isaiah Hartenstein,Under,7.5,-122
2,FanDuel,player_points,Andrew Nembhard,Over,10.5,-132
3,FanDuel,player_points,Andrew Nembhard,Under,10.5,100
4,FanDuel,player_points,Pascal Siakam,Over,19.5,-114
5,FanDuel,player_points,Pascal Siakam,Under,19.5,-114
6,FanDuel,player_points,Tyrese Haliburton,Over,17.5,-110
7,FanDuel,player_points,Tyrese Haliburton,Under,17.5,-120
8,FanDuel,player_points,T.J. McConnell,Over,6.5,-136
9,FanDuel,player_points,T.J. McConnell,Under,6.5,102
10,FanDuel,player_points,Myles Turner,Over,13.5,-125
11,FanDuel,player_points,Myles Turner,Under,13.5,-106
12,FanDuel,player_points,Obi Toppin,Over,6.5,-132
13,FanDuel,player_points,Obi Toppin,Under,6.5,100
14,FanDuel,player_points,Luguentz Dort,Over,8.5,-130
15,FanDuel,player_points,Luguentz Dort,Under,8.5,-102
16,FanDuel,player_points,Alex Caruso,Over,8.5,-136
17,FanDuel,player_points,Alex Caruso,Under,8.5,102
18,FanDuel,player_points,Chet Holmgren,Over,16.5,-108
19,FanDuel,player_points,Chet Holmgren,Under,16.5,-122
20,FanDuel,player_points,Bennedict Mathurin,Over,7.5,-114
21,FanDuel,player_points,Bennedict Mathurin,Under,7.5,-114
22,FanDuel,player_points,Cason Wallace,Over,6.5,-125
23,FanDuel,player_points,Cason Wallace,Under,6.5,-106
24,FanDuel,player_points,Ben Sheppard,Over,3.5,102
25,FanDuel,player_points,Ben Sheppard,Under,3.5,-136
26,FanDuel,player_points,Jalen Williams,Over,22.5,-106
27,FanDuel,player_points,Jalen Williams,Under,22.5,-125
28,FanDuel,player_points,Aaron Nesmith,Over,11.5,-106
29,FanDuel,player_points,Aaron Nesmith,Under,11.5,-125
30,FanDuel,player_points,Shai Gilgeous-Alexander,Over,33.5,-118
31,FanDuel,player_points,Shai Gilgeous-Alexander,Under,33.5,-112
32,DraftKings,player_points,Shai Gilgeous-Alexander,Over,33.5,-120
33,DraftKings,player_points,Shai Gilgeous-Alexander,Under,33.5,-110
34,DraftKings,player_points,Jalen Williams,Over,22.5,-110
35,DraftKings,player_points,Jalen Williams,Under,22.5,-120
36,DraftKings,player_points,Pascal Siakam,Over,19.5,-110
37,DraftKings,player_points,Pascal Siakam,Under,19.5,-120
38,DraftKings,player_points,Tyrese Haliburton,Over,17.5,-115
39,DraftKings,player_points,Tyrese Haliburton,Under,17.5,-115
40,DraftKings,player_points,Chet Holmgren,Over,15.5,-130
41,DraftKings,player_points,Chet Holmgren,Under,15.5,100
42,DraftKings,player_points,Myles Turner,Over,13.5,-130
43,DraftKings,player_points,Myles Turner,Under,13.5,100
44,DraftKings,player_points,Aaron Nesmith,Over,11.5,-110
45,DraftKings,player_points,Aaron Nesmith,Under,11.5,-120
46,DraftKings,player_points,Andrew Nembhard,Over,10.5,-125
47,DraftKings,player_points,Andrew Nembhard,Under,10.5,-105
48,DraftKings,player_points,Alex Caruso,Over,8.5,-130
49,DraftKings,player_points,Alex Caruso,Under,8.5,100
50,DraftKings,player_points,Luguentz Dort,Over,8.5,-130
51,DraftKings,player_points,Luguentz Dort,Under,8.5,100
52,DraftKings,player_points,Isaiah Hartenstein,Over,7.5,-120
53,DraftKings,player_points,Isaiah Hartenstein,Under,7.5,-110
54,DraftKings,player_points,Obi Toppin,Over,7.5,-105
55,DraftKings,player_points,Obi Toppin,Under,7.5,-125
56,DraftKings,player_points,Bennedict Mathurin,Over,7.5,100
57,DraftKings,player_points,Bennedict Mathurin,Under,7.5,-130
58,DraftKings,player_points,T.J. McConnell,Over,6.5,-130
59,DraftKings,player_points,T.J. McConnell,Under,6.5,100
60,DraftKings,player_points,Cason Wallace,Over,6.5,-125
61,DraftKings,player_points,Cason Wallace,Under,6.5,-105
62,DraftKings,player_points,Ben Sheppard,Over,2.5,-154
63,DraftKings,player_points,Ben Sheppard,Under,2.5,120
64,Bovada,player_points,Aaron Nesmith,Over,8.5,-260
65,Bovada,player_points,Aaron Nesmith,Under,8.5,190
66,Bovada,player_points,Aaron Nesmith,Over,9.5,-185
67,Bovada,player_points,Aaron Nesmith,Under,9.5,140
68,Bovada,player_points,Aaron Nesmith,Over,10.5,-135
69,Bovada,player_points,Aaron Nesmith,Under,10.5,105
70,Bovada,player_points,Aaron Nesmith,Over,11.5,100
71,Bovada,player_points,Aaron Nesmith,Under,11.5,-130
72,Bovada,player_points,Aaron Nesmith,Over,12.5,130
73,Bovada,player_points,Aaron Nesmith,Under,12.5,-170
74,Bovada,player_points,Aaron Nesmith,Over,13.5,170
75,Bovada,player_points,Aaron Nesmith,Under,13.5,-230
76,Bovada,player_points,Alex Caruso,Over,6.5,-260
77,Bovada,player_points,Alex Caruso,Under,6.5,190
78,Bovada,player_points,Alex Caruso,Over,7.5,-180
79,Bovada,player_points,Alex Caruso,Under,7.5,135
80,Bovada,player_points,Alex Caruso,Over,8.5,-125
81,Bovada,player_points,Alex Caruso,Under,8.5,-105
82,Bovada,player_points,Alex Caruso,Over,9.5,110
83,Bovada,player_points,Alex Caruso,Under,9.5,-145
84,Bovada,player_points,Alex Caruso,Over,10.5,150
85,Bovada,player_points,Alex Caruso,Under,10.5,-200
86,Bovada,player_points,Alex Caruso,Over,11.5,200
87,Bovada,player_points,Alex Caruso,Under,11.5,-275
88,Bovada,player_points,Andrew Nembhard,Over,8.5,-245
89,Bovada,player_points,Andrew Nembhard,Under,8.5,180
90,Bovada,player_points,Andrew Nembhard,Over,9.5,-170
91,Bovada,player_points,Andrew Nembhard,Under,9.5,130
92,Bovada,player_points,Andrew Nembhard,Over,10.5,-125
93,Bovada,player_points,Andrew Nembhard,Under,10.5,-105
94,Bovada,player_points,Andrew Nembhard,Over,11.5,105
95,Bovada,player_points,Andrew Nembhard,Under,11.5,-135
96,Bovada,player_points,Andrew Nembhard,Over,12.5,140
97,Bovada,player_points,Andrew Nembhard,Under,12.5,-185
98,Bovada,player_points,Andrew Nembhard,Over,13.5,180
99,Bovada,player_points,Andrew Nembhard,Under,13.5,-245
100,Bovada,player_points,Bennedict Mathurin,Over,5.5,-290
101,Bovada,player_points,Bennedict Mathurin,Under,5.5,210
102,Bovada,player_points,Bennedict Mathurin,Over,6.5,-185
103,Bovada,player_points,Bennedict Mathurin,Under,6.5,140
104,Bovada,player_points,Bennedict Mathurin,Over,7.5,-130
105,Bovada,player_points,Bennedict Mathurin,Under,7.5,100
106,Bovada,player_points,Bennedict Mathurin,Over,8.5,110
107,Bovada,player_points,Bennedict Mathurin,Under,8.5,-145
108,Bovada,player_points,Bennedict Mathurin,Over,9.5,150
109,Bovada,player_points,Bennedict Mathurin,Under,9.5,-200
110,Bovada,player_points,Bennedict Mathurin,Over,10.5,200
111,Bovada,player_points,Bennedict Mathurin,Under,10.5,-275
112,Bovada,player_points,Cason Wallace,Over,5.5,-200
113,Bovada,player_points,Cason Wallace,Under,5.5,150
114,Bovada,player_points,Cason Wallace,Over,7.5,105
115,Bovada,player_points,Cason Wallace,Under,7.5,-135
116,Bovada,player_points,Cason Wallace,Over,8.5,145
117,Bovada,player_points,Cason Wallace,Under,8.5,-190
118,Bovada,player_points,Cason Wallace,Over,9.5,200
119,Bovada,player_points,Cason Wallace,Under,9.5,-275
120,Bovada,player_points,Chet Holmgren,Over,13.5,-275
121,Bovada,player_points,Chet Holmgren,Under,13.5,200
122,Bovada,player_points,Chet Holmgren,Over,14.5,-210
123,Bovada,player_points,Chet Holmgren,Under,14.5,155
124,Bovada,player_points,Chet Holmgren,Over,15.5,-160
125,Bovada,player_points,Chet Holmgren,Under,15.5,120
126,Bovada,player_points,Chet Holmgren,Over,16.5,-125
127,Bovada,player_points,Chet Holmgren,Under,16.5,-105
128,Bovada,player_points,Chet Holmgren,Over,17.5,105
129,Bovada,player_points,Chet Holmgren,Under,17.5,-135
130,Bovada,player_points,Chet Holmgren,Over,18.5,130
131,Bovada,player_points,Chet Holmgren,Under,18.5,-170
132,Bovada,player_points,Chet Holmgren,Over,19.5,160
133,Bovada,player_points,Chet Holmgren,Under,19.5,-215
134,Bovada,player_points,Chet Holmgren,Over,20.5,200
135,Bovada,player_points,Chet Holmgren,Under,20.5,-275
136,Bovada,player_points,Jalen Williams,Over,19.5,-250
137,Bovada,player_points,Jalen Williams,Under,19.5,185
138,Bovada,player_points,Jalen Williams,Over,20.5,-200
139,Bovada,player_points,Jalen Williams,Under,20.5,150
140,Bovada,player_points,Jalen Williams,Over,21.5,-160
141,Bovada,player_points,Jalen Williams,Under,21.5,120
142,Bovada,player_points,Jalen Williams,Over,22.5,-125
143,Bovada,player_points,Jalen Williams,Under,22.5,-105
144,Bovada,player_points,Jalen Williams,Over,23.5,-105
145,Bovada,player_points,Jalen Williams,Under,23.5,-125
146,Bovada,player_points,Jalen Williams,Over,24.5,120
147,Bovada,player_points,Jalen Williams,Under,24.5,-160
148,Bovada,player_points,Jalen Williams,Over,25.5,145
149,Bovada,player_points,Jalen Williams,Under,25.5,-190
150,Bovada,player_points,Jalen Williams,Over,26.5,175
151,Bovada,player_points,Jalen Williams,Under,26.5,-240
152,Bovada,player_points,Jalen Williams,Over,27.5,210
153,Bovada,player_points,Jalen Williams,Under,27.5,-290
154,Bovada,player_points,Luguentz Dort,Over,7.5,-210
155,Bovada,player_points,Luguentz Dort,Under,7.5,155
156,Bovada,player_points,Luguentz Dort,Over,8.5,-145
157,Bovada,player_points,Luguentz Dort,Under,8.5,110
158,Bovada,player_points,Luguentz Dort,Over,9.5,-105
159,Bovada,player_points,Luguentz Dort,Under,9.5,-125
160,Bovada,player_points,Luguentz Dort,Over,10.5,130
161,Bovada,player_points,Luguentz Dort,Under,10.5,-170
162,Bovada,player_points,Luguentz Dort,Over,11.5,170
163,Bovada,player_points,Luguentz Dort,Under,11.5,-230
164,Bovada,player_points,Myles Turner,Over,11.5,-230
165,Bovada,player_points,Myles Turner,Under,11.5,170
166,Bovada,player_points,Myles Turner,Over,12.5,-165
167,Bovada,player_points,Myles Turner,Under,12.5,125
168,Bovada,player_points,Myles Turner,Over,13.5,-125
169,Bovada,player_points,Myles Turner,Under,13.5,-105
170,Bovada,player_points,Myles Turner,Over,14.5,105
171,Bovada,player_points,Myles Turner,Under,14.5,-135
