,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,DraftKings,player_points,Shai Gilgeous-Alexander,Over,33.5,-115
1,DraftKings,player_points,Shai Gilgeous-Alexander,Under,33.5,-115
2,DraftKings,player_points,Jalen Williams,Over,21.5,-105
3,DraftKings,player_points,Jalen Williams,Under,21.5,-125
4,DraftKings,player_points,Pascal Siakam,Over,19.5,-105
5,DraftKings,player_points,Pascal Siakam,Under,19.5,-125
6,DraftKings,player_points,Tyrese Haliburton,Over,17.5,-110
7,DraftKings,player_points,Tyrese Haliburton,Under,17.5,-120
8,DraftKings,player_points,Myles Turner,Over,14.5,-125
9,DraftKings,player_points,Myles Turner,Under,14.5,-105
10,DraftKings,player_points,Chet Holmgren,Over,14.5,-120
11,DraftKings,player_points,Chet Holmgren,Under,14.5,-110
12,DraftKings,player_points,Aaron Nesmith,Over,13.5,100
13,DraftKings,player_points,Aaron Nesmith,Under,13.5,-130
14,DraftKings,player_points,Andrew Nembhard,Over,11.5,-110
15,DraftKings,player_points,Andrew Nembhard,Under,11.5,-120
16,DraftKings,player_points,Obi Toppin,Over,9.5,-115
17,DraftKings,player_points,Obi Toppin,Under,9.5,-115
18,DraftKings,player_points,Alex Caruso,Over,9.5,-110
19,DraftKings,player_points,Alex Caruso,Under,9.5,-120
20,DraftKings,player_points,Bennedict Mathurin,Over,8.5,-120
21,DraftKings,player_points,Bennedict Mathurin,Under,8.5,-110
22,DraftKings,player_points,Luguentz Dort,Over,7.5,-130
23,DraftKings,player_points,Luguentz Dort,Under,7.5,100
24,DraftKings,player_points,T.J. McConnell,Over,6.5,-115
25,DraftKings,player_points,T.J. McConnell,Under,6.5,-115
26,DraftKings,player_points,Isaiah Hartenstein,Over,6.5,-110
27,DraftKings,player_points,Isaiah Hartenstein,Under,6.5,-120
28,DraftKings,player_points,Aaron Wiggins,Over,6.5,100
29,DraftKings,player_points,Aaron Wiggins,Under,6.5,-130
30,DraftKings,player_points,Cason Wallace,Over,6.5,105
31,DraftKings,player_points,Cason Wallace,Under,6.5,-135
32,DraftKings,player_points,Isaiah Joe,Over,2.5,-135
33,DraftKings,player_points,Isaiah Joe,Under,2.5,105
34,DraftKings,player_points,Thomas Bryant,Over,2.5,-115
35,DraftKings,player_points,Thomas Bryant,Under,2.5,-115
36,DraftKings,player_points,Ben Sheppard,Over,2.5,120
37,DraftKings,player_points,Ben Sheppard,Under,2.5,-154
38,Bovada,player_points,Aaron Nesmith,Over,10.5,-230
39,Bovada,player_points,Aaron Nesmith,Under,10.5,170
40,Bovada,player_points,Aaron Nesmith,Over,11.5,-165
41,Bovada,player_points,Aaron Nesmith,Under,11.5,125
42,Bovada,player_points,Aaron Nesmith,Over,12.5,-125
43,Bovada,player_points,Aaron Nesmith,Under,12.5,-105
44,Bovada,player_points,Aaron Nesmith,Over,13.5,105
45,Bovada,player_points,Aaron Nesmith,Under,13.5,-135
46,Bovada,player_points,Aaron Nesmith,Over,14.5,135
47,Bovada,player_points,Aaron Nesmith,Under,14.5,-180
48,Bovada,player_points,Aaron Nesmith,Over,15.5,175
49,Bovada,player_points,Aaron Nesmith,Under,15.5,-240
50,Bovada,player_points,Alex Caruso,Over,7.5,-220
51,Bovada,player_points,Alex Caruso,Under,7.5,165
52,Bovada,player_points,Alex Caruso,Over,8.5,-150
53,Bovada,player_points,Alex Caruso,Under,8.5,115
54,Bovada,player_points,Alex Caruso,Over,9.5,-110
55,Bovada,player_points,Alex Caruso,Under,9.5,-120
56,Bovada,player_points,Alex Caruso,Over,10.5,120
57,Bovada,player_points,Alex Caruso,Under,10.5,-160
58,Bovada,player_points,Alex Caruso,Over,11.5,165
59,Bovada,player_points,Alex Caruso,Under,11.5,-220
60,Bovada,player_points,Alex Caruso,Over,12.5,215
61,Bovada,player_points,Alex Caruso,Under,12.5,-300
62,Bovada,player_points,Andrew Nembhard,Over,8.5,-275
63,Bovada,player_points,Andrew Nembhard,Under,8.5,200
64,Bovada,player_points,Andrew Nembhard,Over,9.5,-190
65,Bovada,player_points,Andrew Nembhard,Under,9.5,145
66,Bovada,player_points,Andrew Nembhard,Over,10.5,-135
67,Bovada,player_points,Andrew Nembhard,Under,10.5,105
