,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
0,Bennedict Mathurin,Bovada,player_points,9.5,Over,190,228,0.541,56.86,0.5385
1,Cason Wallace,Bovada,player_blocks,0.5,Over,235,277,0.464,55.49,0.4619
2,Cason Wallace,DraftKings,player_blocks,0.5,Over,230,277,0.462,52.33,0.4593
3,Cason Wallace,BetRivers,player_assists,1.5,Over,128,141,0.659,50.25,0.6563
4,Aaron Nesmith,DraftKings,player_blocks,0.5,Over,145,160,0.612,50.04,0.6097
5,Cason Wallace,DraftKings,player_blocks_steals,1.5,Over,150,174,0.599,49.7,0.5961
6,Aaron Wiggins,DraftKings,player_blocks,0.5,Over,370,441,0.318,49.69,0.3166
7,Tyrese Haliburton,Bovada,player_assists,7.5,Over,125,139,0.662,48.88,0.659
8,Tyrese Haliburton,FanDuel,player_assists,7.5,Over,124,139,0.664,48.72,0.6612
9,Aaron Nesmith,Bovada,player_blocks,0.5,Over,145,160,0.603,47.84,0.6007
10,Cason Wallace,FanDuel,player_assists,1.5,Over,128,141,0.646,47.26,0.6431
11,Ben Sheppard,DraftKings,player_threes,0.5,Over,130,153,0.64,47.1,0.6368
12,Andrew Nembhard,BetRivers,player_threes,1.5,Over,160,168,0.563,46.38,0.5603
13,Andrew Nembhard,BetRivers,player_threes,1.5,Over,160,168,0.563,46.29,0.5599
14,Aaron Nesmith,Bovada,player_threes,2.5,Over,170,199,0.542,46.29,0.5391
15,Aaron Nesmith,Bovada,player_threes,2.5,Over,170,199,0.541,46.05,0.5382
16,Tyrese Haliburton,Bovada,player_rebounds_assists,11.5,Over,105,110,0.711,45.67,0.7078
17,Ben Sheppard,DraftKings,player_threes,0.5,Over,130,153,0.632,45.41,0.6294
18,Cason Wallace,BetOnline.ag,player_assists,1.5,Over,120,141,0.657,44.64,0.6546
19,Cason Wallace,DraftKings,player_assists,1.5,Over,120,141,0.654,43.78,0.6507
20,Cason Wallace,BetRivers,player_rebounds_assists,3.5,Over,-106,108,0.737,43.2,0.734
