,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
0,Shai Gilgeous-Alexander,Bovada,player_points,29.5,Under,210,0.474,46.96,0.2236
1,Isaiah Hartenstein,BetRivers,player_points,7.5,Over,112,0.679,44.0,0.3929
2,Isaiah Hartenstein,BetRivers,player_points,6.5,Over,-121,0.777,41.98,0.508
3,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Under,150,0.563,40.73,0.2715
4,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Under,175,0.511,40.59,0.2319
5,Shai Gilgeous-Alexander,Bovada,player_points,32.5,Under,125,0.612,37.81,0.3025
6,Isaiah Joe,DraftKings,player_points,3.5,Over,110,0.653,37.12,0.3375
7,Shai Gilgeous-Alexander,Bovada,player_points,33.5,Under,105,0.657,34.65,0.33
8,Isaiah Hartenstein,BetOnline.ag,player_points,7.5,Over,-103,0.681,34.31,0.3534
9,Isaiah Hartenstein,FanDuel,player_points,6.5,Over,-136,0.769,33.46,0.4551
10,Isaiah Hartenstein,DraftKings,player_points,7.5,Over,-105,0.682,33.1,0.3475
11,Isaiah Hartenstein,Bovada,player_points,7.5,Over,-105,0.679,32.52,0.3415
12,Isaiah Hartenstein,Bovada,player_points,8.5,Over,130,0.575,32.16,0.2474
13,Shai Gilgeous-Alexander,Bovada,player_points,34.5,Under,-115,0.697,30.3,0.3485
14,Isaiah Hartenstein,Bovada,player_points,9.5,Over,180,0.465,30.12,0.1673
15,Shai Gilgeous-Alexander,Bovada,player_points,35.5,Under,-135,0.742,29.15,0.3936
16,Shai Gilgeous-Alexander,DraftKings,player_points,34.5,Under,-120,0.702,28.61,0.3433
17,Shai Gilgeous-Alexander,BetOnline.ag,player_points,34.5,Under,-119,0.698,28.46,0.3386
18,Isaiah Hartenstein,Bovada,player_points,6.5,Over,-150,0.77,28.29,0.4244
19,Shai Gilgeous-Alexander,BetRivers,player_points,32.5,Under,107,0.613,26.88,0.2512
20,Shai Gilgeous-Alexander,Bovada,player_points,36.5,Under,-160,0.78,26.74,0.4279
21,Shai Gilgeous-Alexander,BetRivers,player_points,33.5,Under,-110,0.655,25.04,0.2755
22,Shai Gilgeous-Alexander,BetRivers,player_points,34.5,Under,-130,0.705,24.72,0.3214
23,Shai Gilgeous-Alexander,Bovada,player_points,37.5,Under,-190,0.813,24.07,0.4573
24,Shai Gilgeous-Alexander,FanDuel,player_points,34.5,Under,-130,0.701,23.97,0.3117
25,Aaron Nesmith,Bovada,player_points,15.5,Over,210,0.399,23.55,0.1121
26,Bennedict Mathurin,Bovada,player_points,11.5,Over,190,0.424,22.96,0.1208
27,Shai Gilgeous-Alexander,Bovada,player_points,38.5,Under,-230,0.851,22.13,0.5089
28,Isaiah Hartenstein,Bovada,player_points,5.5,Over,-230,0.848,21.61,0.497
29,Shai Gilgeous-Alexander,BetRivers,player_points,35.5,Under,-157,0.742,21.52,0.3378
30,Aaron Nesmith,Bovada,player_points,14.5,Over,160,0.464,20.56,0.1285
31,Shai Gilgeous-Alexander,Bovada,player_points,39.5,Under,-275,0.879,19.87,0.5464
