,PLAYER 1,PLAYER 1 LINE,PLAYER 2,PLAYER 2 LINE,TYPE,EV,PROBABILITY,KELLY CRITERION
0,Isaiah Hartenstein,7.0,Shai Gilgeous-Alexander,34.5,UNDER/OVER,55.42,0.5181,0.5157
1,Isaiah Hartenstein,7.0,Isaiah Joe,3.5,OVER,43.51,0.4784,0.4758
2,Isaiah Joe,3.5,Shai Gilgeous-Alexander,34.5,UNDER/OVER,35.98,0.4533,0.4506
3,Aaron Nesmith,12.0,Isaiah Hartenstein,7.0,OVER,34.06,0.4469,0.4441
4,Isaiah Hartenstein,7.0,T.J. McConnell,7.0,OVER,33.38,0.4446,0.4418
5,Isaiah Hartenstein,7.0,Myles Turner,14.0,OVER,29.03,0.4301,0.4273
6,Shai Gilgeous-Alexander,34.5,T.J. McConnell,7.0,UNDER/OVER,28.93,0.4298,0.4269
7,Ben Sheppard,2.5,Isaiah Hartenstein,7.0,OVER,28.6,0.4287,0.4258
8,Cason Wallace,6.0,Isaiah Hartenstein,7.0,OVER/UNDER,28.39,0.428,0.4251
9,Bennedict Mathurin,8.5,Isaiah Hartenstein,7.0,OVER,27.58,0.4253,0.4224
10,Aaron Nesmith,12.0,Shai Gilgeous-Alexander,34.5,UNDER/OVER,27.13,0.4238,0.4209
11,Isaiah Hartenstein,7.0,Pascal Siakam,19.5,OVER,25.53,0.4184,0.4155
12,Myles Turner,14.0,Shai Gilgeous-Alexander,34.5,UNDER/OVER,24.79,0.416,0.4131
13,Isaiah Hartenstein,7.0,Thomas Bryant,2.5,OVER,24.56,0.4152,0.4123
14,Ben Sheppard,2.5,Shai Gilgeous-Alexander,34.5,UNDER/OVER,23.05,0.4102,0.4073
15,Bennedict Mathurin,8.5,Shai Gilgeous-Alexander,34.5,UNDER/OVER,21.7,0.4057,0.4027
16,Isaiah Hartenstein,7.0,Tyrese Haliburton,17.5,OVER,21.66,0.4055,0.4025
17,Cason Wallace,6.0,Shai Gilgeous-Alexander,34.5,UNDER,21.37,0.4046,0.4016
18,Andrew Nembhard,12.0,Isaiah Hartenstein,7.0,OVER,21.32,0.4044,0.4014
19,Chet Holmgren,15.0,Isaiah Hartenstein,7.0,OVER,20.93,0.4031,0.4001
20,Pascal Siakam,19.5,Shai Gilgeous-Alexander,34.5,UNDER/OVER,20.78,0.4026,0.3996
21,Shai Gilgeous-Alexander,34.5,Thomas Bryant,2.5,UNDER/OVER,20.22,0.4007,0.3977
22,Aaron Wiggins,6.5,Isaiah Hartenstein,7.0,OVER/UNDER,19.91,0.3997,0.3967
23,Chet Holmgren,15.0,Shai Gilgeous-Alexander,34.5,UNDER/OVER,19.3,0.3977,0.3947
24,Andrew Nembhard,12.0,Shai Gilgeous-Alexander,34.5,UNDER/OVER,19.04,0.3968,0.3938
25,Aaron Nesmith,12.0,Isaiah Joe,3.5,OVER,18.69,0.3956,0.3926
26,Isaiah Joe,3.5,T.J. McConnell,7.0,OVER,17.01,0.39,0.387
27,Isaiah Hartenstein,7.0,Jalen Williams,21.0,OVER/UNDER,16.87,0.3896,0.3865
28,Ben Sheppard,2.5,Isaiah Joe,3.5,OVER,15.93,0.3864,0.3833
29,Isaiah Hartenstein,7.0,Obi Toppin,9.5,OVER/UNDER,15.39,0.3846,0.3815
30,Shai Gilgeous-Alexander,34.5,Tyrese Haliburton,17.5,UNDER/OVER,15.23,0.3841,0.381
31,Jalen Williams,21.0,Shai Gilgeous-Alexander,34.5,UNDER,14.45,0.3815,0.3784
32,Isaiah Hartenstein,7.0,Luguentz Dort,8.5,OVER/UNDER,14.41,0.3814,0.3783
33,Isaiah Joe,3.5,Myles Turner,14.0,OVER,14.41,0.3814,0.3783
34,Aaron Wiggins,6.5,Shai Gilgeous-Alexander,34.5,UNDER,13.79,0.3793,0.3762
35,Cason Wallace,6.0,Isaiah Joe,3.5,OVER/UNDER,13.16,0.3772,0.3741
36,Isaiah Joe,3.5,Pascal Siakam,19.5,OVER,12.61,0.3754,0.3723
37,Isaiah Joe,3.5,Thomas Bryant,2.5,OVER,12.25,0.3742,0.3711
38,Bennedict Mathurin,8.5,Isaiah Joe,3.5,OVER,12.0,0.3733,0.3702
39,Aaron Nesmith,12.0,T.J. McConnell,7.0,OVER,11.91,0.373,0.3699
40,Obi Toppin,9.5,Shai Gilgeous-Alexander,34.5,UNDER,11.32,0.3711,0.368
41,Luguentz Dort,8.5,Shai Gilgeous-Alexander,34.5,UNDER,10.69,0.369,0.3658
42,Chet Holmgren,15.0,Isaiah Joe,3.5,OVER,10.08,0.3669,0.3637
43,Andrew Nembhard,12.0,Isaiah Joe,3.5,OVER,9.23,0.3641,0.3609
44,Alex Caruso,9.0,Isaiah Hartenstein,7.0,OVER,9.19,0.364,0.3608
45,Aaron Nesmith,12.0,Cason Wallace,6.0,OVER/UNDER,8.22,0.3607,0.3575
46,Aaron Nesmith,12.0,Myles Turner,14.0,OVER,8.12,0.3604,0.3572
47,Cason Wallace,6.0,T.J. McConnell,7.0,UNDER/OVER,7.78,0.3593,0.3561
48,Aaron Wiggins,6.5,Isaiah Joe,3.5,OVER/UNDER,7.19,0.3573,0.3541
49,Alex Caruso,9.0,Shai Gilgeous-Alexander,34.5,UNDER,6.99,0.3566,0.3534
50,Myles Turner,14.0,T.J. McConnell,7.0,OVER,6.84,0.3561,0.3529
51,Bennedict Mathurin,8.5,T.J. McConnell,7.0,OVER,6.65,0.3555,0.3523
52,Isaiah Joe,3.5,Tyrese Haliburton,17.5,OVER,6.5,0.355,0.3518
53,Aaron Nesmith,12.0,Ben Sheppard,2.5,OVER,6.28,0.3543,0.3511
54,Ben Sheppard,2.5,T.J. McConnell,7.0,OVER,5.89,0.353,0.3498
55,Isaiah Joe,3.5,Jalen Williams,21.0,OVER/UNDER,5.78,0.3526,0.3494
56,Aaron Nesmith,12.0,Pascal Siakam,19.5,OVER,5.75,0.3525,0.3493
57,Aaron Nesmith,12.0,Andrew Nembhard,12.0,OVER,5.45,0.3515,0.3483
58,T.J. McConnell,7.0,Thomas Bryant,2.5,OVER,5.38,0.3513,0.3481
