,name1,name2,overEV,over_prob,underEV,under_prob,over_underEV,over_under_prob,under_overEV,under_over_prob
170,Cason Wallace,Shai Gilgeous-Alexander,-79.93,0.067,63.11,0.544,-29.89,0.234,-53.29,0.156
169,Cason Wallace,Luguentz Dort,-78.31,0.072,57.47,0.525,-24.25,0.252,-54.91,0.15
167,Cason Wallace,Obi Toppin,-73.95,0.087,42.24,0.474,-9.02,0.303,-59.27,0.136
168,Luguentz Dort,Shai Gilgeous-Alexander,-70.71,0.098,41.67,0.472,-31.85,0.227,-39.11,0.203
164,Cason Wallace,Jalen Williams,-70.89,0.097,31.56,0.439,1.66,0.339,-62.33,0.126
166,Obi Toppin,Shai Gilgeous-Alexander,-64.82,0.117,27.97,0.427,-18.15,0.273,-45.0,0.183
160,Cason Wallace,Thomas Bryant,-69.07,0.103,25.19,0.417,8.03,0.36,-64.15,0.119
165,Luguentz Dort,Obi Toppin,-61.99,0.127,23.54,0.412,-20.98,0.263,-40.57,0.198
163,Jalen Williams,Shai Gilgeous-Alexander,-60.69,0.131,18.36,0.395,-8.54,0.305,-49.13,0.17
162,Jalen Williams,Luguentz Dort,-57.53,0.142,14.26,0.381,-11.7,0.294,-45.03,0.183
159,Shai Gilgeous-Alexander,Thomas Bryant,-58.23,0.139,12.63,0.375,-2.81,0.324,-51.59,0.161
158,Luguentz Dort,Thomas Bryant,-54.87,0.15,8.73,0.362,-6.17,0.313,-47.69,0.174
155,Alex Caruso,Cason Wallace,-64.29,0.119,8.52,0.362,24.7,0.416,-68.93,0.104
149,Cason Wallace,Isaiah Joe,-63.18,0.123,4.65,0.349,28.57,0.429,-70.04,0.1
161,Jalen Williams,Obi Toppin,-48.99,0.17,3.21,0.344,-20.24,0.266,-33.98,0.22
157,Obi Toppin,Thomas Bryant,-45.79,0.181,-1.78,0.327,-15.25,0.283,-37.18,0.209
154,Alex Caruso,Shai Gilgeous-Alexander,-51.78,0.161,-2.37,0.325,12.19,0.374,-58.04,0.14
142,Ben Sheppard,Cason Wallace,-60.64,0.131,-4.24,0.319,37.46,0.458,-72.58,0.091
134,Cason Wallace,Tyrese Haliburton,-60.23,0.133,-5.66,0.314,38.88,0.463,-72.99,0.09
153,Alex Caruso,Luguentz Dort,-47.9,0.174,-5.75,0.314,8.31,0.361,-54.66,0.151
148,Isaiah Joe,Shai Gilgeous-Alexander,-50.28,0.166,-5.85,0.314,15.67,0.386,-59.54,0.135
125,Aaron Wiggins,Cason Wallace,-60.09,0.133,-6.18,0.313,39.4,0.465,-73.13,0.09
115,Andrew Nembhard,Cason Wallace,-59.94,0.134,-6.69,0.311,39.91,0.466,-73.28,0.089
104,Cason Wallace,Chet Holmgren,-59.87,0.134,-6.95,0.31,40.17,0.467,-73.35,0.089
147,Isaiah Joe,Luguentz Dort,-46.28,0.179,-9.11,0.303,11.67,0.372,-56.28,0.146
156,Jalen Williams,Thomas Bryant,-39.43,0.202,-9.16,0.303,-21.61,0.261,-29.8,0.234
92,Cason Wallace,Myles Turner,-59.0,0.137,-9.98,0.3,43.2,0.477,-74.22,0.086
