player,prop,line,proj,side,diff
Buddy Hield,Points,9.5,12.8,over,3.3
Jonathan Kuminga,Points,13.5,15.7,over,2.2
Aaron Holiday,Points,4.5,6.4,over,1.9
Clint Capela,Points,3.5,5.2,over,1.7
Deandre Ayton,Points,13.5,15,over,1.5
Jabari Smith Jr.,Points,11.5,12.9,over,1.4
Stephen Curry,Points,25.5,24.1,under,-1.4
Shai Gilgeous-Alexander,Points,32.5,31.2,under,-1.3
Jake LaRavia,Points,5.5,6.7,over,1.2
Luguentz Dort,Points,9.5,10.6,over,1.1
Tari Eason,Points,10.5,11.6,over,1.1
Amen Thompson,Points,14.5,15.6,over,1.1
Gabe Vincent,Points,8.5,9.6,over,1.1
Brandin Podziemski,Points,12.5,11.4,under,-1.1
Jarred Vanderbilt,Points,4.5,5.5,over,1
Cason Wallace,Points,7.5,8.3,over,0.8
Chet Holmgren,Points,16.5,16,under,-0.5
Isaiah Hartenstein,Points,9.5,9.9,over,0.4
Alperen Sengun,Points,18.5,18.9,over,0.4
Draymond Green,Points,8.5,8.9,over,0.4
Reed Sheppard,Points,9.5,9.8,over,0.3
Al Horford,Points,8.5,7.2,under,-0.3
Alex Caruso,Points,8.5,8.7,over,0.2
Aaron Wiggins,Points,12.5,11.3,under,-0.2
Marcus Smart,Points,8.5,8.3,under,-0.2
Kevin Durant,Points,24.5,23.4,under,-0.1
Jaylin Williams,Points,4.5,4.6,over,0.1
Rui Hachimura,Points,12.5,12.6,over,0.1
Jarred Vanderbilt,Assists,0.5,1.5,over,1
Marcus Smart,Assists,2.5,3.4,over,0.9
Jonathan Kuminga,Assists,1.5,2.4,over,0.9
Shai Gilgeous-Alexander,Assists,7.5,5.7,under,-0.8
Alperen Sengun,Assists,5.5,4.7,under,-0.8
Isaiah Hartenstein,Assists,2.5,3.1,over,0.6
Alex Caruso,Assists,2.5,3,over,0.5
Al Horford,Assists,2.5,2.1,under,-0.4
Rui Hachimura,Assists,1.5,1.2,under,-0.3
Brandin Podziemski,Assists,3.5,3.8,over,0.3
Aaron Holiday,Assists,1.5,1.7,over,0.2
Jabari Smith Jr.,Assists,1.5,1.3,under,-0.2
Jaylin Williams,Assists,1.5,1.7,over,0.2
Tari Eason,Assists,1.5,1.3,under,-0.2
Amen Thompson,Assists,5.5,4.3,under,-0.2
Cason Wallace,Assists,2.5,2.3,under,-0.2
Kevin Durant,Assists,3.5,3.6,over,0.1
Clint Capela,Assists,0.5,0.6,over,0.1
Luguentz Dort,Assists,1.5,1.4,under,-0.1
Aaron Wiggins,Assists,1.5,1.6,over,0.1
Stephen Curry,Assists,5.5,5.4,under,-0.1
Gary Payton II,Assists,1.5,1.6,over,0.1
Deandre Ayton,Assists,1.5,1.6,over,0.1
Amen Thompson,Rebounds,7.5,9,over,1.5
Buddy Hield,Rebounds,2.5,3.7,over,1.2
Isaiah Hartenstein,Rebounds,8.5,9.6,over,1.1
Jabari Smith Jr.,Rebounds,6.5,7.5,over,1
Draymond Green,Rebounds,5.5,6.5,over,1
Clint Capela,Rebounds,4.5,5.4,over,0.9
Aaron Holiday,Rebounds,0.5,1.2,over,0.7
Chet Holmgren,Rebounds,7.5,8.2,over,0.7
Jaylin Williams,Rebounds,3.5,4.1,over,0.6
Marcus Smart,Rebounds,1.5,2.1,over,0.6
Kevin Durant,Rebounds,5.5,6,over,0.5
Shai Gilgeous-Alexander,Rebounds,4.5,5,over,0.5
Luguentz Dort,Rebounds,3.5,3.9,over,0.4
Al Horford,Rebounds,6.5,5.1,under,-0.4
Deandre Ayton,Rebounds,9.5,9.9,over,0.4
Jarred Vanderbilt,Rebounds,5.5,5.9,over,0.4
Aaron Wiggins,Rebounds,3.5,3.8,over,0.3
Jonathan Kuminga,Rebounds,4.5,4.8,over,0.3
Stephen Curry,Rebounds,4.5,4.4,under,-0.1
Rui Hachimura,Rebounds,4.5,4.6,over,0.1
Shai Gilgeous-Alexander,Pts+Ast,40.5,36.9,under,-2.6
Aaron Holiday,Pts+Ast,5.5,8.1,over,2.6
Tari Eason,Pts+Ast,10.5,12.9,over,2.4
Jake LaRavia,Pts+Ast,6.5,8.8,over,2.3
Deandre Ayton,Pts+Ast,14.5,16.6,over,2.1
Reed Sheppard,Pts+Ast,11.5,13.5,over,2
Isaiah Hartenstein,Pts+Ast,11.5,13,over,1.5
Luguentz Dort,Pts+Ast,10.5,12,over,1.5
Jarred Vanderbilt,Pts+Ast,5.5,7,over,1.5
Clint Capela,Pts+Ast,4.5,5.7,over,1.2
Jaylin Williams,Pts+Ast,7.5,6.3,under,-1.2
Al Horford,Pts+Ast,10.5,9.3,under,-1.2
Stephen Curry,Pts+Ast,31.5,29.5,under,-1
Alperen Sengun,Pts+Ast,24.5,23.6,under,-0.9
Cason Wallace,Pts+Ast,11.5,10.6,under,-0.9
Aaron Wiggins,Pts+Ast,14.5,12.8,under,-0.7
Jabari Smith Jr.,Pts+Ast,13.5,14.2,over,0.7
Jonathan Kuminga,Pts+Ast,17.5,18.1,over,0.6
Kevin Durant,Pts+Ast,28.5,27,under,-0.5
Draymond Green,Pts+Ast,14.5,15,over,0.5
Chet Holmgren,Pts+Ast,17.5,17.9,over,0.4
Amen Thompson,Pts+Ast,19.5,19.9,over,0.4
Rui Hachimura,Pts+Ast,13.5,13.8,over,0.3
Brandin Podziemski,Pts+Ast,16.5,15.2,under,-0.3
Alex Caruso,Pts+Ast,11.5,11.7,over,0.2
Marcus Smart,Pts+Ast,11.5,11.7,over,0.2
Tari Eason,Pts+Reb,14.5,18.6,over,4.1
Alperen Sengun,Pts+Reb,26.5,29.2,over,2.7
Clint Capela,Pts+Reb,8.5,10.6,over,2.1
Aaron Holiday,Pts+Reb,5.5,7.6,over,2.1
Isaiah Hartenstein,Pts+Reb,17.5,19.5,over,2
Luguentz Dort,Pts+Reb,12.5,14.5,over,2
Jabari Smith Jr.,Pts+Reb,18.5,20.4,over,1.9
Jarred Vanderbilt,Pts+Reb,9.5,11.4,over,1.9
Reed Sheppard,Pts+Reb,11.5,13.2,over,1.7
Deandre Ayton,Pts+Reb,23.5,24.9,over,1.4
Al Horford,Pts+Reb,14.5,12.3,under,-1.2
Amen Thompson,Pts+Reb,23.5,24.6,over,1.1
Stephen Curry,Pts+Reb,30.5,28.5,under,-1
Jonathan Kuminga,Pts+Reb,19.5,20.5,over,1
Jake LaRavia,Pts+Reb,9.5,10.5,over,1
Kevin Durant,Pts+Reb,28.5,29.4,over,0.9
Draymond Green,Pts+Reb,14.5,15.4,over,0.9
