Game,Tipoff,Season,Score,Over_Under,Home_Line
BKN @ MIL,Oct 19 7:30 PM,2021,104-127,234.0,1.5
GSW @ LAL,Oct 19 10:00 PM,2021,121-114,226.5,-3.5
IND @ CHA,Oct 20 7:00 PM,2021,122-123,223.0,1.5
CHI @ DET,Oct 20 7:00 PM,2021,94-88,218.0,5.0
BOS @ NYK,Oct 20 7:30 PM,2021,134-138,219.5,1.0
WAS @ TOR,Oct 20 7:30 PM,2021,98-83,223.0,-2.5
CLE @ MEM,Oct 20 8:00 PM,2021,121-132,218.5,-7.0
HOU @ MIN,Oct 20 8:00 PM,2021,106-124,232.0,-6.5
PHI @ NOP,Oct 20 8:00 PM,2021,117-97,224.0,3.5
ORL @ SAS,Oct 20 8:30 PM,2021,97-123,212.5,5.5
OKC @ UTA,Oct 20 9:00 PM,2021,86-107,221.5,-14.0
DEN @ PHX,Oct 20 10:00 PM,2021,110-98,224.0,6.5
SAC @ POR,Oct 20 10:00 PM,2021,124-121,234.0,-6.5
DAL @ ATL,Oct 21 7:30 PM,2021,87-113,225.5,-2.5
MIL @ MIA,Oct 21 8:00 PM,2021,95-137,222.5,-3.0
LAC @ GSW,Oct 21 10:00 PM,2021,113-115,229.0,3.0
CHA @ CLE,Oct 22 7:00 PM,2021,123-112,226.0,2.5
NYK @ ORL,Oct 22 7:00 PM,2021,121-96,212.0,7.5
IND @ WAS,Oct 22 7:00 PM,2021,134-135,225.5,2.0
TOR @ BOS,Oct 22 7:30 PM,2021,115-83,217.5,-7.0
BKN @ PHI,Oct 22 7:30 PM,2021,114-109,224.5,1.0
NOP @ CHI,Oct 22 8:00 PM,2021,112-128,222.5,-6.5
OKC @ HOU,Oct 22 8:00 PM,2021,91-124,221.0,-2.5
SAS @ DEN,Oct 22 9:00 PM,2021,96-102,222.0,-7.5
PHX @ LAL,Oct 22 10:00 PM,2021,115-105,221.5,1.0
UTA @ SAC,Oct 22 10:00 PM,2021,110-101,226.5,6.5
ATL @ CLE,Oct 23 6:00 PM,2021,95-101,223.0,8.5
MIA @ IND,Oct 23 7:00 PM,2021,91-102,223.5,4.5
DAL @ TOR,Oct 23 7:30 PM,2021,103-95,216.5,4.0
DET @ CHI,Oct 23 8:00 PM,2021,82-97,213.5,-8.0
NOP @ MIN,Oct 23 8:00 PM,2021,89-96,228.5,-7.5
MIL @ SAS,Oct 23 8:30 PM,2021,121-111,225.5,6.0
PHX @ POR,Oct 23 10:00 PM,2021,105-134,229.0,-3.0
MEM @ LAC,Oct 23 10:30 PM,2021,120-114,226.5,-4.0
CHA @ BKN,Oct 24 4:00 PM,2021,111-95,233.0,-9.0
BOS @ HOU,Oct 24 7:00 PM,2021,107-97,221.5,5.0
ORL @ NYK,Oct 24 7:00 PM,2021,110-104,212.0,-12.0
PHI @ OKC,Oct 24 7:00 PM,2021,115-103,216.0,9.5
GSW @ SAC,Oct 24 9:00 PM,2021,119-107,234.5,3.0
MEM @ LAL,Oct 24 9:30 PM,2021,118-121,225.5,-5.0
BOS @ CHA,Oct 25 7:00 PM,2021,140-129,225.0,2.0
MIL @ IND,Oct 25 7:00 PM,2021,119-109,229.5,1.0
DET @ ATL,Oct 25 7:30 PM,2021,104-122,212.5,-11.5
WAS @ BKN,Oct 25 7:30 PM,2021,90-104,229.0,-6.0
ORL @ MIA,Oct 25 7:30 PM,2021,90-107,211.5,-13.5
CHI @ TOR,Oct 25 7:30 PM,2021,111-108,213.5,2.5
NOP @ MIN,Oct 25 8:00 PM,2021,107-98,224.5,-5.5
CLE @ DEN,Oct 25 9:00 PM,2021,99-87,221.0,-9.5
POR @ LAC,Oct 25 10:30 PM,2021,86-116,230.0,-2.5
PHI @ NYK,Oct 26 7:30 PM,2021,99-112,217.0,-1.0
GSW @ OKC,Oct 26 8:00 PM,2021,106-98,223.5,11.0
HOU @ DAL,Oct 26 8:30 PM,2021,106-116,222.5,-11.0
LAL @ SAS,Oct 26 8:30 PM,2021,125-121,219.5,2.5
DEN @ UTA,Oct 26 10:00 PM,2021,110-122,218.5,-7.5
CHA @ ORL,Oct 27 7:00 PM,2021,120-111,221.0,5.5
MIA @ BKN,Oct 27 7:30 PM,2021,106-93,218.0,-3.5
WAS @ BOS,Oct 27 7:30 PM,2021,116-107,224.0,-4.0
ATL @ NOP,Oct 27 7:30 PM,2021,102-99,220.5,5.0
IND @ TOR,Oct 27 7:30 PM,2021,100-118,214.0,1.0
MIN @ MIL,Oct 27 8:00 PM,2021,113-108,231.0,-6.0
LAL @ OKC,Oct 27 8:00 PM,2021,115-123,217.0,5.0
SAC @ PHX,Oct 27 10:00 PM,2021,110-107,224.5,-8.0
