BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
PointsBet (AU),player_disposals,Caleb Daniel,Over,24.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Caleb Daniel,Under,24.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Colby McKercher,Over,27.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Colby McKercher,Under,27.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Dion Prestia,Over,20.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Dion Prestia,Under,20.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Dylan Stephens,Over,19.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Dylan Stephens,Under,19.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,George Wardlaw,Over,17.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,George Wardlaw,Under,17.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Harry Sheezel,Over,33.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Harry Sheezel,Under,33.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jack Ross,Over,20.5,-125,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jack Ross,Under,20.5,-105,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jayden Short,Over,21.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jayden Short,Under,21.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jy Simpkin,Over,22.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Jy Simpkin,Under,22.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke Davies-Uniacke,Over,28.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke Davies-Uniacke,Under,28.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke McDonald,Over,17.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke McDonald,Under,17.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke Parker,Over,25.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Luke Parker,Under,25.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Sam Banks,Over,18.5,-125,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Sam Banks,Under,18.5,-105,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
PointsBet (AU),player_disposals,Sam Grlj,Over,16.5,-115,2026-04-19,2026-04-18T23:36:33Z,2026-04-18 16:37:19
