Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Quentin Grimes,,PTS,9.5,Miami Heat,-109,-108,0.522,0.519,72.95,-81.13,19.8,20.0,7.96,-1.294,0.902,0.098,0.8,0.9,0.73,33.04,3.92,0.23,0.07,14.4,5.0,-2.0,242.5,112.8,9,104.5,1
Tre Jones,,PTS+REB+AST,21.5,San Antonio Spurs,102,-118,0.495,0.541,64.83,-66.01,27.3,27.0,6.43,-0.902,0.816,0.184,1.0,0.9,0.8,29.02,2.94,0.21,0.03,34.0,1.0,18.5,245.5,110.1,3,100.82,12
Jonathan Kuminga,,REB,4.5,Boston Celtics,116,-122,0.463,0.55,63.94,-56.15,6.1,6.0,2.28,-0.702,0.759,0.241,0.6,0.8,0.73,21.59,3.82,0.21,0.03,3.0,2.0,-2.5,225.0,111.5,4,95.41,30
Quentin Grimes,,PTS+AST,12.5,Miami Heat,-125,-102,0.556,0.505,62.54,-80.79,23.4,22.5,8.4,-1.298,0.903,0.097,0.8,0.9,0.73,33.04,3.92,0.23,0.07,17.4,5.0,-2.0,242.5,112.8,9,104.5,1
Tre Jones,,PTS+REB,16.5,San Antonio Spurs,-105,-124,0.512,0.554,61.07,-68.39,21.9,22.0,5.78,-0.934,0.825,0.175,1.0,0.9,0.8,29.02,2.94,0.21,0.03,27.0,1.0,18.5,245.5,110.1,3,100.82,12
Quentin Grimes,,PTS+REB,12.5,Miami Heat,-125,100,0.556,0.5,60.92,-78.8,23.9,24.0,9.13,-1.249,0.894,0.106,0.8,0.9,0.8,33.04,3.92,0.23,0.07,19.0,5.0,-2.0,242.5,112.8,9,104.5,1
Quentin Grimes,,PTS+REB+AST,16.0,Miami Heat,-137,-137,0.578,0.578,52.58,-79.59,27.5,26.5,9.71,-1.184,0.882,0.118,0.6,0.8,0.67,33.04,3.92,0.23,0.07,22.0,5.0,-2.0,242.5,112.8,9,104.5,1
Daniel Gafford,,PTS+REB,19.5,Minnesota Timberwolves,100,-110,0.5,0.524,52.2,-54.37,24.6,24.5,7.18,-0.71,0.761,0.239,1.0,0.7,0.47,24.35,3.32,0.19,0.03,15.4,5.0,8.0,235.5,112.2,8,101.42,10
Collin Sexton,,PTS+AST,18.5,San Antonio Spurs,-114,-110,0.533,0.524,50.36,-62.01,24.2,24.5,6.75,-0.844,0.801,0.199,0.8,0.9,0.6,26.21,6.6,0.25,0.04,22.2,5.0,18.5,245.5,110.1,3,100.82,12
Daniel Gafford,,PTS+REB+AST,20.5,Minnesota Timberwolves,-108,-105,0.519,0.512,50.03,-56.85,26.2,25.5,7.41,-0.769,0.779,0.221,1.0,0.7,0.47,24.35,3.32,0.19,0.03,16.2,5.0,8.0,235.5,112.2,8,101.42,10
