NAME 1,NAME 2,LINE 1,LINE 2,ODDS 1,ODDS 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,SIDE 1,SIDE 2,PARLAY_PROB,PARLAY_ODDS,EV_PERCENT,KELLY_QUARTER
Maxime Raynaud,Dylan Harper,12.0,12.5,-137,102,4.63,16.96,0.882,0.807,under,over,0.713,249,148.68,0.1493
Pascal Siakam,De'Aaron Fox,24.5,24.5,-104,108,27.85,29.46,0.702,0.778,over,over,0.546,308,122.84,0.0997
Collin Gillespie,Stephon Castle,17.0,14.5,-137,120,9.73,16.48,0.757,0.656,under,over,0.497,281,89.36,0.0795
Grayson Allen,Saddiq Bey,18.5,16.5,-104,-107,14.24,12.29,0.665,0.675,under,under,0.449,279,70.05,0.0628
Ryan Dunn,Devin Vassell,6.5,15.5,-110,-115,7.94,18.59,0.672,0.697,over,over,0.468,257,67.2,0.0654
Malik Monk,Jordan Hawkins,13.5,6.5,102,-108,15.0,8.14,0.621,0.66,over,over,0.41,289,59.57,0.0515
Dillon Brooks,Keldon Johnson,22.5,12.5,-108,-105,24.68,13.7,0.648,0.62,over,over,0.402,276,51.26,0.0464
Julius Randle,Derik Queen,22.5,13.5,-109,-110,19.15,10.32,0.618,0.623,under,under,0.385,266,41.02,0.0385
Rudy Gobert,Jeremy Sochan,10.5,6.5,-103,-110,7.92,7.42,0.594,0.608,under,over,0.361,276,35.73,0.0324
Andrew Nembhard,Trey Murphy III,16.5,21.5,-103,-105,16.78,19.27,0.554,0.54,over,under,0.299,285,15.11,0.0133
