NAME 1,NAME 2,NAME 3,LINE 1,LINE 2,LINE 3,ODDS 1,ODDS 2,ODDS 3,PREDICTION 1,PREDICTION 2,PREDICTION 3,MODEL_PROB 1,MODEL_PROB 2,MODEL_PROB 3,SIDE 1,SIDE 2,SIDE 3,PARLAY_PROB,PARLAY_ODDS,EV_PERCENT,KELLY_QUARTER
KJ Simpson,Buddy Hield,Jake LaRavia,11.5,12.5,4.5,-120,-110,-122,3.09,5.4,9.42,0.912,0.824,0.906,under,under,over,0.681,537,333.65,0.1553
Ja'Kobe Walter,Tidjane Salaün,Quinten Post,7.5,6.5,10.5,104,-105,-113,2.91,2.17,3.86,0.765,0.789,0.816,under,under,under,0.493,651,269.96,0.1037
Brandon Miller,VJ Edgecombe,Kenrich Williams,21.5,10.0,7.5,-106,-137,-122,15.33,14.51,2.54,0.753,0.837,0.837,under,over,under,0.528,512,222.86,0.1088
Anfernee Simons,Cameron Johnson,Jalen Williams,11.5,13.5,23.5,100,100,-105,14.38,8.83,16.7,0.717,0.719,0.746,over,under,under,0.385,681,200.39,0.0736
Deni Avdija,Deandre Ayton,Ace Bailey,25.5,14.5,12.5,-115,104,-115,20.3,16.37,6.91,0.711,0.651,0.772,under,over,under,0.357,613,154.86,0.0632
Jordan Walsh,Jimmy Butler III,Kyle Filipowski,7.5,21.5,10.5,-119,-113,-107,3.88,16.52,6.19,0.717,0.693,0.7,under,under,under,0.348,571,133.27,0.0583
Nikola Jokić,Santi Aldama,Jaylin Williams,29.5,11.5,8.0,-115,-105,-137,23.79,13.0,3.86,0.693,0.646,0.739,under,over,under,0.331,531,108.59,0.0511
Peyton Watson,Brandin Podziemski,Keyonte George,12.5,9.5,21.5,-112,-104,-107,8.53,10.57,17.69,0.681,0.618,0.647,under,over,under,0.272,618,95.48,0.0386
Cam Spencer,Tyrese Maxey,Aaron Wiggins,11.5,27.5,15.5,100,105,-104,8.49,28.28,17.63,0.605,0.58,0.634,under,over,over,0.222,704,78.79,0.028
Sion James,Rui Hachimura,Lauri Markkanen,6.5,11.5,23.5,-105,105,-116,3.89,11.9,25.62,0.602,0.565,0.646,under,over,over,0.22,645,63.97,0.0248
