Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Joel Embiid,C,PTS,26.5,Charlotte Hornets,120,-160,0.455,0.615,86.34,-75.14,32.1,32.5,5.47,-1.024,0.847,0.153,0.6,0.8,0.73,34.73,5.58,0.35,0.05,27.0,2.0,6.5,230.5,113.6,13,97.9,26
Joel Embiid,C,PTS+REB,32.5,Charlotte Hornets,100,-115,0.5,0.535,77.8,-79.25,41.0,42.0,6.96,-1.221,0.889,0.111,0.8,0.9,0.8,34.73,5.58,0.35,0.05,30.5,2.0,6.5,230.5,113.6,13,97.9,26
Joel Embiid,C,PTS+REB+AST,36.5,Charlotte Hornets,-105,-113,0.512,0.531,73.76,-79.27,46.4,47.0,8.06,-1.228,0.89,0.11,0.8,0.9,0.8,34.73,5.58,0.35,0.05,37.0,2.0,6.5,230.5,113.6,13,97.9,26
Joel Embiid,C,PTS+AST,29.5,Charlotte Hornets,-110,-112,0.524,0.528,70.1,-79.37,37.5,39.0,6.5,-1.231,0.891,0.109,0.8,0.9,0.8,34.73,5.58,0.35,0.05,33.5,2.0,6.5,230.5,113.6,13,97.9,26
Tyrese Maxey,PG,PTS,24.5,Charlotte Hornets,-110,-105,0.524,0.512,61.89,-70.32,29.6,29.5,4.95,-1.03,0.848,0.152,0.8,0.9,0.87,35.82,4.86,0.33,0.04,23.6,5.0,6.5,230.5,113.6,13,97.9,26
Tyrese Maxey,PG,PTS+REB,27.5,Charlotte Hornets,-125,-105,0.556,0.512,59.84,-78.13,33.5,32.5,4.93,-1.217,0.888,0.112,0.8,0.9,0.8,35.82,4.86,0.33,0.04,27.6,5.0,6.5,230.5,113.6,13,97.9,26
Dylan Cardwell,C,REB,6.5,Atlanta Hawks,-105,-108,0.512,0.519,57.17,-62.44,9.4,10.5,3.37,-0.861,0.805,0.195,0.8,0.8,0.73,22.15,6.75,0.13,0.06,,,14.5,236.5,113.1,11,102.59,4
Dylan Cardwell,C,PTS+REB+AST,12.5,Atlanta Hawks,-108,-105,0.519,0.512,48.1,-54.9,18.0,18.0,7.47,-0.736,0.769,0.231,0.6,0.7,0.67,22.15,6.75,0.13,0.06,,,14.5,236.5,113.1,11,102.59,4
Paul George,SF,AST,3.5,Charlotte Hornets,-102,-115,0.505,0.535,41.6,-46.72,4.2,4.5,1.23,-0.569,0.715,0.285,0.8,0.7,0.6,32.48,2.54,0.21,0.06,8.25,4.0,6.5,230.5,113.6,13,97.9,26
Nickeil Alexander-Walker,SG,PTS,20.5,Sacramento Kings,102,-115,0.495,0.535,41.0,-43.54,24.1,22.5,6.94,-0.519,0.698,0.302,0.8,0.7,0.47,32.3,4.37,0.22,0.04,10.4,5.0,-14.5,236.5,120.2,28,100.31,17
