NAME 1,NAME 2,LINE 1,LINE 2,ODDS 1,ODDS 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,SIDE 1,SIDE 2,PARLAY_PROB,PARLAY_ODDS,EV_PERCENT,KELLY_QUARTER
KJ Simpson,VJ Edgecombe,11.5,10.5,-120,110,3.09,14.51,0.912,0.806,under,over,0.735,285,183.16,0.1607
Spencer Jones,Buddy Hield,6.5,12.5,-137,-110,1.21,5.4,0.923,0.824,under,under,0.76,230,150.8,0.1639
Ja'Kobe Walter,Quinten Post,7.5,10.5,104,-113,2.91,3.86,0.765,0.816,under,under,0.624,285,140.3,0.1231
Brandon Miller,Jalen Williams,21.5,23.5,-106,-105,15.33,16.7,0.753,0.746,under,under,0.562,279,112.83,0.1011
Cameron Johnson,Ace Bailey,13.5,12.5,100,-115,8.83,6.91,0.719,0.772,under,under,0.555,274,107.51,0.0981
Jordan Walsh,Deni Avdija,7.5,25.5,-119,-115,3.88,20.3,0.717,0.711,under,under,0.51,244,75.35,0.0772
Nikola Jokić,Jimmy Butler III,29.5,21.5,-115,-113,23.79,16.52,0.693,0.693,under,under,0.48,252,69.0,0.0684
Peyton Watson,Santi Aldama,12.5,11.5,-112,-105,8.53,13.0,0.681,0.646,under,over,0.44,270,62.75,0.0581
Brandin Podziemski,Keyonte George,9.5,21.5,-104,-107,10.57,17.69,0.618,0.647,over,under,0.4,279,51.59,0.0462
Cam Spencer,Aaron Wiggins,11.5,15.5,100,-104,8.49,17.63,0.605,0.634,under,over,0.384,292,50.36,0.0431
