BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
BetRivers,batter_home_runs,Ryan O'Hearn,Over,1.5,1500,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Junior Caminero,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Marcell Ozuna,Over,1.5,1400,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Jake Fraley,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Marcell Ozuna,Over,2.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Richie Palacios,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Jake Fraley,Over,1.5,14000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Richie Palacios,Over,1.5,9000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Konnor Griffin,Over,1.5,15000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Henry Davis,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Hunter Feduccia,Over,1.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Hunter Feduccia,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Ryan O'Hearn,Over,2.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Cedric Mullins,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Yandy Diaz,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Chandler Simpson,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Bryan Reynolds,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Junior Caminero,Over,1.5,15000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Taylor Walls,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Brandon Lowe,Over,1.5,14000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Cedric Mullins,Over,1.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Yandy Diaz,Over,1.5,15000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Jonathan Aranda,Over,1.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Spencer Horwitz,Over,1.5,14000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Bryan Reynolds,Over,1.5,16000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Spencer Horwitz,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Taylor Walls,Over,1.5,9000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Oneil Cruz,Over,1.5,12000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Konnor Griffin,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Nick Yorke,Over,1.5,15000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Nick Yorke,Over,2.5,19900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Henry Davis,Over,1.5,15000,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Oneil Cruz,Over,0.5,750,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Spencer Horwitz,Over,0.5,2400,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Jake Fraley,Over,0.5,2800,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Cedric Mullins,Over,0.5,1700,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
BetRivers,batter_home_runs,Yandy Diaz,Over,0.5,1900,2026-04-18,2026-04-18T23:12:03Z,2026-04-18 16:12:28
