NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Trey Murphy III,3.5,1.0,0.7,0.6,0.664,0.336
Rudy Gobert,1.5,0.8,0.8,0.6,0.648,0.352
De'Anthony Melton,1.5,0.2,0.1,0.07,0.638,0.362
Jaylen Brown,5.0,0.6,0.4,0.33,0.619,0.381
Julius Randle,5.0,0.8,0.6,0.53,0.616,0.384
Buddy Hield,1.5,0.6,0.5,0.53,0.59,0.41
Jalen Williams,5.5,0.4,0.3,0.2,0.57,0.43
Desmond Bane,4.5,0.6,0.7,0.67,0.542,0.458
Cade Cunningham,8.5,0.4,0.5,0.6,0.536,0.464
Luguentz Dort,0.5,0.6,0.6,0.73,0.535,0.465
Jalen Suggs,4.5,0.2,0.4,0.4,0.509,0.491
Payton Pritchard,4.5,0.6,0.5,0.47,0.508,0.492
Jamal Murray,7.0,0.4,0.6,0.6,0.502,0.498
Kris Dunn,2.5,0.6,0.6,0.6,0.496,0.504
Cameron Johnson,2.5,0.6,0.5,0.53,0.491,0.509
Donovan Mitchell,5.5,0.6,0.5,0.6,0.485,0.515
Alperen Sengun,6.0,0.2,0.4,0.53,0.482,0.518
Ryan Rollins,6.0,0.4,0.5,0.4,0.479,0.521
Russell Westbrook,9.0,0.6,0.4,0.4,0.475,0.525
Anthony Black,4.5,0.6,0.4,0.27,0.473,0.527
Tyrese Maxey,6.5,0.4,0.5,0.53,0.464,0.536
Aaron Holiday,1.5,0.6,0.5,0.47,0.463,0.537
Derrick White,5.0,0.4,0.3,0.4,0.461,0.539
Mike Conley,2.5,0.6,0.5,0.53,0.43,0.57
Josh Hart,5.5,0.4,0.6,0.6,0.417,0.583
Amen Thompson,5.0,0.6,0.5,0.47,0.416,0.584
Maxime Raynaud,1.5,0.6,0.3,0.2,0.406,0.594
James Harden,8.0,0.4,0.4,0.4,0.404,0.596
Derik Queen,5.0,0.4,0.4,0.33,0.385,0.615
Kevin Porter Jr.,6.5,0.4,0.2,0.13,0.378,0.622
Pascal Siakam,3.5,0.6,0.5,0.47,0.348,0.652
Malik Monk,3.5,0.6,0.3,0.27,0.302,0.698
DeMar DeRozan,4.0,0.2,0.3,0.27,0.254,0.746
Deni Avdija,9.0,0.4,0.4,0.27,0.224,0.776
