NAME,LINE,L-5,L-10,L-15
P.J. Washington,1.5,1.0,0.8,0.87
Keegan Murray,2.5,0.8,0.5,0.33
Kyle Kuzma,1.5,0.8,0.5,0.47
Trey Murphy III,1.5,0.6,0.7,0.67
Josh Okogie,1.5,0.6,0.6,0.6
Cooper Flagg,1.5,0.6,0.7,0.73
Anthony Davis,2.5,0.6,0.6,0.4
Kawhi Leonard,1.5,0.6,0.6,0.6
Jaylon Tyson,1.5,0.6,0.6,0.6
Mouhamed Gueye,1.5,0.6,0.5,0.47
Tyrese Martin,0.5,0.6,0.7,0.67
Draymond Green,1.5,0.4,0.5,0.47
Donovan Mitchell,1.5,0.4,0.3,0.4
Evan Mobley,2.5,0.4,0.4,0.33
Zaccharie Risacher,1.5,0.4,0.5,0.6
Jeremiah Fears,1.5,0.4,0.4,0.53
Donte DiVincenzo,1.5,0.2,0.3,0.4
