NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Devin Vassell,11.5,0.6,0.8,0.67,0.942,0.058
De'Anthony Melton,8.5,0.4,0.2,0.13,0.879,0.121
Jordan Poole,12.5,0.4,0.4,0.27,0.866,0.134
Aaron Holiday,8.5,0.8,0.8,0.6,0.864,0.136
Stephen Curry,24.5,0.6,0.6,0.6,0.847,0.153
Harrison Barnes,10.5,0.8,0.7,0.67,0.831,0.169
Kawhi Leonard,22.5,0.6,0.6,0.53,0.813,0.187
Jordan Walsh,7.5,1.0,0.6,0.47,0.807,0.193
Chet Holmgren,16.5,0.8,0.6,0.67,0.79,0.21
Rudy Gobert,9.5,0.6,0.6,0.67,0.789,0.211
Jose Alvarado,8.0,1.0,0.7,0.53,0.783,0.217
Jamal Murray,24.5,0.4,0.5,0.4,0.775,0.225
Jalen Johnson,23.5,0.8,0.7,0.67,0.775,0.225
Quinten Post,7.5,0.8,0.7,0.53,0.774,0.226
Josh Hart,13.5,0.8,0.7,0.6,0.771,0.229
Kobe Sanders,4.5,0.6,0.7,0.67,0.767,0.233
John Collins,11.5,0.8,0.5,0.4,0.763,0.237
Derrick White,18.5,0.8,0.6,0.53,0.751,0.249
Saddiq Bey,16.5,1.0,0.9,0.67,0.741,0.259
Alperen Sengun,20.5,0.6,0.6,0.6,0.74,0.26
De'Aaron Fox,20.5,0.6,0.7,0.73,0.736,0.264
Desmond Bane,20.5,0.4,0.4,0.53,0.733,0.267
Anthony Edwards,27.5,0.6,0.7,0.6,0.732,0.268
Stephon Castle,15.5,0.6,0.7,0.73,0.729,0.271
James Harden,22.5,0.6,0.7,0.8,0.729,0.271
Buddy Hield,8.5,0.8,0.6,0.47,0.728,0.272
Nickeil Alexander-Walker,21.0,0.6,0.6,0.53,0.728,0.272
Jaylen Brown,29.5,0.8,0.7,0.6,0.712,0.288
Moses Moody,8.5,0.8,0.8,0.8,0.699,0.301
Will Richard,6.5,0.2,0.3,0.47,0.686,0.314
Brandin Podziemski,10.5,0.6,0.6,0.53,0.682,0.318
Mikal Bridges,14.5,0.6,0.6,0.67,0.681,0.319
Neemias Queta,10.5,0.6,0.6,0.47,0.671,0.329
Payton Pritchard,16.5,0.4,0.4,0.47,0.661,0.339
Duncan Robinson,11.5,0.4,0.6,0.6,0.658,0.342
Caris LeVert,8.5,0.4,0.5,0.6,0.653,0.347
Amen Thompson,16.5,0.6,0.5,0.53,0.652,0.348
Isaac Okoro,7.5,0.6,0.6,0.53,0.649,0.351
Steven Adams,5.5,0.6,0.5,0.4,0.647,0.353
Deni Avdija,26.5,0.6,0.5,0.53,0.645,0.355
Reed Sheppard,10.5,0.2,0.5,0.67,0.63,0.37
Dyson Daniels,11.5,0.8,0.6,0.47,0.627,0.373
Precious Achiuwa,7.5,0.6,0.6,0.53,0.62,0.38
Luguentz Dort,7.5,0.4,0.5,0.4,0.618,0.382
