NAME,LINE,L-5,L-10,L-15
Jalen Johnson,34.5,1.0,0.7,0.6
Jose Alvarado,9.5,1.0,0.9,0.73
Victor Wembanyama,26.5,1.0,0.9,0.73
Buddy Hield,11.5,1.0,0.7,0.6
Jordan Walsh,13.5,1.0,0.6,0.53
Saddiq Bey,22.5,1.0,0.9,0.67
Jaylen Brown,36.5,0.8,0.7,0.6
Trey Murphy III,27.5,0.8,0.6,0.67
Toumani Camara,18.5,0.8,0.7,0.6
Aaron Holiday,9.5,0.8,0.8,0.6
Precious Achiuwa,13.5,0.8,0.7,0.6
Jaylon Tyson,21.5,0.8,0.6,0.47
Ivica Zubac,25.5,0.8,0.7,0.73
Josh Hart,22.5,0.8,0.7,0.6
Dyson Daniels,17.5,0.8,0.8,0.67
Maxime Raynaud,18.5,0.8,0.4,0.27
Chet Holmgren,24.5,0.8,0.6,0.67
De'Aaron Fox,23.5,0.8,0.8,0.8
Stephon Castle,20.5,0.8,0.7,0.73
Nickeil Alexander-Walker,24.5,0.8,0.7,0.6
Harrison Barnes,13.5,0.8,0.7,0.6
Derrick White,23.5,0.8,0.6,0.53
Kevin Porter Jr.,26.5,0.8,0.4,0.27
Tyrese Maxey,32.5,0.8,0.5,0.6
Tobias Harris,18.5,0.6,0.5,0.47
Coby White,24.5,0.6,0.5,0.33
Kon Knueppel,23.5,0.6,0.6,0.6
Darius Garland,19.5,0.6,0.5,0.33
Marvin Bagley III,18.5,0.6,0.3,0.27
Justin Champagnie,16.5,0.6,0.3,0.33
Jericho Sims,10.5,0.6,0.4,0.27
Pascal Siakam,31.5,0.6,0.6,0.6
Anthony Edwards,32.5,0.6,0.7,0.67
Stephen Curry,28.5,0.6,0.6,0.6
Naz Reid,21.5,0.6,0.5,0.53
Jaden McDaniels,18.5,0.6,0.4,0.53
Donte DiVincenzo,15.5,0.6,0.7,0.67
Brandin Podziemski,14.5,0.6,0.6,0.53
Quinten Post,12.5,0.6,0.6,0.47
Moses Moody,11.5,0.6,0.7,0.67
Jalen Brunson,31.5,0.6,0.6,0.53
Jalen Suggs,21.5,0.6,0.5,0.4
Anthony Black,20.5,0.6,0.4,0.4
Mikal Bridges,19.5,0.6,0.6,0.67
Shai Gilgeous-Alexander,35.5,0.6,0.6,0.53
Devin Vassell,15.5,0.6,0.8,0.67
Rudy Gobert,18.5,0.6,0.7,0.73
Ausar Thompson,17.5,0.6,0.3,0.47
Jeremiah Fears,18.5,0.6,0.6,0.67
Yves Missi,8.5,0.6,0.5,0.53
John Collins,16.5,0.6,0.6,0.53
Amen Thompson,23.5,0.6,0.6,0.47
Kawhi Leonard,27.5,0.6,0.6,0.53
Josh Okogie,9.0,0.6,0.4,0.53
James Harden,27.5,0.6,0.7,0.8
Kevin Durant,29.5,0.6,0.5,0.47
Alperen Sengun,29.5,0.6,0.6,0.67
Sam Hauser,11.5,0.6,0.6,0.4
Anfernee Simons,13.5,0.6,0.6,0.53
Neemias Queta,19.5,0.6,0.6,0.47
Reed Sheppard,13.5,0.6,0.7,0.73
Steven Adams,13.0,0.4,0.6,0.47
Deni Avdija,35.5,0.4,0.4,0.27
Shaedon Sharpe,28.5,0.4,0.5,0.53
Kris Dunn,9.5,0.4,0.5,0.53
Jerami Grant,26.5,0.4,0.4,0.33
Bennedict Mathurin,26.5,0.4,0.4,0.47
Bruce Brown,11.5,0.4,0.4,0.47
Derik Queen,24.5,0.4,0.4,0.4
Dean Wade,9.5,0.4,0.5,0.47
Karl-Anthony Towns,33.5,0.4,0.3,0.47
Desmond Bane,25.5,0.4,0.4,0.47
Josh Minott,10.5,0.4,0.5,0.47
Jalen Williams,24.5,0.4,0.2,0.13
Bobby Portis,19.5,0.4,0.5,0.47
Payton Pritchard,21.5,0.4,0.4,0.47
