NAME,LINE,L-5,L-10,L-15
Jaylen Brown,41.5,1.0,0.7,0.67
Coby White,27.5,1.0,0.6,0.4
Jaylen Wells,17.5,1.0,0.7,0.53
Deni Avdija,41.0,1.0,0.7,0.6
Jordan Walsh,13.5,0.8,0.7,0.67
Gabe Vincent,7.5,0.8,0.5,0.33
Quentin Grimes,21.5,0.8,0.7,0.67
Austin Reaves,32.5,0.8,0.8,0.73
Tyrese Maxey,37.5,0.8,0.6,0.67
Cam Spencer,18.5,0.8,0.7,0.53
Svi Mykhailiuk,12.5,0.8,0.7,0.67
Immanuel Quickley,27.5,0.8,0.5,0.6
Derrick White,27.5,0.8,0.7,0.67
Liam McNeeley,9.5,0.6,0.5,0.47
Jock Landale,13.5,0.6,0.5,0.67
Scottie Barnes,34.5,0.6,0.5,0.4
Joel Embiid,27.5,0.6,0.4,0.27
Toumani Camara,21.0,0.6,0.5,0.4
Deandre Ayton,23.5,0.6,0.6,0.53
Zach Edey,27.5,0.6,0.4,0.27
VJ Edgecombe,17.5,0.6,0.7,0.73
Rui Hachimura,15.5,0.6,0.7,0.73
Jared McCain,13.5,0.6,0.5,0.33
Ryan Kalkbrenner,15.5,0.6,0.6,0.53
Cameron Johnson,20.5,0.6,0.7,0.47
Lauri Markkanen,32.5,0.6,0.5,0.47
Keyonte George,31.5,0.6,0.7,0.6
Ace Bailey,18.5,0.6,0.5,0.6
Jamal Murray,34.5,0.6,0.6,0.53
Sam Hauser,11.5,0.6,0.5,0.33
Draymond Green,21.5,0.6,0.6,0.47
Matas Buzelis,22.5,0.4,0.2,0.33
Justin Edwards,6.5,0.4,0.7,0.67
Paul George,21.5,0.4,0.3,0.2
Chet Holmgren,31.0,0.4,0.4,0.33
LeBron James,30.5,0.4,0.2,0.13
Payton Pritchard,25.5,0.4,0.5,0.47
Sandro Mamukelashvili,16.5,0.4,0.5,0.53
Josh Giddey,40.5,0.4,0.4,0.47
Cedric Coward,21.5,0.4,0.4,0.4
Kon Knueppel,28.0,0.4,0.5,0.53
Peyton Watson,21.0,0.4,0.6,0.47
Sion James,10.5,0.4,0.3,0.33
Anfernee Simons,17.0,0.4,0.5,0.53
Jerami Grant,25.5,0.4,0.6,0.47
Shaedon Sharpe,30.5,0.4,0.6,0.53
Donovan Clingan,21.0,0.4,0.6,0.4
Santi Aldama,20.5,0.4,0.6,0.67
Neemias Queta,20.5,0.4,0.5,0.4
Kris Murray,12.5,0.4,0.5,0.4
Kentavious Caldwell-Pope,11.5,0.4,0.3,0.33
Miles Bridges,32.5,0.4,0.3,0.4
Aaron Wiggins,22.0,0.2,0.2,0.2
Kenrich Williams,13.5,0.2,0.1,0.07
Cason Wallace,16.5,0.2,0.1,0.2
Jaylin Williams,17.5,0.2,0.2,0.2
Jakob Poeltl,22.0,0.2,0.5,0.47
Ajay Mitchell,26.5,0.2,0.1,0.27
Brandon Miller,28.5,0.2,0.2,0.13
Ja'Kobe Walter,12.5,0.2,0.4,0.27
Brandon Ingram,33.5,0.2,0.4,0.47
Jalen Williams,34.5,0.0,0.0,0.0
KJ Simpson,20.5,0.0,0.0,0.0
