NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Jarace Walker,3.5,0.4,0.6,0.6,0.72,0.28
Stephon Castle,4.5,0.6,0.8,0.73,0.65,0.35
Trey Murphy III,5.5,0.4,0.4,0.53,0.649,0.351
Saddiq Bey,6.0,0.4,0.5,0.53,0.628,0.372
Devin Vassell,3.5,0.4,0.5,0.4,0.565,0.435
Mark Williams,8.5,0.6,0.3,0.33,0.562,0.438
Pascal Siakam,7.5,0.6,0.5,0.33,0.546,0.454
Rudy Gobert,10.5,0.4,0.6,0.53,0.51,0.49
Jeremiah Fears,3.5,0.4,0.5,0.47,0.507,0.493
Yves Missi,6.0,0.4,0.4,0.33,0.45,0.55
Royce O'Neale,5.0,0.6,0.4,0.4,0.406,0.594
Julius Randle,7.0,0.4,0.5,0.53,0.387,0.613
Anthony Edwards,5.0,0.4,0.4,0.4,0.386,0.614
Ryan Dunn,4.5,0.2,0.2,0.33,0.386,0.614
Harrison Barnes,4.0,0.6,0.6,0.47,0.382,0.618
Bennedict Mathurin,5.5,0.4,0.4,0.33,0.367,0.633
DeMar DeRozan,3.5,0.2,0.2,0.2,0.363,0.637
Donte DiVincenzo,4.0,0.2,0.4,0.47,0.362,0.638
Isaiah Jackson,5.5,0.4,0.3,0.47,0.357,0.643
De'Aaron Fox,4.0,0.4,0.5,0.4,0.357,0.643
Naz Reid,6.0,0.6,0.5,0.4,0.332,0.668
Jeremy Sochan,4.5,0.6,0.7,0.47,0.327,0.673
Oso Ighodaro,4.0,0.4,0.3,0.33,0.312,0.688
Jay Huff,5.0,0.4,0.3,0.33,0.302,0.698
Luke Kornet,7.0,0.2,0.2,0.2,0.246,0.754
Derik Queen,7.0,0.4,0.4,0.4,0.193,0.807
Maxime Raynaud,7.0,0.2,0.1,0.13,0.099,0.901
