NAME,LINE,L-5,L-10,L-15
P.J. Washington,7.5,1.0,0.9,0.87
Gary Harris,3.5,0.8,0.5,0.33
Kawhi Leonard,8.5,0.8,0.5,0.47
Draymond Green,11.5,0.8,0.7,0.53
Kevin Durant,10.0,0.8,0.5,0.4
Ivica Zubac,13.5,0.8,0.9,0.73
Jalen Johnson,19.5,0.8,0.5,0.4
Evan Mobley,14.0,0.8,0.5,0.47
Yves Missi,6.5,0.8,0.6,0.53
Keegan Murray,9.0,0.8,0.4,0.27
Reed Sheppard,6.0,0.8,0.5,0.4
Cooper Flagg,9.0,0.6,0.6,0.6
Duncan Robinson,4.5,0.6,0.7,0.67
Ryan Rollins,10.5,0.6,0.7,0.67
Jaylon Tyson,7.5,0.6,0.7,0.53
Rudy Gobert,11.5,0.6,0.7,0.6
Jericho Sims,8.5,0.6,0.3,0.27
Amen Thompson,13.0,0.6,0.5,0.4
Andrew Wiggins,8.5,0.6,0.5,0.47
Ausar Thompson,8.0,0.6,0.5,0.53
Khris Middleton,8.0,0.6,0.3,0.27
Marvin Bagley III,8.5,0.6,0.3,0.27
Donte DiVincenzo,7.5,0.6,0.4,0.47
John Collins,6.5,0.6,0.5,0.4
Kris Dunn,5.5,0.6,0.7,0.6
Micah Peavy,3.5,0.6,0.7,0.6
Norman Powell,5.0,0.6,0.5,0.4
Noah Clowney,6.5,0.6,0.4,0.4
Bam Adebayo,12.5,0.6,0.4,0.53
Saddiq Bey,9.0,0.6,0.5,0.53
Trey Murphy III,10.0,0.6,0.3,0.4
Anthony Edwards,9.5,0.4,0.4,0.33
Julius Randle,12.5,0.4,0.5,0.53
James Harden,13.5,0.4,0.3,0.4
Tobias Harris,7.0,0.4,0.3,0.4
Quinten Post,6.5,0.4,0.4,0.33
Nickeil Alexander-Walker,7.5,0.4,0.5,0.4
Ryan Nembhard,7.5,0.4,0.3,0.2
Jalen Duren,13.5,0.4,0.5,0.47
Cade Cunningham,15.0,0.4,0.6,0.47
Malik Monk,6.5,0.4,0.2,0.13
Jonathan Kuminga,7.0,0.4,0.5,0.6
Darius Garland,9.0,0.4,0.3,0.2
Donovan Mitchell,11.0,0.4,0.5,0.53
Luke Kennard,4.5,0.4,0.5,0.47
Anthony Davis,14.5,0.4,0.3,0.2
Kyshawn George,10.5,0.4,0.5,0.4
Onyeka Okongwu,11.0,0.4,0.3,0.33
Dyson Daniels,12.5,0.4,0.5,0.53
Jose Alvarado,6.0,0.4,0.4,0.4
Terance Mann,7.0,0.4,0.5,0.47
Alperen Sengun,15.5,0.2,0.5,0.67
Zach LaVine,6.0,0.2,0.2,0.27
Derik Queen,11.5,0.2,0.4,0.47
Bobby Portis,8.5,0.2,0.2,0.2
Tyler Herro,8.5,0.2,0.1,0.07
Kel'el Ware,11.5,0.2,0.6,0.6
Russell Westbrook,15.0,0.2,0.5,0.53
Kevin Porter Jr.,11.0,0.2,0.1,0.07
Dean Wade,5.5,0.2,0.5,0.33
Brandin Podziemski,8.5,0.2,0.2,0.27
Zaccharie Risacher,4.5,0.2,0.5,0.6
Mouhamed Gueye,5.5,0.2,0.4,0.33
Jeremiah Fears,8.0,0.2,0.2,0.13
Danny Wolf,8.5,0.2,0.1,0.07
DeMar DeRozan,7.0,0.0,0.3,0.2
Myles Turner,7.5,0.0,0.4,0.4
Max Christie,4.5,0.0,0.2,0.47
