NAME,LINE,L-5,L-10,L-15
Stephen Curry,2.5,1.0,0.7,0.6
Deni Avdija,3.5,0.8,0.7,0.6
Jericho Sims,0.5,0.8,0.6,0.6
Moses Moody,0.5,0.8,0.7,0.67
Josh Okogie,0.5,0.8,0.5,0.47
Kyle Kuzma,1.5,0.8,0.7,0.53
Josh Minott,0.5,0.6,0.6,0.53
Chet Holmgren,1.5,0.6,0.5,0.53
Nicolas Batum,0.5,0.6,0.6,0.6
Jaden McDaniels,1.5,0.4,0.6,0.6
Ryan Rollins,2.5,0.4,0.7,0.6
Cade Cunningham,3.5,0.4,0.5,0.47
Kevin Durant,2.5,0.4,0.5,0.53
Jordan Walsh,0.5,0.4,0.5,0.4
Luguentz Dort,0.5,0.4,0.4,0.4
Malik Monk,1.5,0.2,0.2,0.13
Anthony Black,2.5,0.2,0.3,0.2
