LEAGUE,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Lutsharel Geertruida,Yes,,1425,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Wilson Isidor,Yes,,280,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Granit Xhaka,Yes,,840,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Brian Brobbey,Yes,,265,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Amadou Onana,Yes,,540,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Victor Lindelof,Yes,,1300,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Morgan Rogers,Yes,,191,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Harvey Elliott,Yes,,330,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Ian Maatsen,Yes,,650,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Dennis Cirkin,Yes,,1425,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Trai Hume,Yes,,1075,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Enzo Le Fee,Yes,,480,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Lamare Bogarde,Yes,,1425,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Habib Diarra,Yes,,500,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Chemsdine Talbi,Yes,,400,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Eliezer Mayenda,Yes,,370,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Noah Sadiki,Yes,,1250,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,John McGinn,Yes,,340,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Andres Garcia,Yes,,650,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Christopher Rigg,Yes,,570,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Milan Aleksic,Yes,,450,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Harrison Jones,Yes,,650,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,George Hemmings,Yes,,550,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Tyrone Mings,Yes,,1050,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Youri Tielemans,Yes,,520,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Luke O'Nien,Yes,,1300,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Ollie Watkins,Yes,,146,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Nordi Mukiele,Yes,,1050,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Emiliano Buendia Stati,Yes,,260,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Omar Alderete,Yes,,1075,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Leon Bailey,Yes,,310,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Reinildo Mandava,Yes,,1750,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
soccer_epl,MyBookie.ag,player_goal_scorer_anytime,Ezri Konsa,Yes,,1050,2026-04-19,2026-04-18T23:44:40Z,2026-04-18 16:45:36
