NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Trey Murphy III,3.5,1.0,0.7,0.6,0.664,0.336
Rudy Gobert,1.5,0.8,0.8,0.6,0.648,0.352
Jose Alvarado,2.5,0.6,0.6,0.53,0.607,0.393
Kyle Kuzma,2.5,0.6,0.6,0.53,0.595,0.405
Buddy Hield,1.5,0.6,0.5,0.53,0.59,0.41
Bobby Portis,1.5,0.4,0.6,0.4,0.563,0.437
Jalen Suggs,4.5,0.2,0.4,0.4,0.509,0.491
Payton Pritchard,4.5,0.6,0.5,0.47,0.508,0.492
Cameron Johnson,2.5,0.6,0.5,0.53,0.491,0.509
Aaron Holiday,1.5,0.6,0.5,0.47,0.463,0.537
Mike Conley,2.5,0.6,0.5,0.53,0.43,0.57
Josh Hart,5.5,0.4,0.6,0.6,0.417,0.583
