NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
P.J. Washington,13.5,0.8,0.7,0.67,0.84,0.16
Rudy Gobert,9.5,0.6,0.6,0.6,0.815,0.185
Micah Peavy,4.5,0.8,0.7,0.47,0.804,0.196
Jaylon Tyson,12.5,0.8,0.7,0.67,0.796,0.204
Naji Marshall,10.5,0.8,0.6,0.6,0.72,0.28
Noah Clowney,16.5,0.6,0.6,0.6,0.695,0.305
Duncan Robinson,11.5,0.4,0.7,0.6,0.694,0.306
Bryce McGowens,8.5,0.4,0.4,0.27,0.682,0.318
Ryan Nembhard,9.5,0.8,0.4,0.27,0.672,0.328
Nickeil Alexander-Walker,20.5,1.0,0.8,0.6,0.668,0.332
Evan Mobley,17.5,0.6,0.6,0.67,0.661,0.339
Donovan Mitchell,29.5,0.6,0.6,0.53,0.657,0.343
Cooper Flagg,16.5,0.6,0.5,0.4,0.642,0.358
Reed Sheppard,11.5,0.2,0.5,0.6,0.639,0.361
Kel'el Ware,11.5,0.4,0.6,0.6,0.615,0.385
Tyrese Martin,7.5,0.4,0.6,0.47,0.614,0.386
Saddiq Bey,17.5,1.0,0.7,0.6,0.586,0.414
Cade Cunningham,26.5,0.6,0.6,0.6,0.57,0.43
Dyson Daniels,12.5,0.6,0.5,0.33,0.569,0.431
Amen Thompson,19.5,0.6,0.5,0.47,0.567,0.433
John Collins,12.5,0.6,0.4,0.4,0.562,0.438
Norman Powell,24.5,0.8,0.7,0.6,0.538,0.462
Ivica Zubac,14.5,0.4,0.4,0.53,0.526,0.474
Myles Turner,12.5,0.2,0.5,0.6,0.52,0.48
Precious Achiuwa,7.5,0.8,0.5,0.47,0.504,0.496
Donte DiVincenzo,14.5,0.8,0.5,0.47,0.5,0.5
De'Andre Hunter,14.5,0.2,0.4,0.53,0.5,0.5
DeMar DeRozan,17.5,0.4,0.3,0.47,0.497,0.503
Brandon Williams,9.5,0.4,0.5,0.6,0.493,0.507
Caris LeVert,8.5,0.4,0.5,0.53,0.475,0.525
Naz Reid,13.5,0.6,0.7,0.47,0.475,0.525
Ausar Thompson,10.5,0.2,0.3,0.47,0.462,0.538
Julius Randle,20.5,0.4,0.4,0.47,0.461,0.539
Russell Westbrook,13.5,0.4,0.4,0.47,0.456,0.544
Bam Adebayo,20.5,0.6,0.3,0.4,0.449,0.551
Jeremiah Fears,16.5,0.6,0.5,0.53,0.443,0.557
Nicolas Batum,4.5,0.6,0.7,0.73,0.425,0.575
Malik Monk,14.5,0.8,0.6,0.6,0.424,0.576
Jaden McDaniels,13.5,0.4,0.4,0.53,0.422,0.578
Kevin Porter Jr.,20.5,0.4,0.2,0.13,0.408,0.592
James Harden,24.5,0.4,0.6,0.6,0.386,0.614
Maxime Raynaud,10.5,0.4,0.3,0.2,0.37,0.63
Derik Queen,13.5,0.4,0.5,0.4,0.365,0.635
Mike Conley,4.5,0.6,0.6,0.73,0.364,0.636
Kevin Durant,26.5,0.4,0.5,0.4,0.361,0.639
Zach LaVine,19.5,0.2,0.3,0.33,0.33,0.67
Darius Garland,16.5,0.4,0.3,0.2,0.305,0.695
Zaccharie Risacher,12.5,0.2,0.3,0.4,0.284,0.716
Danny Wolf,10.5,0.4,0.2,0.13,0.278,0.722
Jaden Ivey,8.5,0.4,0.4,0.27,0.251,0.749
Onyeka Okongwu,18.5,0.2,0.5,0.47,0.247,0.753
Luke Kennard,7.5,0.2,0.4,0.47,0.227,0.773
Mouhamed Gueye,7.5,0.4,0.3,0.33,0.19,0.81
Kyshawn George,15.5,0.2,0.4,0.33,0.177,0.823
Kyle Kuzma,13.5,0.4,0.4,0.4,0.147,0.853
Marvin Bagley III,13.5,0.2,0.1,0.13,0.139,0.861
