NAME,LINE,L-5,L-10,L-15
Jalen Johnson,32.5,1.0,0.8,0.6
Jaylen Brown,34.5,0.8,0.7,0.6
Victor Wembanyama,21.5,0.8,0.8,0.67
Kawhi Leonard,25.5,0.8,0.7,0.6
Tyrese Maxey,35.5,0.8,0.5,0.53
Trey Murphy III,25.5,0.8,0.5,0.53
Jeremiah Fears,18.5,0.8,0.5,0.53
Derrick White,24.5,0.8,0.6,0.6
Shai Gilgeous-Alexander,37.5,0.6,0.6,0.67
Jalen Suggs,22.5,0.6,0.5,0.4
Jalen Brunson,34.5,0.6,0.6,0.53
Stephen Curry,28.5,0.6,0.6,0.6
Pascal Siakam,27.5,0.6,0.5,0.53
Coby White,26.5,0.6,0.5,0.33
Nickeil Alexander-Walker,24.5,0.6,0.6,0.53
Deni Avdija,36.5,0.6,0.6,0.4
Amen Thompson,21.5,0.6,0.5,0.53
James Harden,30.5,0.6,0.7,0.73
Alperen Sengun,27.5,0.6,0.6,0.6
De'Aaron Fox,25.5,0.6,0.8,0.8
Jamal Murray,31.5,0.6,0.7,0.6
Derik Queen,21.5,0.4,0.4,0.4
Jerami Grant,23.5,0.4,0.4,0.33
Payton Pritchard,21.5,0.4,0.4,0.47
Desmond Bane,24.5,0.4,0.4,0.53
Onyeka Okongwu,19.5,0.4,0.7,0.67
Miles Bridges,27.5,0.4,0.3,0.33
Andrew Nembhard,23.5,0.4,0.3,0.47
Bennedict Mathurin,23.5,0.4,0.4,0.47
Cade Cunningham,35.5,0.4,0.5,0.67
Kon Knueppel,22.5,0.4,0.5,0.53
Shaedon Sharpe,25.5,0.4,0.5,0.4
Russell Westbrook,26.5,0.4,0.3,0.27
Joel Embiid,22.5,0.2,0.4,0.27
Jalen Duren,20.5,0.2,0.4,0.53
Josh Giddey,29.5,0.2,0.2,0.33
Paolo Banchero,25.5,0.2,0.5,0.47
Anthony Black,19.5,0.2,0.3,0.4
Ryan Rollins,24.5,0.2,0.4,0.4
Brandon Miller,25.5,0.2,0.2,0.13
