NAME,LINE,L-5,L-10,L-15
Shai Gilgeous-Alexander,41.5,0.8,0.7,0.73
Isaiah Joe,10.5,0.8,0.7,0.73
Aaron Wiggins,13.5,0.8,0.9,0.73
Royce O'Neale,15.5,0.8,0.7,0.67
Chet Holmgren,28.5,0.8,0.6,0.6
Mark Williams,18.5,0.8,0.7,0.67
Dru Smith,9.5,0.6,0.6,0.6
Immanuel Quickley,27.5,0.6,0.4,0.53
Dillon Brooks,24.5,0.6,0.6,0.53
Scottie Barnes,35.5,0.6,0.5,0.4
Oso Ighodaro,9.5,0.6,0.7,0.6
Anthony Black,25.5,0.6,0.5,0.33
Davion Mitchell,17.5,0.6,0.6,0.73
Norman Powell,26.5,0.6,0.6,0.67
Andrew Wiggins,21.5,0.6,0.6,0.6
Goga Bitadze,12.5,0.6,0.6,0.6
Ochai Agbaji,9.5,0.4,0.3,0.27
Cason Wallace,13.5,0.4,0.4,0.4
Jalen Williams,30.5,0.4,0.2,0.13
Devin Booker,33.5,0.4,0.5,0.6
Desmond Bane,31.5,0.4,0.4,0.47
Ja'Kobe Walter,11.5,0.4,0.5,0.4
Jamal Shead,14.5,0.4,0.5,0.4
Paolo Banchero,31.5,0.4,0.6,0.6
Brandon Ingram,32.5,0.4,0.5,0.47
Jalen Brunson,37.5,0.4,0.5,0.53
Karl-Anthony Towns,37.5,0.4,0.5,0.53
Kel'el Ware,17.5,0.4,0.7,0.8
Tyler Herro,30.5,0.4,0.2,0.13
Jalen Suggs,28.5,0.4,0.4,0.33
Bam Adebayo,30.5,0.4,0.3,0.4
Jakob Poeltl,20.5,0.4,0.6,0.6
Luguentz Dort,12.5,0.2,0.4,0.47
Grayson Allen,22.5,0.2,0.5,0.53
