NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Tyrese Martin,2.5,0.4,0.4,0.4,0.768,0.232
Dru Smith,2.5,0.8,0.9,0.73,0.612,0.388
Kel'el Ware,10.5,0.0,0.5,0.53,0.612,0.388
Darius Garland,2.5,0.4,0.3,0.2,0.555,0.445
Andrew Wiggins,5.5,0.6,0.6,0.47,0.502,0.498
Max Christie,2.5,0.2,0.5,0.67,0.489,0.511
Klay Thompson,2.5,0.8,0.4,0.4,0.48,0.52
Russell Westbrook,7.5,0.4,0.5,0.47,0.467,0.533
Precious Achiuwa,5.5,0.6,0.4,0.33,0.464,0.536
Tobias Harris,4.5,0.6,0.5,0.53,0.463,0.537
Onyeka Okongwu,7.5,0.4,0.2,0.33,0.439,0.561
Noah Clowney,4.5,0.4,0.2,0.2,0.322,0.678
Alperen Sengun,9.5,0.2,0.5,0.6,0.286,0.714
Kevin Porter Jr.,4.5,0.2,0.1,0.07,0.23,0.77
Bobby Portis,6.5,0.2,0.3,0.33,0.225,0.775
Caris LeVert,2.5,0.2,0.2,0.2,0.206,0.794
Maxime Raynaud,5.5,0.4,0.2,0.2,0.168,0.832
