NAME,LINE,L-5,L-10,L-15
P.J. Washington,7.5,1.0,0.9,0.87
Draymond Green,11.5,0.8,0.7,0.53
Jalen Johnson,19.5,0.8,0.5,0.4
Ivica Zubac,13.5,0.8,0.9,0.73
Amen Thompson,13.5,0.6,0.5,0.4
Marvin Bagley III,8.5,0.6,0.3,0.27
Jaylon Tyson,7.5,0.6,0.7,0.53
Andrew Wiggins,8.5,0.6,0.5,0.47
Bam Adebayo,12.5,0.6,0.4,0.53
Donte DiVincenzo,7.5,0.6,0.4,0.47
Rudy Gobert,11.5,0.6,0.7,0.6
Jericho Sims,8.5,0.6,0.3,0.27
Ryan Rollins,10.5,0.6,0.7,0.67
Anthony Edwards,9.5,0.4,0.4,0.33
Julius Randle,12.5,0.4,0.5,0.53
Anthony Davis,14.5,0.4,0.3,0.2
Ryan Nembhard,7.5,0.4,0.3,0.2
James Harden,13.5,0.4,0.3,0.4
Jalen Duren,13.5,0.4,0.5,0.47
Kyshawn George,10.5,0.4,0.5,0.4
Dyson Daniels,12.5,0.4,0.5,0.53
Bobby Portis,8.5,0.2,0.2,0.2
Tyler Herro,8.5,0.2,0.1,0.07
Kyle Kuzma,7.5,0.2,0.2,0.2
Kel'el Ware,11.5,0.2,0.6,0.6
Brandin Podziemski,8.5,0.2,0.2,0.27
Danny Wolf,8.5,0.2,0.1,0.07
Myles Turner,7.5,0.0,0.4,0.4
