TEAM_NAME,DEF_RATING,DEF_RATING_RANK,PACE,PACE_RANK
Atlanta Hawks,121.9,15,96.67,6
Boston Celtics,110.8,7,93.71,14
Cleveland Cavaliers,113.3,12,95.42,11
Denver Nuggets,112.8,8,99.33,2
Detroit Pistons,108.0,5,94.65,12
Houston Rockets,107.4,3,92.4,16
Los Angeles Lakers,113.3,11,93.53,15
Minnesota Timberwolves,113.1,10,100.83,1
New York Knicks,104.4,2,96.11,9
Oklahoma City Thunder,109.1,6,96.45,8
Orlando Magic,107.5,4,95.57,10
Philadelphia 76ers,119.3,14,94.59,13
Phoenix Suns,127.2,16,96.5,7
Portland Trail Blazers,116.6,13,97.1,5
San Antonio Spurs,103.6,1,99.29,3
Toronto Raptors,113.0,9,97.27,4
