BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
Betr DFS,player_points,Isaiah Hartenstein,Over,7.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Isaiah Hartenstein,Under,7.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Alex Caruso,Over,9.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Alex Caruso,Under,9.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Shai Gilgeous-Alexander,Over,30.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Shai Gilgeous-Alexander,Under,30.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Chet Holmgren,Over,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Chet Holmgren,Under,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Jalen Williams,Over,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Jalen Williams,Under,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Jared McCain,Over,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Jared McCain,Under,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Keldon Johnson,Over,7.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Keldon Johnson,Under,7.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Devin Vassell,Over,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Devin Vassell,Under,13.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Julian Champagnie,Over,9.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,Julian Champagnie,Under,9.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
Betr DFS,player_points,De'Aaron Fox,Over,14.5,-137,2026-05-29,2026-05-28T01:28:54Z,2026-05-27 18:29:01
