BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Bilal Coulibaly,Over,12.5,102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Bilal Coulibaly,Under,12.5,-130,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Shai Gilgeous-Alexander,Over,28.5,-102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Shai Gilgeous-Alexander,Under,28.5,-125,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Ajay Mitchell,Over,13.5,-115,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Ajay Mitchell,Under,13.5,-111,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Aaron Wiggins,Over,10.5,-108,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Aaron Wiggins,Under,10.5,-118,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Alex Sarr,Over,11.5,-120,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Alex Sarr,Under,11.5,-106,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Jared McCain,Over,12.5,-118,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Jared McCain,Under,12.5,-108,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Cason Wallace,Over,8.5,-120,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Cason Wallace,Under,8.5,-106,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Chet Holmgren,Over,16.5,106,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Chet Holmgren,Under,16.5,-136,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Carlton Carrington,Over,10.5,-125,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Carlton Carrington,Under,10.5,-102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Isaiah Hartenstein,Over,8.5,100,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Isaiah Hartenstein,Under,8.5,-128,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Tre Johnson,Over,12.5,102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Tre Johnson,Under,12.5,-130,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Will Riley,Over,15.5,-102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Will Riley,Under,15.5,-125,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Alex Caruso,Over,4.5,-125,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Alex Caruso,Under,4.5,-102,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Isaiah Joe,Over,10.5,-113,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Isaiah Joe,Under,10.5,-113,2026-03-21,2026-03-21T18:30:11Z,2026-03-21 11:30:39
FanDuel,player_points,Kon Knueppel,Over,18.5,-130,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Kon Knueppel,Under,18.5,-102,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Olivier-Maxence Prosper,Over,14.5,-102,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Olivier-Maxence Prosper,Under,14.5,-130,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Moussa Diabate,Over,8.5,-132,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Moussa Diabate,Under,8.5,100,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Miles Bridges,Over,15.5,-104,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Miles Bridges,Under,15.5,-128,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Taylor Hendricks,Over,13.5,-106,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Taylor Hendricks,Under,13.5,-125,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,LaMelo Ball,Over,19.5,-118,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,LaMelo Ball,Under,19.5,-112,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Coby White,Over,14.5,-104,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Coby White,Under,14.5,-128,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
FanDuel,player_points,Brandon Miller,Over,20.5,-132,2026-03-21,2026-03-21T18:30:25Z,2026-03-21 11:30:39
