BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
PrizePicks,player_points,Rhyne Howard,Over,23.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Rhyne Howard,Under,23.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Allisha Gray,Over,20.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Allisha Gray,Under,20.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Natisha Hiedeman,Over,12.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Natisha Hiedeman,Under,12.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Jordin Canada,Over,10.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Jordin Canada,Under,10.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Awa Fam,Over,7.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Awa Fam,Under,7.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,A'ja Wilson,Over,23.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,A'ja Wilson,Under,23.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Jackie Young,Over,18.0,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Jackie Young,Under,18.0,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Carla Leite,Over,14.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Carla Leite,Under,14.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Chelsea Gray,Over,13.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Chelsea Gray,Under,13.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Bridget Carleton,Over,13.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Bridget Carleton,Under,13.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Megan Gustafson,Over,12.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Megan Gustafson,Under,12.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,NaLyssa Smith,Over,11.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,NaLyssa Smith,Under,11.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Sarah Ashlee Barker,Over,11.0,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Sarah Ashlee Barker,Under,11.0,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Jewell Loyd,Over,9.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Jewell Loyd,Under,9.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Emily Engstler,Over,7.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Emily Engstler,Under,7.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Cheyenne Parker-Tyus,Over,5.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Cheyenne Parker-Tyus,Under,5.5,-137,2026-07-10,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Kelsey Mitchell,Over,23.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Kelsey Mitchell,Under,23.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Kahleah Copper,Over,20.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Kahleah Copper,Under,20.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Aliyah Boston,Over,17.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Aliyah Boston,Under,17.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Alyssa Thomas,Over,14.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Alyssa Thomas,Under,14.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,DeWanna Bonner,Over,11.0,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,DeWanna Bonner,Under,11.0,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Valeriane Ayayi,Over,10.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Valeriane Ayayi,Under,10.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Sophie Cunningham,Over,9.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Sophie Cunningham,Under,9.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Lexie Hull,Over,8.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Lexie Hull,Under,8.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Lexi Held,Over,8.0,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Lexi Held,Under,8.0,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Monique Akoa Makani,Over,6.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Monique Akoa Makani,Under,6.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Gabby Williams,Over,14.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Gabby Williams,Under,14.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Leïla Lacan,Over,12.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Leïla Lacan,Under,12.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Olivia Nelson-Ododa,Over,11.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Olivia Nelson-Ododa,Under,11.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Veronica Burton,Over,10.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Veronica Burton,Under,10.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Kayla Thornton,Over,8.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Kayla Thornton,Under,8.5,-137,2026-07-10,2026-07-10T01:32:26Z,2026-07-09 18:35:21
PrizePicks,player_points,Paige Bueckers,Over,21.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Paige Bueckers,Under,21.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Jessica Shepard,Over,14.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Jessica Shepard,Under,14.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Azzi Fudd,Over,13.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Azzi Fudd,Under,13.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Arike Ogunbowale,Over,13.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Arike Ogunbowale,Under,13.5,-137,2026-07-10,2026-07-10T01:32:06Z,2026-07-09 18:35:21
PrizePicks,player_points,Nneka Ogwumike,Over,17.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Nneka Ogwumike,Under,17.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Dearica Hamby,Over,16.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Dearica Hamby,Under,16.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Sydney Taylor,Over,15.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Sydney Taylor,Under,15.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Kamilla Cardoso,Over,14.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Kamilla Cardoso,Under,14.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Rae Burrell,Over,14.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
PrizePicks,player_points,Rae Burrell,Under,14.5,-137,2026-07-11,2026-07-10T01:32:14Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Jordin Canada,Over,11.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Jordin Canada,Under,11.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Natisha Hiedeman,Over,14.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Natisha Hiedeman,Under,14.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Dominique Malonga,Over,20.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Dominique Malonga,Under,20.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Allisha Gray,Over,20.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Angel Reese,Over,17.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Angel Reese,Under,17.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Flau'jae Johnson,Over,9.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Awa Fam,Over,7.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Naz Hillmon,Over,5.5,-137,2026-07-10,2026-07-10T01:35:10Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Bridget Carleton,Over,12.5,-137,2026-07-10,2026-07-10T01:35:15Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Bridget Carleton,Under,12.5,-137,2026-07-10,2026-07-10T01:35:15Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Carla Leite,Over,15.5,-137,2026-07-10,2026-07-10T01:35:15Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Carla Leite,Under,15.5,-137,2026-07-10,2026-07-10T01:35:15Z,2026-07-09 18:35:21
DraftKings Pick6,player_points,Jackie Young,Over,17.5,-137,2026-07-10,2026-07-10T01:35:15Z,2026-07-09 18:35:21
