BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
PrizePicks,player_points,Paige Bueckers,Over,22.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Paige Bueckers,Under,22.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Nneka Ogwumike,Over,17.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Nneka Ogwumike,Under,17.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Jessica Shepard,Over,15.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Jessica Shepard,Under,15.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Rae Burrell,Over,15.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Rae Burrell,Under,15.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Dearica Hamby,Over,15.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Dearica Hamby,Under,15.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Azzi Fudd,Over,14.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Azzi Fudd,Under,14.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Arike Ogunbowale,Over,13.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Arike Ogunbowale,Under,13.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Ariel Atkins,Over,11.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Ariel Atkins,Under,11.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Erica Wheeler,Over,10.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Erica Wheeler,Under,10.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Cameron Brink,Over,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Cameron Brink,Under,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Allisha Gray,Over,19.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Allisha Gray,Under,19.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Rhyne Howard,Over,18.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Rhyne Howard,Under,18.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Angel Reese,Over,16.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Angel Reese,Under,16.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Sydney Taylor,Over,14.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Sydney Taylor,Under,14.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Kamilla Cardoso,Over,13.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Kamilla Cardoso,Under,13.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Jordin Canada,Over,12.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Jordin Canada,Under,12.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Azura Stevens,Over,11.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Azura Stevens,Under,11.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Natasha Cloud,Over,11.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Natasha Cloud,Under,11.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Naz Hillmon,Over,10.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Naz Hillmon,Under,10.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Courtney Vandersloot,Over,8.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Courtney Vandersloot,Under,8.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Gabriela Jaquez,Over,8.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Gabriela Jaquez,Under,8.0,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Brionna Jones,Over,6.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Brionna Jones,Under,6.5,-137,2026-07-19,2026-07-19T08:00:18Z,2026-07-19 01:00:32
PrizePicks,player_points,Kahleah Copper,Over,20.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Kahleah Copper,Under,20.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Alyssa Thomas,Over,14.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Alyssa Thomas,Under,14.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Leïla Lacan,Over,14.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Leïla Lacan,Under,14.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Brittney Griner,Over,12.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Brittney Griner,Under,12.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Olivia Nelson-Ododa,Over,10.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Olivia Nelson-Ododa,Under,10.0,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,DeWanna Bonner,Over,9.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,DeWanna Bonner,Under,9.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Monique Akoa Makani,Over,9.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Monique Akoa Makani,Under,9.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Diamond Miller,Over,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Diamond Miller,Under,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Charlisse Leger-Walker,Over,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Charlisse Leger-Walker,Under,8.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Natasha Mack,Over,7.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Natasha Mack,Under,7.5,-137,2026-07-19,2026-07-19T07:59:56Z,2026-07-19 01:00:32
PrizePicks,player_points,Jonquel Jones,Over,13.5,-137,2026-07-21,2026-07-19T08:00:42Z,2026-07-19 01:00:32
PrizePicks,player_points,Jonquel Jones,Under,13.5,-137,2026-07-21,2026-07-19T08:00:42Z,2026-07-19 01:00:32
PrizePicks,player_points,Pauline Astier,Over,8.5,-137,2026-07-21,2026-07-19T08:00:42Z,2026-07-19 01:00:32
PrizePicks,player_points,Pauline Astier,Under,8.5,-137,2026-07-21,2026-07-19T08:00:42Z,2026-07-19 01:00:32
PrizePicks,player_points,A'ja Wilson,Over,26.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,A'ja Wilson,Under,26.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Marina Mabrey,Over,21.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Marina Mabrey,Under,21.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Isabelle Harrison,Over,10.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Isabelle Harrison,Under,10.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Maria Conde,Over,9.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Maria Conde,Under,9.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Laura Juskaite,Over,8.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Laura Juskaite,Under,8.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Julie Allemand,Over,7.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Julie Allemand,Under,7.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Gabby Williams,Over,13.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Gabby Williams,Under,13.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Shakira Austin,Over,13.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Shakira Austin,Under,13.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Kiki Iriafen,Over,12.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Kiki Iriafen,Under,12.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Janelle Salaun,Over,10.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Janelle Salaun,Under,10.5,-137,2026-07-21,2026-07-19T07:59:52Z,2026-07-19 01:00:32
PrizePicks,player_points,Kayla McBride,Over,18.5,-137,2026-07-21,2026-07-19T07:59:59Z,2026-07-19 01:00:32
