BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Dominique Malonga,Over,19.5,108,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Dominique Malonga,Under,19.5,-140,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Natisha Hiedeman,Over,13.5,-135,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Natisha Hiedeman,Under,13.5,104,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Allisha Gray,Over,19.5,100,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Allisha Gray,Under,19.5,-130,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Jordin Canada,Over,11.5,-114,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Jordin Canada,Under,11.5,-114,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Angel Reese,Over,15.5,-144,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Angel Reese,Under,15.5,110,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Awa Fam,Over,6.5,-148,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Awa Fam,Under,6.5,114,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Flau'jae Johnson,Over,8.5,-113,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Flau'jae Johnson,Under,8.5,-115,2026-07-10,2026-07-10T01:33:15Z,2026-07-09 18:34:55
FanDuel,player_points,Chelsea Gray,Over,13.5,100,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Chelsea Gray,Under,13.5,-130,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,A'ja Wilson,Over,23.5,-108,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,A'ja Wilson,Under,23.5,-120,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Sarah Ashlee Barker,Over,11.5,104,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Sarah Ashlee Barker,Under,11.5,-135,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Carla Leite,Over,14.5,-128,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Carla Leite,Under,14.5,-102,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Megan Gustafson,Over,12.5,-115,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Megan Gustafson,Under,12.5,-113,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Emily Engstler,Over,7.5,-128,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Emily Engstler,Under,7.5,-102,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Bridget Carleton,Over,13.5,100,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Bridget Carleton,Under,13.5,-130,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Jackie Young,Over,17.5,-115,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Jackie Young,Under,17.5,-113,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,NaLyssa Smith,Over,11.5,-118,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,NaLyssa Smith,Under,11.5,-110,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Cheyenne Parker-Tyus,Over,5.5,-108,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,Cheyenne Parker-Tyus,Under,5.5,-120,2026-07-10,2026-07-10T01:34:50Z,2026-07-09 18:34:55
FanDuel,player_points,DeWanna Bonner,Over,11.5,100,2026-07-10,2026-07-10T01:33:58Z,2026-07-09 18:34:55
FanDuel,player_points,DeWanna Bonner,Under,11.5,-130,2026-07-10,2026-07-10T01:33:58Z,2026-07-09 18:34:55
FanDuel,player_points,Valeriane Ayayi,Over,10.5,-114,2026-07-10,2026-07-10T01:33:58Z,2026-07-09 18:34:55
FanDuel,player_points,Valeriane Ayayi,Under,10.5,-114,2026-07-10,2026-07-10T01:33:58Z,2026-07-09 18:34:55
FanDuel,player_points,Aliyah Boston,Over,17.5,-106,2026-07-10,2026-07-10T01:33:58Z,2026-07-09 18:34:55
