BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
FanDuel,player_points,Valeriane Ayayi,Over,7.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Valeriane Ayayi,Under,7.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Leïla Lacan,Over,20.5,-102,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Leïla Lacan,Under,20.5,-128,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Kahleah Copper,Over,20.5,-130,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Kahleah Copper,Under,20.5,100,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Brittney Griner,Over,19.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Brittney Griner,Under,19.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Charlisse Leger-Walker,Over,6.5,-106,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Charlisse Leger-Walker,Under,6.5,-122,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,DeWanna Bonner,Over,6.5,-108,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,DeWanna Bonner,Under,6.5,-120,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Diamond Miller,Over,9.5,-108,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Diamond Miller,Under,9.5,-120,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Olivia Nelson-Ododa,Over,7.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Olivia Nelson-Ododa,Under,7.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Alyssa Thomas,Over,13.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Alyssa Thomas,Under,13.5,-114,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_points,Breanna Stewart,Over,20.5,-102,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Breanna Stewart,Under,20.5,-128,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Jonquel Jones,Over,14.5,-102,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Jonquel Jones,Under,14.5,-128,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Sabrina Ionescu,Over,16.5,-114,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Sabrina Ionescu,Under,16.5,-114,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_points,Courtney Williams,Over,15.5,-110,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Courtney Williams,Under,15.5,-118,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Sarah Ashlee Barker,Over,9.5,100,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Sarah Ashlee Barker,Under,9.5,-130,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Bridget Carleton,Over,12.5,-108,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Bridget Carleton,Under,12.5,-120,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Natasha Howard,Over,16.5,-102,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Natasha Howard,Under,16.5,-128,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Olivia Miles,Over,17.5,-130,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Olivia Miles,Under,17.5,100,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Carla Leite,Over,14.5,-130,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Carla Leite,Under,14.5,100,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Kayla McBride,Over,17.5,-122,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Kayla McBride,Under,17.5,-106,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Emily Engstler,Over,9.5,-120,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Emily Engstler,Under,9.5,-108,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_points,Sonia Citron,Over,15.5,106,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Sonia Citron,Under,15.5,-138,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Michaela Onyenwere,Over,7.5,-113,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Michaela Onyenwere,Under,7.5,-115,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Kayla Thornton,Over,7.5,-122,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Kayla Thornton,Under,7.5,-106,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Shakira Austin,Over,13.5,100,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Shakira Austin,Under,13.5,-130,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Kiki Iriafen,Over,12.5,-128,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Kiki Iriafen,Under,12.5,-102,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Georgia Amoore,Over,5.5,-125,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Georgia Amoore,Under,5.5,-104,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Veronica Burton,Over,10.5,-130,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Veronica Burton,Under,10.5,100,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Gabby Williams,Over,13.5,-114,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Gabby Williams,Under,13.5,-114,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Janelle Salaun,Over,11.5,-128,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
FanDuel,player_points,Janelle Salaun,Under,11.5,-102,2026-07-19,2026-07-18T02:48:28Z,2026-07-17 19:49:15
DraftKings,player_points,Kahleah Copper,Over,20.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Kahleah Copper,Under,20.5,-105,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Leïla Lacan,Over,20.5,100,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Leïla Lacan,Under,20.5,-135,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Brittney Griner,Over,19.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Brittney Griner,Under,19.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Alyssa Thomas,Over,13.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Alyssa Thomas,Under,13.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Diamond Miller,Over,9.5,100,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Diamond Miller,Under,9.5,-135,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Nelson-Ododa,Over,7.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Nelson-Ododa,Under,7.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Charlisse Leger-Walker,Over,6.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Charlisse Leger-Walker,Under,6.5,-120,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,DeWanna Bonner,Over,6.5,-105,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,DeWanna Bonner,Under,6.5,-130,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Breanna Stewart,Over,19.5,-128,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Breanna Stewart,Under,19.5,-104,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Sabrina Ionescu,Over,16.5,-111,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
