name,pos,age,name_s26
Joel Embiid,C,27.0,Joel Embiid
LeBron James,C,37.0,LeBron James
Giannis Antetokounmpo,PF,27.0,Giannis Antetokounmpo
Kevin Durant,PF,33.0,Kevin Durant
Luka Dončić,PG,22.0,Luka Doncic
Trae Young,PG,23.0,Trae Young
DeMar DeRozan,PF,32.0,DeMar DeRozan
Kyrie Irving,PG,29.0,Kyrie Irving
Ja Morant,PG,22.0,Ja Morant
Nikola Jokić,C,26.0,Nikola Jokic
Jayson Tatum,SF,23.0,Jayson Tatum
Devin Booker,SG,25.0,Devin Booker
Donovan Mitchell,SG,25.0,Donovan Mitchell
Stephen Curry,PG,33.0,Stephen Curry
Karl-Anthony Towns,C,26.0,Karl-Anthony Towns
Shai Gilgeous-Alexander,PG,23.0,Shai Gilgeous-Alexander
Zach LaVine,SG,26.0,Zach LaVine
Paul George,PF,31.0,Paul George
Damian Lillard,PG,31.0,Damian Lillard
Jaylen Brown,SF,25.0,Jaylen Brown
Bradley Beal,SG,28.0,Bradley Beal
Anthony Davis,C,28.0,Anthony Davis
De'Aaron Fox,PG,24.0,De'Aaron Fox
Pascal Siakam,PF,27.0,Pascal Siakam
Brandon Ingram,SF,24.0,Brandon Ingram
CJ McCollum,PG,30.0,C.J. McCollum
James Harden,PG,32.0,James Harden
Darius Garland,PG,22.0,Darius Garland
Jimmy Butler,SF,32.0,Jimmy Butler
Anthony Edwards,SG,20.0,Anthony Edwards
Dejounte Murray,PG,25.0,Dejounte Murray
Tyler Herro,SG,22.0,Tyler Herro
Klay Thompson,SG,31.0,Klay Thompson
Fred VanVleet,PG,27.0,Fred VanVleet
Kristaps Porziņģis,PF,26.0,Kristaps Porzingis
Miles Bridges,PF,23.0,Miles Bridges
LaMelo Ball,PG,20.0,LaMelo Ball
Khris Middleton,SF,30.0,Khris Middleton
Julius Randle,PF,27.0,Julius Randle
RJ Barrett,SF,21.0,RJ Barrett
Terry Rozier,SG,27.0,Terry Rozier
Jerami Grant,PF,27.0,Jerami Grant
Bam Adebayo,C,24.0,Bam Adebayo
Malcolm Brogdon,PG,29.0,Malcolm Brogdon
Norman Powell,SF,28.0,Norman Powell
Domantas Sabonis,PF,25.0,Domantas Sabonis
Jordan Poole,SG,22.0,Jordan Poole
Russell Westbrook,PG,33.0,Russell Westbrook
Dillon Brooks,SF,26.0,Dillon Brooks
Jrue Holiday,PG,31.0,Jrue Holiday
Gary Trent Jr.,SG,23.0,Gary Trent Jr
Desmond Bane,SG,23.0,Desmond Bane
Bojan Bogdanović,PF,32.0,Bojan Bogdanovic
D'Angelo Russell,PG,25.0,D'Angelo Russell
Christian Wood,C,26.0,Christian Wood
Jonas Valančiūnas,C,29.0,Jonas Valanciunas
Nikola Vučević,C,31.0,Nikola Vucevic
Tyrese Maxey,PG,21.0,Tyrese Maxey
Cade Cunningham,SG,20.0,Cade Cunningham
Jalen Green,SG,19.0,Jalen Green
Anfernee Simons,SG,22.0,Anfernee Simons
Deandre Ayton,C,23.0,Deandre Ayton
Luguentz Dort,SG,22.0,Luguentz Dort
Tobias Harris,PF,29.0,Tobias Harris
Andrew Wiggins,SF,26.0,Andrew Wiggins
OG Anunoby,SF,24.0,OG Anunoby
Kyle Kuzma,PF,26.0,Kyle Kuzma
Caris LeVert,SG,27.0,Caris LeVert
Keldon Johnson,SF,22.0,Keldon Johnson
Reggie Jackson,SG,31.0,Reggie Jackson
Harrison Barnes,PF,29.0,Harrison Barnes
Cole Anthony,PG,21.0,Cole Anthony
Jalen Brunson,SG,25.0,Jalen Brunson
Jaren Jackson Jr.,PF,22.0,Jaren Jackson Jr
John Collins,PF,24.0,John Collins
Jarrett Allen,C,23.0,Jarrett Allen
Saddiq Bey,SF,22.0,Saddiq Bey
Jordan Clarkson,SG,29.0,Jordan Clarkson
Collin Sexton,SG,23.0,Collin Sexton
Gordon Hayward,SF,31.0,Gordon Hayward
Buddy Hield,SG,29.0,Buddy Hield
Rudy Gobert,C,29.0,Rudy Gobert
Kevin Porter Jr.,PG,21.0,Kevin Porter Jr.
Marcus Morris,PF,32.0,Marcus Morris Sr.
Tyrese Haliburton,PG,21.0,Tyrese Haliburton
Scottie Barnes,PF,20.0,Scottie Barnes
Franz Wagner,SF,20.0,Franz Wagner
Bogdan Bogdanović,SG,29.0,Bogdan Bogdanovic
Wendell Carter Jr.,PF,22.0,Wendell Carter Jr.
Seth Curry,SG,31.0,Seth Curry
Aaron Gordon,PF,26.0,Aaron Gordon
Evan Mobley,PF,20.0,Evan Mobley
Jusuf Nurkić,C,27.0,Jusuf Nurkic
Kelly Oubre Jr.,SF,26.0,Kelly Oubre Jr.
Josh Hart,SG,26.0,Josh Hart
Lauri Markkanen,SF,24.0,Lauri Markkanen
Will Barton,SG,31.0,Will Barton
Jaylen Hoard,SF,22.0,Jaylen Hoard
Chris Paul,PG,36.0,Chris Paul
Bobby Portis,C,26.0,Bobby Portis
Mikal Bridges,SF,25.0,Mikal Bridges
Tim Hardaway Jr.,SG,29.0,Tim Hardaway Jr
Evan Fournier,SG,29.0,Evan Fournier
Malik Monk,SG,23.0,Malik Monk
Spencer Dinwiddie,PG,28.0,Spencer Dinwiddie
Mike Conley,PG,34.0,Mike Conley
Kevin Love,C,33.0,Kevin Love
Dennis Schröder,PG,28.0,Dennis Schroder
Jakob Poeltl,C,26.0,Jakob Poeltl
Eric Gordon,SG,33.0,Eric Gordon
De'Andre Hunter,SF,24.0,De'Andre Hunter
Kyle Lowry,PG,35.0,Kyle Lowry
Carmelo Anthony,PF,37.0,Carmelo Anthony
Derrick White,SG,27.0,Derrick White
Kentavious Caldwell-Pope,SG,28.0,Kentavious Caldwell-Pope
Montrezl Harrell,C,28.0,Montrezl Harrell
Chris Duarte,SG,24.0,Chris Duarte
Ricky Rubio,PG,31.0,Ricky Rubio
Lonzo Ball,PG,24.0,Lonzo Ball
LaMarcus Aldridge,C,36.0,LaMarcus Aldridge
Myles Turner,C,25.0,Myles Turner
Brandon Williams,PG,22.0,Brandon Williams
Coby White,PG,21.0,Coby White
Monte Morris,PG,26.0,Monte Morris
Josh Giddey,SF,19.0,Josh Giddey
Cameron Johnson,PF,25.0,Cameron Johnson
Brook Lopez,C,33.0,Brook Lopez
Victor Oladipo,SG,29.0,Victor Oladipo
Devin Vassell,SF,21.0,Devin Vassell
Malik Beasley,SG,25.0,Malik Beasley
Kevin Huerter,SF,23.0,Kevin Huerter
Marcus Smart,PG,27.0,Marcus Smart
Lonnie Walker IV,SG,23.0,Lonnie Walker IV
Derrick Rose,PG,33.0,Derrick Rose
Devonte' Graham,PG,26.0,Devonte' Graham
Luke Kennard,SG,25.0,Luke Kennard
Jalen Suggs,PG,20.0,Jalen Suggs
Jae'Sean Tate,PF,26.0,Jae'Sean Tate
Alec Burks,SG,30.0,Alec Burks
Danilo Gallinari,PF,33.0,Danilo Gallinari
Kemba Walker,PG,31.0,Kemba Walker
Davion Mitchell,PG,23.0,Davion Mitchell
Cameron Oliver,SF,25.0,Cameron Oliver
Patty Mills,SG,33.0,Patty Mills
Marvin Bagley III,PF,22.0,Marvin Bagley III
Rui Hachimura,PF,23.0,Rui Hachimura
Joe Harris,SF,30.0,Joe Harris
Doug McDermott,PF,30.0,Doug McDermott
Immanuel Quickley,PG,22.0,Immanuel Quickley
Grayson Allen,SG,26.0,Grayson Allen
Clint Capela,C,27.0,Clint Capela
Gary Harris,SG,27.0,Gary Harris
Hamidou Diallo,SG,23.0,Hamidou Diallo
Dorian Finney-Smith,PF,28.0,Dorian Finney-Smith
Zavier Simpson,PG,24.0,Zavier Simpson
Duncan Robinson,SG,27.0,Duncan Robinson
Darius Bazley,PF,21.0,Darius Bazley
Markelle Fultz,PG,23.0,Markelle Fultz
Terance Mann,SF,25.0,Terance Mann
De'Anthony Melton,SG,23.0,De'Anthony Melton
Cameron Payne,PG,27.0,Cameron Payne
Melvin Frazier,SG,25.0,Melvin Frazier Jr.
Cedi Osman,SF,26.0,Cedi Osman
Nickeil Alexander-Walker,SG,23.0,Nickeil Alexander-Walker
Mo Bamba,C,23.0,Mo Bamba
Frank Jackson,PG,23.0,Frank Jackson
Frank Kaminsky,C,28.0,Frank Kaminsky
Max Strus,SF,25.0,Max Strus
Trey Lyles,PF,26.0,Trey Lyles
Brandon Clarke,PF,25.0,Brandon Clarke
Terence Davis,SG,24.0,Terence Davis
Richaun Holmes,C,28.0,Richaun Holmes
Tre Mann,PG,20.0,Tre Mann
Jeff Green,PF,35.0,Jeff Green
P.J. Washington,C,23.0,P.J. Washington
Ivica Zubac,C,24.0,Ivica Zubac
Josh Richardson,SG,28.0,Josh Richardson
Al Horford,C,35.0,Al Horford
Ben McLemore,SG,28.0,Ben McLemore
Cam Reddish,SF,22.0,Cam Reddish
Justin Holiday,SF,32.0,Justin Holiday
Bones Hyland,SG,21.0,Bones Hyland
Isaiah Roby,PF,23.0,Isaiah Roby
Devin Cannady,PG,25.0,Devin Cannady
Talen Horton-Tucker,SG,21.0,Talen Horton-Tucker
Garrison Mathews,SG,25.0,Garrison Mathews
Terrence Ross,SG,30.0,Terrence Ross
Robert Williams,C,24.0,Robert Williams
Eric Bledsoe,PG,32.0,Eric Bledsoe
Pat Connaughton,SF,29.0,Pat Connaughton
Michael Porter Jr.,SF,23.0,Michael Porter Jr
Duane Washington Jr.,PG,21.0,Duane Washington Jr.
Nassir Little,SF,21.0,Nassir Little
Alperen Şengün,C,19.0,Alperen Sengun
Terry Taylor,PF,22.0,Terry Taylor
Herbert Jones,PF,23.0,Herbert Jones
Chris Boucher,SF,29.0,Chris Boucher
Jae Crowder,PF,31.0,Jae Crowder
Daniel Gafford,C,23.0,Daniel Gafford
Jaxson Hayes,C,21.0,Jaxson Hayes
Jonathan Kuminga,SF,19.0,Jonathan Kuminga
Jalen Smith,PF,21.0,Jalen Smith
Reggie Perry,PF,21.0,Reggie Perry
Patrick Beverley,PG,33.0,Patrick Beverley
Caleb Martin,SF,26.0,Caleb Martin
Jaden McDaniels,PF,21.0,Jaden McDaniels
JaVale McGee,C,34.0,JaVale McGee
Georges Niang,PF,28.0,Georges Niang
Precious Achiuwa,C,22.0,Precious Achiuwa
Oshae Brissett,SF,23.0,Oshae Brissett
Willy Hernangómez,C,27.0,Willy Hernangomez
Kelly Olynyk,C,30.0,Kelly Olynyk
Donte DiVincenzo,SG,25.0,Donte DiVincenzo
DeMarcus Cousins,C,31.0,DeMarcus Cousins
Bruce Brown,SF,25.0,Bruce Brown
Amir Coffey,SG,24.0,Amir Coffey
Obi Toppin,PF,23.0,Obi Toppin
Moritz Wagner,C,24.0,Moritz Wagner
Patrick Williams,PF,20.0,Patrick Williams
Chimezie Metu,C,24.0,Chimezie Metu
Bryn Forbes,SG,28.0,Bryn Forbes
Ayo Dosunmu,SG,22.0,Ayo Dosunmu
KJ Martin,SF,21.0,KJ Martin
Isaac Okoro,SF,21.0,Isaac Okoro
Nic Claxton,C,22.0,Nicolas Claxton
Tyus Jones,PG,25.0,Tyus Jones
Dwight Powell,C,30.0,Dwight Powell
Gabe Vincent,PG,25.0,Gabe Vincent
Reggie Bullock,SF,30.0,Reggie Bullock Jr.
Chuma Okeke,PF,23.0,Chuma Okeke
Robert Covington,PF,31.0,Robert Covington
T.J. McConnell,PG,29.0,T.J. McConnell
Jaylen Nowell,SG,22.0,Jaylen Nowell
Mitchell Robinson,C,23.0,Mitchell Robinson
Cam Thomas,SG,20.0,Cam Thomas
Isaiah Thomas,PG,32.0,Isaiah Thomas
Deni Avdija,SF,21.0,Deni Avdija
Lance Stephenson,SG,31.0,Lance Stephenson
Nicolas Batum,PF,33.0,Nicolas Batum
Isaiah Hartenstein,C,23.0,Isaiah Hartenstein
Isaiah Jackson,C,20.0,Isaiah Jackson
Naz Reid,C,22.0,Naz Reid
Landry Shamet,SG,24.0,Landry Shamet
Isaiah Stewart,C,20.0,Isaiah Stewart II
Aaron Wiggins,SG,23.0,Aaron Wiggins
Daniel Theis,C,29.0,Daniel Theis
Corey Kispert,SF,22.0,Corey Kispert
Shake Milton,SG,25.0,Shake Milton
Onyeka Okongwu,C,21.0,Onyeka Okongwu
Otto Porter Jr.,PF,28.0,Otto Porter Jr.
Hassan Whiteside,C,32.0,Hassan Whiteside
Rudy Gay,PF,35.0,Rudy Gay
Damian Jones,C,26.0,Damian Jones
Ziaire Williams,SF,20.0,Ziaire Williams
Cory Joseph,PG,30.0,Cory Joseph
Mike Muscala,C,30.0,Mike Muscala
Malik Newman,PG,24.0,Malik Newman
Lindy Waters III,SG,24.0,Lindy Waters III
