name,pos,age
Joel Embiid,C,29
Luka Dončić,PG,24
Giannis Antetokounmpo,PF,29
Shai Gilgeous-Alexander,PG,25
Jalen Brunson,PG,27
Devin Booker,PG,27
Kevin Durant,PF,35
Jayson Tatum,PF,25
De'Aaron Fox,PG,26
Donovan Mitchell,SG,27
Stephen Curry,PG,35
Nikola Jokić,C,28
Anthony Edwards,SG,22
Tyrese Maxey,PG,23
LeBron James,PF,39
Trae Young,PG,25
Kyrie Irving,SG,31
Ja Morant,PG,24
Anthony Davis,C,30
Damian Lillard,PG,33
DeMar DeRozan,SF,34
Julius Randle,PF,29
LaMelo Ball,PG,22
Desmond Bane,SG,25
Kawhi Leonard,SF,32
Lauri Markkanen,PF,26
Jaylen Brown,SF,27
Zion Williamson,PF,23
Cade Cunningham,PG,22
Paolo Banchero,PF,21
Paul George,PF,33
Anfernee Simons,SG,24
Jaren Jackson Jr.,C,24
Dejounte Murray,SG,27
Cam Thomas,SG,22
Kyle Kuzma,PF,28
Karl-Anthony Towns,PF,28
Pascal Siakam,PF,29
Victor Wembanyama,C,20
Jamal Murray,PG,26
Alperen Şengün,C,21
Miles Bridges,SF,25
Jerami Grant,PF,29
Jimmy Butler,PF,34
Tyler Herro,SG,24
Brandon Ingram,SF,26
RJ Barrett,SG,23
Tyrese Haliburton,PG,23
Kristaps Porziņģis,C,28
CJ McCollum,PG,32
Scottie Barnes,SG,22
Terry Rozier,SG,29
Franz Wagner,SF,22
Mikal Bridges,SF,27
Jalen Green,SG,21
Zach LaVine,SG,28
Devin Vassell,SG,23
Domantas Sabonis,C,27
Bam Adebayo,C,26
Coby White,PG,23
Jalen Williams,PF,22
Collin Sexton,SG,25
Bradley Beal,SG,30
Darius Garland,PG,24
D'Angelo Russell,PG,27
Nikola Vučević,C,33
Klay Thompson,SF,33
Jordan Poole,SG,24
Fred VanVleet,PG,29
Brandon Miller,SF,21
Tobias Harris,PF,31
Jordan Clarkson,SG,31
Myles Turner,C,27
Immanuel Quickley,SG,24
Bogdan Bogdanović,SG,31
Deandre Ayton,C,25
Michael Porter Jr.,SF,25
James Harden,PG,34
Jarrett Allen,C,25
Chet Holmgren,C,21
Jonathan Kuminga,PF,21
Jalen Johnson,SF,22
Austin Reaves,SG,25
Shaedon Sharpe,SG,20
Malcolm Brogdon,PG,31
Keldon Johnson,SF,24
Evan Mobley,PF,22
De'Andre Hunter,SF,26
Donte DiVincenzo,SG,27
Jaden Ivey,SG,21
Malik Monk,SG,25
Kelly Oubre Jr.,SF,28
Bojan Bogdanović,PF,34
Keegan Murray,SF,23
Derrick White,SG,29
John Collins,PF,26
Khris Middleton,SF,32
Trey Murphy III,SF,23
OG Anunoby,SF,26
Deni Avdija,SF,23
GG Jackson II,PF,19
Bennedict Mathurin,SF,21
Marcus Smart,PG,29
Tim Hardaway Jr.,SF,31
