name,pos,age
Lindsay Allen,G,N/A
Rebecca Allen,F-G,N/A
Laeticia Amihere,F,N/A
Ariel Atkins,G,N/A
Amy Atwell,F,N/A
Shakira Austin,C,N/A
Kierstan Bell,F,N/A
Grace Berger,G,N/A
Caitlin Bickle,F,N/A
DeWanna Bonner,F-G,N/A
Aliyah Boston,C-F,N/A
Cameron Brink,F,N/A
Jaelyn Brown,G-F,N/A
Jakia Brown-Turner,G,N/A
Kalani Brown,C,N/A
Lexie Brown,G,N/A
Kennedy Burke,G-F,N/A
Rae Burrell,G-F,N/A
Veronica Burton,G,N/A
Maya Caldwell,G,N/A
Jordin Canada,G,N/A
Emma Cannon,F,N/A
Kamilla Cardoso,C,N/A
Bridget Carleton,F,N/A
DiJonai Carrington,G-F,N/A
Chennedy Carter,G,N/A
Jessika Carter,C,N/A
Tina Charles,C,N/A
Layshia Clarendon,G,N/A
Alysha Clark,F,N/A
Caitlin Clark,G,N/A
Natasha Cloud,G,N/A
Nia Coffey,F,N/A
Napheesa Collier,F,N/A
Sydney Colson,G,N/A
Zia Cooke,G,N/A
Kahleah Copper,G-F,N/A
Lorela Cubaj,F-C,N/A
Sophie Cunningham,G,N/A
Damiris Dantas,C-F,N/A
Kaela Davis,F,N/A
Marquesha Davis,G,N/A
Diamond DeShields,G,N/A
Skylar Diggins,G,N/A
Liz Dixon,F,N/A
Ivana Dojkić,G,N/A
Stefanie Dolson,C,N/A
Aaliyah Edwards,F,N/A
Emily Engstler,F,N/A
Olivia Époupa,G,N/A
Dana Evans,G,N/A
Temi Fagbenle,C,N/A
Dyaisha Fair,G,N/A
Dulcy Fankam Mendjiadeu,F-C,N/A
Leonie Fiebich,F,N/A
Kysre Gondrezick,G,N/A
Allisha Gray,G,N/A
Chelsea Gray,G,N/A
Brittney Griner,C,N/A
Megan Gustafson,C,N/A
Dearica Hamby,F,N/A
Isabelle Harrison,F,N/A
Mikiah Herbert Harrigan,F,N/A
Tyasha Harris,G,N/A
Tiffany Hayes,G,N/A
Destanni Henderson,G,N/A
Natisha Hiedeman,G,N/A
Naz Hillmon,F,N/A
Joyner Holmes,F,N/A
Jordan Horston,F,N/A
Natasha Howard,F,N/A
Rhyne Howard,G,N/A
Lexie Hull,G,N/A
Sabrina Ionescu,G,N/A
Rickea Jackson,F,N/A
Brionna Jones,F,N/A
Haley Jones,F-G,N/A
Jonquel Jones,C,N/A
Dorka Juhász,F,N/A
Ezinne Kalu,G,N/A
Betnijah Laney-Hamilton,G-F,N/A
Lou Lopez Sénéchal,G,N/A
Jewell Loyd,G,N/A
Natasha Mack,F-C,N/A
Ezi Magbegor,F-C,N/A
Kate Martin,G,N/A
Kayla McBride,G,N/A
Teaira McCowan,C,N/A
Aari McDonald,G,N/A
Jade Melbourne,G,N/A
Diamond Miller,F,N/A
Kelsey Mitchell,G,N/A
Tiffany Mitchell,G,N/A
Nika Mühl,G,N/A
Astou Ndour-Fall,C-F,N/A
Olivia Nelson-Ododa,C,N/A
Kia Nurse,G,N/A
Arike Ogunbowale,G,N/A
Nneka Ogwumike,F,N/A
Michaela Onyenwere,F,N/A
Charisma Osborne,G,N/A
Cheyenne Parker-Tyus,F,N/A
Alissa Pili,F,N/A
Kelsey Plum,G,N/A
Aerial Powers,G,N/A
Angel Reese,F,N/A
DiDi Richards,G-F,N/A
Mercedes Russell,C,N/A
Nyara Sabally,F,N/A
Satou Sabally,F,N/A
Karlie Samuelson,G,N/A
Katie Lou Samuelson,G,N/A
Victaria Saxton,F,N/A
Jacy Sheldon,G,N/A
Jaylyn Sherrod,G,N/A
Maddy Siegrist,F,N/A
Alanna Smith,F,N/A
NaLyssa Smith,F,N/A
Stephanie Soares,C,N/A
Taylor Soule,F,N/A
Azura Stevens,F-C,N/A
Breanna Stewart,F,N/A
Kiah Stokes,C,N/A
Brittney Sykes,G,N/A
Stephanie Talbot,F,N/A
Diana Taurasi,G,N/A
Alyssa Thomas,F,N/A
Kayla Thornton,F,N/A
Brianna Turner,F-C,N/A
Sevgi Uzun,G,N/A
Courtney Vandersloot,G,N/A
Julie Vanloo,G,N/A
Victoria Vivians,G-F,N/A
Shatori Walker-Kimbrough,G,N/A
Kristy Wallace,G,N/A
Erica Wheeler,G,N/A
Sami Whitcomb,G,N/A
Courtney Williams,G,N/A
Elizabeth Williams,C-F,N/A
Gabby Williams,F,N/A
Kiana Williams,G,N/A
A'ja Wilson,C,N/A
Jackie Young,G,N/A
Li Yueru,C,N/A
Cecilia Zandalasini,F,N/A
Rachel Banham,G,N/A
Morgan Bertsch,F,N/A
Monique Billings,F,N/A
Crystal Dangerfield,G,N/A
Queen Egbo,F-C,N/A
Myisha Hines-Allen,F,N/A
Moriah Jefferson,G,N/A
Sika Koné,F,N/A
Marina Mabrey,G,N/A
Odyssey Sims,G,N/A
Sug Sutton,G,N/A
Celeste Taylor,G,N/A
