Game,Tipoff,Season,Score,Over_Under,Home_Line
NYK @ BOS,Oct 22 7:30 PM,2024,109-132,221.5,-6.0
MIN @ LAL,Oct 22 10:00 PM,2024,103-110,224.0,1.0
IND @ DET,Oct 23 7:00 PM,2024,115-109,235.0,5.5
BKN @ ATL,Oct 23 7:30 PM,2024,116-120,223.5,-7.0
ORL @ MIA,Oct 23 7:30 PM,2024,116-97,208.0,-2.0
MIL @ PHI,Oct 23 7:30 PM,2024,124-109,222.5,4.0
CLE @ TOR,Oct 23 7:30 PM,2024,136-106,225.0,6.5
CHA @ HOU,Oct 23 8:00 PM,2024,110-105,230.0,-8.0
CHI @ NOP,Oct 23 8:00 PM,2024,111-123,225.0,-5.0
MEM @ UTA,Oct 23 9:00 PM,2024,126-124,229.5,2.5
PHX @ LAC,Oct 23 10:00 PM,2024,116-113,224.5,5.0
GSW @ POR,Oct 23 10:00 PM,2024,139-104,222.0,7.5
BOS @ WAS,Oct 24 7:00 PM,2024,122-102,231.0,14.0
SAS @ DAL,Oct 24 7:30 PM,2024,109-120,227.0,-8.5
OKC @ DEN,Oct 24 10:00 PM,2024,102-87,228.5,-2.0
MIN @ SAC,Oct 24 10:00 PM,2024,117-115,222.0,0.0
BKN @ ORL,Oct 25 7:00 PM,2024,101-116,214.0,-11.5
PHI @ TOR,Oct 25 7:00 PM,2024,107-115,220.0,5.0
CHA @ ATL,Oct 25 7:30 PM,2024,120-125,226.5,-5.5
DET @ CLE,Oct 25 7:30 PM,2024,101-113,224.5,-11.0
IND @ NYK,Oct 25 7:30 PM,2024,98-123,229.0,-4.5
MEM @ HOU,Oct 25 8:00 PM,2024,108-128,226.0,-3.5
CHI @ MIL,Oct 25 8:00 PM,2024,133-122,234.0,-9.5
GSW @ UTA,Oct 25 9:30 PM,2024,127-86,234.5,6.5
PHX @ LAL,Oct 25 10:00 PM,2024,116-123,227.5,-1.5
NOP @ POR,Oct 25 10:00 PM,2024,105-103,219.5,6.5
LAC @ DEN,Oct 26 5:00 PM,2024,109-104,218.0,-7.5
MIA @ CHA,Oct 26 7:00 PM,2024,114-106,222.5,6.0
BOS @ DET,Oct 26 7:00 PM,2024,124-118,225.0,12.5
CLE @ WAS,Oct 26 7:00 PM,2024,135-116,227.0,9.5
