NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Maxime Raynaud,Dylan Harper,12.0,12.5,under,over,4.56,18.22,0.886,0.854,0.56,0.48,0.756,0.269,0.488,7.44,5.72,-137,102,249,3.49,1.6402,164.02,0.1647
Pascal Siakam,De'Aaron Fox,24.5,24.5,over,over,27.85,29.49,0.702,0.78,0.5,0.47,0.547,0.235,0.312,3.35,4.99,-104,108,308,4.08,1.2317,123.17,0.1
Russell Westbrook,Stephon Castle,13.5,14.5,over,over,15.41,16.72,0.649,0.675,0.48,0.44,0.438,0.211,0.227,1.91,2.22,105,120,351,4.51,0.9772,97.72,0.0696
Collin Gillespie,Devin Vassell,17.0,15.5,under,over,9.73,20.21,0.759,0.763,0.56,0.52,0.579,0.291,0.288,7.27,4.71,-137,-115,223,3.23,0.8701,87.01,0.0975
Malik Monk,Harrison Barnes,13.5,12.5,over,over,15.45,14.86,0.645,0.665,0.48,0.49,0.429,0.235,0.194,1.95,2.36,102,100,304,4.04,0.7336,73.36,0.0603
Ryan Dunn,Keldon Johnson,6.5,12.5,over,over,7.81,14.56,0.663,0.675,0.51,0.5,0.447,0.255,0.192,1.31,2.06,-110,-105,273,3.73,0.6677,66.77,0.0611
Julius Randle,Saddiq Bey,22.5,16.5,under,under,19.24,12.29,0.613,0.675,0.51,0.5,0.413,0.255,0.158,3.26,4.21,-109,-107,271,3.71,0.5336,53.36,0.0492
Grayson Allen,Jordan Hawkins,18.5,6.5,under,over,15.62,8.14,0.578,0.66,0.5,0.51,0.382,0.255,0.127,2.88,1.64,-104,-108,278,3.78,0.4443,44.43,0.04
Rudy Gobert,Derik Queen,10.5,13.5,under,under,8.14,10.32,0.574,0.623,0.5,0.51,0.358,0.255,0.103,2.36,3.18,-103,-110,276,3.76,0.3463,34.63,0.0314
Andrew Nembhard,Jeremy Sochan,16.5,6.5,over,over,16.78,7.34,0.554,0.602,0.5,0.51,0.333,0.255,0.078,0.28,0.84,-103,-110,276,3.76,0.2539,25.39,0.023
Zach LaVine,Trey Murphy III,21.5,21.5,under,under,18.57,19.31,0.58,0.538,0.53,0.5,0.312,0.265,0.047,2.93,2.19,-120,-105,258,3.58,0.1165,11.65,0.0113
Bennedict Mathurin,Anthony Edwards,21.5,29.0,under,under,19.51,25.65,0.527,0.591,0.49,0.56,0.312,0.274,0.037,1.99,3.35,-102,-137,243,3.43,0.0693,6.93,0.0071
DeMar DeRozan,Mark Williams,18.5,12.0,under,over,17.1,12.51,0.493,0.578,0.48,0.56,0.285,0.269,0.016,1.4,0.51,105,-137,255,3.55,0.0116,1.16,0.0011
Oso Ighodaro,Jeremiah Fears,4.5,16.5,under,under,3.01,15.5,0.499,0.467,0.49,0.5,0.233,0.245,-0.012,1.49,1.0,100,-107,287,3.87,-0.0973,-9.73,0.0
Donte DiVincenzo,Jose Alvarado,14.5,8.5,under,under,12.8,7.68,0.512,0.439,0.53,0.5,0.225,0.265,-0.04,1.7,0.82,-120,-105,258,3.58,-0.1942,-19.42,0.0
Jaden McDaniels,Luke Kornet,15.5,8.0,under,under,14.2,6.72,0.485,0.482,0.5,0.56,0.234,0.28,-0.046,1.3,1.28,-107,-137,235,3.35,-0.2171,-21.71,0.0
