NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Dylan Harper,12.5,over,18.22,0.854,0.48,5.72,0.374,102,2.02,0.7244,72.44,0.1775,SAS,NOP
De'Aaron Fox,24.5,over,29.49,0.78,0.47,4.99,0.31,108,2.08,0.6216,62.16,0.1439,SAS,NOP
Maxime Raynaud,12.0,under,4.56,0.886,0.56,7.44,0.326,-137,1.73,0.533,53.3,0.1826,SAC,IND
Stephon Castle,14.5,over,16.72,0.675,0.44,2.22,0.235,120,2.2,0.4859,48.59,0.1012,SAS,NOP
Devin Vassell,15.5,over,20.21,0.763,0.52,4.71,0.243,-115,1.87,0.427,42.7,0.1228,SAS,NOP
Pascal Siakam,24.5,over,27.85,0.702,0.5,3.35,0.202,-104,1.962,0.3762,37.62,0.0978,IND,SAC
Russell Westbrook,13.5,over,15.41,0.649,0.48,1.91,0.169,105,2.05,0.3306,33.06,0.0787,SAC,IND
Harrison Barnes,12.5,over,14.86,0.665,0.49,2.36,0.175,100,2.0,0.3302,33.02,0.0825,SAS,NOP
Keldon Johnson,12.5,over,14.56,0.675,0.5,2.06,0.175,-105,1.952,0.3174,31.74,0.0833,SAS,NOP
Collin Gillespie,17.0,under,9.73,0.759,0.56,7.27,0.199,-137,1.73,0.3122,31.22,0.1069,PHX,MIN
Saddiq Bey,16.5,under,12.29,0.675,0.5,4.21,0.175,-107,1.935,0.3052,30.52,0.0816,NOP,SAS
Malik Monk,13.5,over,15.45,0.645,0.48,1.95,0.165,102,2.02,0.3033,30.33,0.0743,SAC,IND
Jordan Hawkins,6.5,over,8.14,0.66,0.51,1.64,0.15,-108,1.926,0.272,27.2,0.0734,NOP,SAS
Ryan Dunn,6.5,over,7.81,0.663,0.51,1.31,0.153,-110,1.909,0.265,26.5,0.0729,PHX,MIN
Derik Queen,13.5,under,10.32,0.623,0.51,3.18,0.113,-110,1.909,0.1903,19.03,0.0523,NOP,SAS
Julius Randle,22.5,under,19.24,0.613,0.51,3.26,0.103,-109,1.917,0.1748,17.48,0.0476,MIN,PHX
Jeremy Sochan,6.5,over,7.34,0.602,0.51,0.84,0.092,-110,1.909,0.1497,14.97,0.0412,SAS,NOP
Grayson Allen,18.5,under,15.62,0.578,0.5,2.88,0.078,-104,1.962,0.1347,13.47,0.035,PHX,MIN
Rudy Gobert,10.5,under,8.14,0.574,0.5,2.36,0.074,-103,1.971,0.1318,13.18,0.0339,MIN,PHX
Andrew Nembhard,16.5,over,16.78,0.554,0.5,0.28,0.054,-103,1.971,0.0914,9.14,0.0235,IND,SAC
Zach LaVine,21.5,under,18.57,0.58,0.53,2.93,0.05,-120,1.833,0.0636,6.36,0.0191,SAC,IND
Trey Murphy III,21.5,under,19.31,0.538,0.5,2.19,0.038,-105,1.952,0.0495,4.95,0.013,NOP,SAS
Bennedict Mathurin,21.5,under,19.51,0.527,0.49,1.99,0.037,-102,1.98,0.0439,4.39,0.0112,IND,SAC
Anthony Edwards,29.0,under,25.65,0.591,0.56,3.35,0.031,-137,1.73,0.0231,2.31,0.0079,MIN,PHX
DeMar DeRozan,18.5,under,17.1,0.493,0.48,1.4,0.013,105,2.05,0.0114,1.14,0.0027,SAC,IND
Mark Williams,12.0,over,12.51,0.578,0.56,0.51,0.018,-137,1.73,-0.0008,-0.08,0.0,PHX,MIN
Oso Ighodaro,4.5,under,3.01,0.499,0.49,1.49,0.009,100,2.0,-0.0015,-0.15,0.0,PHX,MIN
Donte DiVincenzo,14.5,under,12.8,0.512,0.53,1.7,-0.018,-120,1.833,-0.0609,-6.09,0.0,MIN,PHX
Jaden McDaniels,15.5,under,14.2,0.485,0.5,1.3,-0.015,-107,1.935,-0.0625,-6.25,0.0,MIN,PHX
Jeremiah Fears,16.5,under,15.5,0.467,0.5,1.0,-0.033,-107,1.935,-0.0962,-9.62,0.0,NOP,SAS
Jose Alvarado,8.5,under,7.68,0.439,0.5,0.82,-0.061,-105,1.952,-0.1421,-14.21,0.0,NOP,SAS
Luke Kornet,8.0,under,6.72,0.482,0.56,1.28,-0.078,-137,1.73,-0.1658,-16.58,0.0,SAS,NOP
Naz Reid,15.5,under,14.95,0.441,0.52,0.55,-0.079,-115,1.87,-0.1756,-17.56,0.0,MIN,PHX
Dillon Brooks,22.5,under,22.15,0.429,0.51,0.35,-0.081,-111,1.901,-0.1837,-18.37,0.0,PHX,MIN
Royce O'Neale,9.5,under,9.35,0.396,0.5,0.15,-0.104,-104,1.962,-0.2225,-22.25,0.0,PHX,MIN
