NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Keldon Johnson,8.5,over,14.71,0.953,0.49,6.21,0.463,-102,1.98,0.8874,88.74,0.2263,SAS,OKC
Shai Gilgeous-Alexander,31.5,under,17.07,0.939,0.5,14.43,0.439,-103,1.971,0.8508,85.08,0.2191,OKC,SAS
Alex Caruso,4.5,over,8.62,0.932,0.53,4.12,0.402,-120,1.833,0.7096,70.96,0.2129,OKC,SAS
Jalen Brunson,29.5,under,17.65,0.892,0.51,11.85,0.382,-110,1.909,0.7035,70.35,0.1935,NYK,ORL
Anthony Black,14.5,under,9.73,0.792,0.47,4.77,0.322,108,2.08,0.6482,64.82,0.15,ORL,NYK
Mitchell Robinson,3.5,over,5.36,0.8,0.5,1.86,0.3,-105,1.952,0.5627,56.27,0.1477,NYK,ORL
Luke Kornet,4.5,over,5.79,0.724,0.5,1.29,0.224,-105,1.952,0.4131,41.31,0.1084,SAS,OKC
Jordan Clarkson,10.5,under,6.75,0.685,0.49,3.75,0.195,100,2.0,0.3709,37.09,0.0927,NYK,ORL
OG Anunoby,14.5,over,16.72,0.696,0.53,2.22,0.166,-120,1.833,0.2752,27.52,0.0826,NYK,ORL
Jalen Williams,19.5,under,16.43,0.612,0.52,3.07,0.092,-115,1.87,0.1438,14.38,0.0413,OKC,SAS
Karl-Anthony Towns,21.5,under,18.53,0.595,0.51,2.97,0.085,-111,1.901,0.131,13.1,0.0364,NYK,ORL
De'Aaron Fox,19.5,under,17.67,0.521,0.5,1.83,0.021,-105,1.952,0.0173,1.73,0.0045,SAS,OKC
Harrison Barnes,10.5,under,8.94,0.505,0.51,1.56,-0.005,-110,1.909,-0.036,-3.6,0.0,SAS,OKC
Tristan da Silva,9.5,under,8.22,0.481,0.52,1.28,-0.039,-115,1.87,-0.1003,-10.03,0.0,ORL,NYK
Mikal Bridges,14.5,under,14.21,0.405,0.49,0.29,-0.085,100,2.0,-0.1906,-19.06,0.0,NYK,ORL
Victor Wembanyama,17.5,under,17.03,0.394,0.51,0.47,-0.116,-110,1.909,-0.2471,-24.71,0.0,SAS,OKC
