NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Pascal Siakam,Harrison Barnes,24.5,12.5,over,over,27.85,14.86,0.702,0.665,0.5,0.49,0.467,0.245,0.222,3.35,2.36,-104,100,292,3.92,0.8292,82.92,0.071
Malik Monk,Saddiq Bey,13.5,16.5,over,under,15.45,12.29,0.645,0.675,0.48,0.5,0.435,0.24,0.195,1.95,4.21,102,-107,291,3.91,0.7019,70.19,0.0603
Russell Westbrook,Jordan Hawkins,12.5,6.5,over,over,15.41,8.14,0.713,0.66,0.54,0.51,0.471,0.275,0.195,2.91,1.64,-125,-108,247,3.47,0.6335,63.35,0.0641
Ryan Dunn,Derik Queen,6.5,13.5,over,under,7.81,10.32,0.663,0.623,0.51,0.51,0.413,0.26,0.153,1.31,3.18,-110,-110,264,3.64,0.5038,50.38,0.0477
Julius Randle,Jeremy Sochan,22.5,6.5,under,over,19.24,7.34,0.613,0.602,0.51,0.51,0.369,0.26,0.109,3.26,0.84,-109,-110,266,3.66,0.3505,35.05,0.0329
Andrew Nembhard,Grayson Allen,16.5,18.5,over,under,16.78,15.62,0.554,0.578,0.5,0.5,0.32,0.25,0.07,0.28,2.88,-103,-104,287,3.87,0.2397,23.97,0.0209
Precious Achiuwa,Anthony Edwards,6.5,28.5,over,under,6.64,25.65,0.551,0.568,0.5,0.5,0.313,0.25,0.063,0.14,2.85,-105,-105,281,3.81,0.1909,19.09,0.017
Zach LaVine,Trey Murphy III,21.5,21.5,under,under,18.57,19.31,0.58,0.538,0.53,0.5,0.312,0.265,0.047,2.93,2.19,-120,-105,258,3.58,0.1165,11.65,0.0113
Bennedict Mathurin,Oso Ighodaro,21.5,4.5,under,under,19.51,3.01,0.527,0.499,0.49,0.49,0.263,0.24,0.023,1.99,1.49,-102,100,296,3.96,0.0422,4.22,0.0036
Jaden McDaniels,Jeremiah Fears,15.5,16.5,under,under,14.2,15.5,0.485,0.467,0.5,0.5,0.226,0.25,-0.024,1.3,1.0,-107,-107,274,3.74,-0.1533,-15.33,0.0
Donte DiVincenzo,Jose Alvarado,13.5,8.5,under,under,12.8,7.68,0.45,0.439,0.49,0.5,0.198,0.245,-0.047,0.7,0.82,100,-105,290,3.9,-0.2296,-22.96,0.0
