name,pos,age
Luka Dončić,PG,26.0
Shai Gilgeous-Alexander,PG,27.0
Anthony Edwards,SG,24.0
Tyrese Maxey,PG,25.0
Jaylen Brown,SF,29.0
Kawhi Leonard,SF,34.0
Nikola Jokić,C,30.0
Donovan Mitchell,SG,29.0
Giannis Antetokounmpo,PF,31.0
Stephen Curry,PG,37.0
Joel Embiid,C,31.0
Lauri Markkanen,PF,28.0
Jalen Brunson,PG,29.0
Kevin Durant,SF,37.0
Devin Booker,SG,29.0
Jamal Murray,PG,28.0
Cade Cunningham,PG,24.0
Michael Porter Jr.,SF,27.0
Victor Wembanyama,C,22.0
James Harden,PG,36.0
Deni Avdija,SF,25.0
Pascal Siakam,PF,31.0
Keyonte George,PG,22.0
Austin Reaves,SG,27.0
Jalen Johnson,SF,24.0
Paolo Banchero,PF,23.0
Norman Powell,SG,32.0
Trey Murphy III,SF,25.0
Brandon Ingram,SF,28.0
Shaedon Sharpe,SG,22.0
Zion Williamson,PF,25.0
Franz Wagner,SF,24.0
Dillon Brooks,SF,30.0
Tyler Herro,SG,26.0
LeBron James,SF,41.0
Julius Randle,PF,31.0
Nickeil Alexander-Walker,SG,27.0
Brandon Miller,SF,23.0
Desmond Bane,SG,27.0
Anthony Davis,PF,32.0
Cooper Flagg,SF,19.0
Alperen Sengun,C,23.0
Bam Adebayo,C,28.0
Karl-Anthony Towns,C,30.0
Jimmy Butler,SF,36.0
Jayson Tatum,PF,27.0
LaMelo Ball,PG,24.0
Ty Jerome,SG,28.0
Ja Morant,PG,26.0
Jaren Jackson Jr.,C,26.0
Jalen Duren,C,22.0
Darius Garland,PG,26.0
Zach LaVine,SG,30.0
Kon Knueppel,SF,20.0
RJ Barrett,SF,25.0
CJ McCollum,PG,34.0
De'Aaron Fox,PG,28.0
Bennedict Mathurin,SF,23.0
Jerami Grant,PF,31.0
Scottie Barnes,PF,24.0
DeMar DeRozan,PF,36.0
Jalen Green,SG,23.0
Evan Mobley,PF,24.0
Trae Young,PG,27.0
Amen Thompson,PG,23.0
Coby White,SG,25.0
Saddiq Bey,SF,26.0
Josh Giddey,PG,23.0
Kevin Porter Jr.,PG,25.0
Grayson Allen,SG,30.0
Dejounte Murray,PG,29.0
Jalen Williams,SG,24.0
Miles Bridges,PF,27.0
Chet Holmgren,PF,23.0
Kristaps Porziņģis,C,30.0
Derrick White,SG,31.0
Andrew Nembhard,PG,26.0
Ryan Rollins,PG,23.0
Payton Pritchard,PG,28.0
Immanuel Quickley,PG,26.0
OG Anunoby,PF,28.0
Paul George,PF,35.0
Stephon Castle,PG,21.0
Aaron Gordon,PF,30.0
Matas Buzelis,PF,21.0
Alex Sarr,C,20.0
VJ Edgecombe,SG,20.0
Jrue Holiday,PG,35.0
Domantas Sabonis,C,29.0
Nikola Vučević,C,35.0
Andrew Wiggins,SF,30.0
Naji Marshall,SF,28.0
Jabari Smith Jr.,PF,22.0
Jarrett Allen,C,27.0
Anthony Black,PG,22.0
Onyeka Okongwu,C,25.0
Russell Westbrook,SF,37.0
Collin Sexton,SG,27.0
Jaime Jaquez Jr.,SF,24.0
Peyton Watson,SF,23.0
Kyshawn George,SF,22.0
Jaden McDaniels,PF,25.0
Mikal Bridges,SF,29.0
Kennedy Chandler,PG,23.0
Ayo Dosunmu,SG,26.0
