PLAYER_ID,POSITION,HEIGHT,WEIGHT
200765,Guard,6-1,180.0
203210,Forward-Center,6-9,227.0
202694,Forward,6-8,218.0
201935,Guard,6-5,220.0
1629651,Center,6-11,215.0
202689,Guard,6-0,184.0
1628420,Guard,6-2,183.0
1626161,Center,7-0,240.0
203468,Guard,6-3,190.0
1628389,Center-Forward,6-9,255.0
201572,Center,7-1,282.0
202683,Center,6-10,250.0
1629639,Guard,6-5,195.0
203473,Center,6-10,245.0
1630202,Guard,6-1,195.0
203081,Guard,6-2,195.0
1628467,Forward,6-10,240.0
202684,Center-Forward,6-9,254.0
203496,Forward,6-7,209.0
1630210,Guard,5-10,175.0
1626171,Forward,6-10,250.0
202331,Forward,6-8,220.0
1626181,Guard,6-4,215.0
1629684,Forward,6-6,236.0
1629682,Guard,5-10,175.0
203085,Guard,6-4,200.0
1627826,Center,7-0,240.0
1627827,Forward,6-7,220.0
200794,Forward,6-7,257.0
1629740,Forward,6-9,236.0
202695,Forward,6-7,225.0
203095,Guard-Forward,6-6,205.0
202710,Forward,6-7,230.0
1627854,Guard,6-2,205.0
1628369,Forward-Guard,6-8,210.0
1626196,Guard,6-5,200.0
202704,Guard,6-2,208.0
1626192,Guard,6-5,209.0
203114,Forward,6-7,222.0
200782,Forward,6-5,245.0
201145,Forward,6-8,235.0
1630174,Guard-Forward,6-6,215.0
203501,Guard-Forward,6-5,205.0
202681,Guard,6-2,195.0
1628971,Guard-Forward,6-4,202.0
2738,Guard-Forward,6-6,215.0
203953,Forward,6-7,245.0
1629013,Guard,6-4,190.0
1630267,Guard,5-10,195.0
203939,Forward-Center,6-10,240.0
1629134,Guard,6-3,190.0
1629014,Guard,6-3,200.0
1629130,Forward,6-7,215.0
201609,Guard,6-4,190.0
201933,Forward,6-9,250.0
203935,Guard,6-3,220.0
1629029,Forward-Guard,6-6,230.0
2546,Forward,6-7,238.0
201950,Guard,6-4,205.0
203932,Forward,6-8,235.0
1629057,Center-Forward,6-9,249.0
203925,Guard-Forward,6-6,220.0
201976,Guard,6-2,180.0
2772,Forward,6-8,215.0
1629008,Forward,6-10,218.0
201142,Forward,6-11,240.0
203994,Center,7-0,290.0
201586,Forward,6-11,235.0
1629611,Guard-Forward,6-5,215.0
1628973,Guard,6-2,190.0
203999,Center,6-11,284.0
1628978,Guard,6-4,203.0
201587,Guard-Forward,6-8,230.0
203507,Forward,6-11,243.0
1627936,Guard,6-5,186.0
204001,Forward-Center,7-2,240.0
1629661,Forward,6-8,210.0
202711,Forward,6-7,226.0
1629027,Guard,6-1,164.0
1629028,Center,7-0,252.0
203901,Guard,6-3,195.0
1629671,Guard-Forward,6-5,206.0
1628470,Forward,6-5,221.0
202734,Guard,6-3,191.0
1629680,Guard-Forward,6-5,201.0
1629628,Forward-Guard,6-6,214.0
1628960,Guard,6-4,198.0
201577,Center,7-1,281.0
203076,Forward-Center,6-10,253.0
1629060,Forward,6-8,230.0
203078,Guard,6-4,207.0
202722,Forward,6-10,225.0
202685,Center,6-11,265.0
1629659,Guard,6-4,234.0
202397,Guard,6-0,175.0
201980,Guard,6-6,215.0
1628991,Forward-Center,6-10,242.0
202692,Guard,6-5,214.0
202083,Guard,6-5,220.0
1629001,Guard,6-3,200.0
1628415,Guard-Forward,6-6,225.0
1629655,Forward-Center,6-10,265.0
1628398,Forward,6-9,221.0
1629003,Guard,6-5,205.0
1629630,Guard,6-2,174.0
201568,Forward,6-10,236.0
201959,Forward,6-9,232.0
1628969,Guard-Forward,6-6,209.0
201566,Guard,6-4,200.0
1628381,Forward-Center,6-9,226.0
202699,Forward,6-8,226.0
202324,Forward,6-9,265.0
201565,Guard,6-3,200.0
1628373,Guard,6-4,200.0
1628989,Guard-Forward,6-7,198.0
201588,Guard,6-4,188.0
1629631,Forward-Guard,6-8,221.0
2544,Forward,6-9,250.0
201144,Guard,6-0,175.0
203967,Forward-Center,6-10,225.0
203991,Center,6-10,256.0
203992,Guard,6-5,225.0
1630178,Guard,6-2,200.0
101108,Guard,6-0,175.0
