PLAYER_ID,POSITION
2544,F
201142,F
201143,C
201144,G
201566,G
201567,C
201572,C
201587,F
201599,C
201935,G
201939,G
201942,F
201950,G
202331,F
202685,C
202687,C
202691,F
202695,F
202696,C
202699,F
202710,F
203076,C
203078,G
203083,C
203084,F
203110,F
203114,F
203468,G
203471,G
203484,F
203486,C
203497,C
203500,C
203501,G
203507,F
203897,G
203903,G
203914,G
203924,F
203932,F
203935,G
203937,C
203939,C
203944,F
203952,F
203954,C
203991,C
203992,G
203994,C
203999,C
204001,C
204456,G
1626145,G
1626156,G
1626157,C
1626162,F
1626164,G
1626166,G
1626167,C
1626171,F
1626172,C
1626181,G
1626204,F
1626220,F
1627734,C
1627739,G
1627741,G
1627742,F
1627749,G
1627750,G
1627751,C
1627752,F
1627759,F
1627780,F
1627783,F
1627824,C
1627826,C
1627827,C
1627884,F
1628366,G
1628368,G
1628369,F
1628374,F
1628378,G
1628379,G
1628381,F
1628384,F
1628386,C
1628389,C
1628392,C
1628396,C
1628398,F
1628401,G
1628404,F
1628415,F
1628436,C
1628467,C
1628960,G
1628963,C
1628969,G
1628970,F
1628971,G
1628973,G
1628976,C
1628978,G
1628983,G
1628988,G
1628989,G
1628991,F
1628997,F
1629001,G
1629004,F
1629006,G
1629008,F
1629011,C
1629012,G
1629013,G
1629014,G
1629018,F
1629020,F
1629023,F
1629026,F
1629027,G
1629028,C
1629029,G
1629048,C
1629057,C
1629060,F
1629111,C
1629130,G
1629216,G
1629234,C
1629599,F
1629611,G
1629614,G
1629618,G
1629627,F
1629628,G
1629630,G
1629631,F
1629632,G
1629634,C
1629636,G
1629637,C
1629638,G
1629639,G
1629645,G
1629651,C
1629652,F
1629655,C
1629656,G
1629660,G
1629661,F
1629673,G
1629674,C
1629675,C
1629684,F
1629723,G
1629726,F
1629731,F
1629750,F
1630162,G
1630163,G
1630164,C
1630165,G
1630166,G
1630167,F
1630168,C
1630170,F
1630171,F
1630172,F
1630173,F
1630174,G
1630178,G
1630180,F
1630183,F
1630188,F
1630191,F
1630192,F
1630193,G
1630194,C
1630198,G
1630200,G
1630202,G
1630208,C
1630214,C
1630217,G
1630224,F
1630228,F
1630230,G
1630241,G
1630245,G
1630249,F
1630264,C
1630311,G
1630314,G
1630526,F
1630529,G
1630530,F
1630532,F
1630533,F
1630534,G
1630536,G
1630538,G
1630540,G
1630541,G
1630543,C
1630544,G
1630549,C
1630551,F
1630552,F
1630557,F
1630558,G
1630559,G
1630560,G
1630567,F
1630568,F
1630570,F
1630572,C
1630573,F
1630574,C
1630577,F
1630578,C
1630579,F
1630581,G
1630583,C
1630590,G
1630591,G
1630595,G
1630596,F
1630598,F
1630611,F
1630619,C
1630631,G
1630643,C
1630679,G
1630692,G
1630695,C
1630696,G
1630700,G
1630702,G
1630703,G
1630811,G
1631093,G
1631094,F
1631095,F
1631096,F
1631097,G
1631099,F
1631101,G
1631105,C
1631106,G
1631107,F
1631108,G
1631109,C
1631114,F
1631115,C
1631117,C
1631119,F
1631121,G
1631124,G
1631126,G
1631128,G
1631131,C
1631132,C
1631133,F
1631157,G
1631159,F
1631165,G
1631169,F
1631170,F
1631172,F
1631199,G
1631200,F
1631204,G
1631212,F
1631213,G
1631217,C
1631218,C
1631221,G
1631222,F
1631230,F
1631243,F
1631245,G
1631246,G
1631248,G
1631255,F
1631260,G
1631321,F
1631323,F
1631342,F
1641705,C
1641706,G
1641707,F
1641708,G
1641709,F
1641710,G
1641711,F
1641712,F
1641713,F
1641716,F
1641717,G
1641718,G
1641723,G
1641726,C
1641729,G
1641730,F
1641731,F
1641733,G
1641737,C
1641738,F
1641739,F
1641744,C
1641747,C
1641750,C
1641757,G
1641763,F
1641764,G
1641765,C
1641767,G
1641771,F
1641772,F
1641774,C
1641775,F
1641778,F
1641783,F
1641790,C
1641796,F
1641816,G
1641824,F
1641842,F
1641854,G
1641989,G
1642066,F
1642258,F
1642259,C
1642261,F
1642262,F
1642263,G
1642264,G
1642266,G
1642267,G
1642268,G
1642269,G
1642270,C
1642271,C
1642272,G
1642273,F
1642274,C
1642276,C
1642277,F
1642278,G
1642281,F
1642285,G
1642345,C
1642346,F
1642347,G
1642348,F
1642349,G
1642354,G
1642355,F
1642363,G
1642364,F
1642366,C
1642377,F
1642382,C
1642383,G
1642396,F
1642403,F
1642419,G
1642450,G
1642461,F
1642502,F
1642843,F
1642845,G
1642846,G
1642847,G
1642848,G
1642849,G
1642851,F
1642852,C
1642854,F
1642856,G
1642857,G
1642860,F
1642864,F
1642866,C
1642867,C
1642869,F
1642873,C
1642874,F
1642875,C
1642877,G
1642878,G
1642879,G
1642880,G
1642882,C
1642883,G
1642885,F
1642905,C
1642907,G
1642914,G
1642920,G
1642928,C
1642942,F
1642948,G
1642954,F
1642962,G
1643133,C
1643158,F
